road_id,noise_actual,pred_lr,resid_lr,pred_xgb,resid_xgb,pred_rf,resid_rf,outlier_lr,outlier_xgb,outlier_rf,consensus
30237697_30237698_0,60,59.19,0.81,60.51,-0.51,60.65,-0.65,0,0,0,0
30237697_30237639_0,65,59.67,5.33,63.16,1.84,63.0,2.0,0,0,0,0
30237698_30237873_0,60,55.96,4.04,62.09,-2.09,60.1,-0.1,0,0,0,0
30237698_30237699_0,65,58.83,6.17,61.25,3.75,62.8,2.2,0,0,0,0
30237699_30237700_0,65,60.83,4.17,64.22,0.78,64.6,0.4,0,0,0,0
30237699_30238005_0,60,60.61,-0.61,62.89,-2.89,60.75,-0.75,0,0,0,0
4600193564_4592704405_0,60,56.58,3.42,59.65,0.35,59.35,0.65,0,0,0,0
30237700_30237642_0,65,59.58,5.42,64.55,0.45,64.8,0.2,0,0,0,0
30237701_252826185_0,60,62.9,-2.9,61.67,-1.67,61.4,-1.4,0,0,0,0
30237701_13228605049_0,65,59.3,5.7,63.93,1.07,64.05,0.95,0,0,0,0
30237703_2501701155_0,60,56.02,3.98,60.28,-0.28,59.1,0.9,0,0,0,0
30237703_26057389_0,60,58.45,1.55,62.63,-2.63,61.1,-1.1,0,0,0,0
4625178488_366223046_0,50,46.72,3.28,46.61,3.39,48.9,1.1,0,0,0,0
30237705_30237706_0,60,60.29,-0.29,59.75,0.25,59.85,0.15,0,0,0,0
30237768_30248584_0,60,63.17,-3.17,60.87,-0.87,60.35,-0.35,0,0,0,0
30237768_30248583_0,60,60.93,-0.93,61.04,-1.04,59.8,0.2,0,0,0,0
30237770_364811897_0,65,60.94,4.06,62.59,2.41,61.4,3.6,0,0,0,0
30237772_30247089_0,65,55.63,9.37,62.48,2.52,61.95,3.05,0,0,0,0
30237867_30237772_0,60,57.67,2.33,59.99,0.01,59.7,0.3,0,0,0,0
30237867_30237697_0,60,59.71,0.29,62.38,-2.38,61.15,-1.15,0,0,0,0
30237873_30237867_0,60,58.25,1.75,60.58,-0.58,60.15,-0.15,0,0,0,0
