street_id,noise_day,noise_evening,noise_night,road_length,road_category,distance_to_road
5161,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),123.90562797978195,unclassified,0.0
5162,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),188.4577032265319,tertiary,0.0
5163,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),75.01900923667596,living_street,0.03672408508382772
5164,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),13.648484616360934,living_street,0.0
5165,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),46.55918565497464,residential,0.0
5166,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),91.49155179776336,residential,0.0
5167,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),83.41431974147017,secondary,0.0
5168,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),22.273056743476957,living_street,0.0
5169,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),128.20947896637972,secondary,0.0
5170,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),93.8633656964669,residential,0.0
5171,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),70.83199597504218,primary,0.08019450330540247
5172,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),104.65763056782744,residential,0.0
5173,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),42.347840952002485,trunk,0.0
5174,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),52.296381039772,residential,0.0
5175,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),77.05921515217963,residential,0.6032573420495027
5176,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),67.04093112061643,unclassified,0.0
5177,55 - 60 dB(A),50 - 55 dB(A),40 - 45 dB(A),73.58622359544812,living_street,0.21743502217186084
5178,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),38.73552471999026,residential,0.0
5179,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),130.94972363205244,secondary,0.0
5180,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),65.0647591239704,secondary,0.23641390576148336
5181,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),143.3700437573959,residential,0.0
5182,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),90.85805866908137,residential,0.0
5183,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),136.76789210585002,living_street,0.0
5184,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),55.80923107377643,residential,0.1745023548750798
5185,50 - 55 dB(A),45 - 50 dB(A),< 40 dB(A),14.798867996902372,living_street,83.2299650855131
5186,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),133.6047207201819,secondary,0.0
5187,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),66.3728042011926,living_street,0.33064615869994796
5188,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),29.992718732033914,residential,0.0
5189,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),126.48647264249394,residential,0.0
5190,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),44.22417354526431,trunk,0.13056414994726384
5191,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),60.20080436149331,residential,0.0
5192,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),110.4432338102486,living_street,0.0
5193,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),76.2726377711914,residential,0.0
5194,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),115.75635097657467,living_street,0.0
5195,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),119.88091553657037,secondary,0.0
5196,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),25.329294526895755,living_street,0.0
5197,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),29.696319115083607,residential,0.35142587279834137
5198,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),56.7168481309575,living_street,0.0
5199,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),12.174706461033823,secondary,53.51054876420935
5200,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),69.67066637320137,residential,0.20595905012566584
5201,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),90.69217229620031,tertiary,0.19521609421657016
5202,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),45.43803369058214,secondary,0.0
5203,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),58.38997067157441,living_street,0.0
5204,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),63.59031916549029,residential,0.12678228880734416
5205,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),149.676792277471,secondary,0.0
5206,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),85.85290273447254,residential,0.0
5207,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A),98.65714082405637,living_street,0.0
5208,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),70.93049877037586,residential,0.0
5209,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),41.69770308298953,living_street,0.0
5210,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),42.279000007502866,living_street,0.006266455907199686
5211,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),132.93866908381503,tertiary,0.0
5212,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),226.19073557875015,secondary,0.0
5213,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),234.64759028067672,residential,0.0
5214,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),126.42600142035131,tertiary,0.0
5215,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),67.16058323809781,residential,0.0
5216,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),199.17206070051583,tertiary,0.0
5217,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),53.70207356221638,tertiary,0.0
5218,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),130.2864678334186,residential,0.0
5219,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),43.24241242318814,tertiary,0.37884781007318563
5220,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),107.54448517707786,residential,0.0
5221,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),55.5035040590044,residential,0.0
5222,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),68.9149974926234,trunk,0.7448718427578315
5223,40 - 45 dB(A),< 40 dB(A),< 40 dB(A),307.5708556960163,residential,0.0
5224,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),55.936788286841775,living_street,0.0
5225,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),210.48922646902898,living_street,0.0
5226,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),35.16858862348859,tertiary,0.4712628088100691
5227,50 - 55 dB(A),55 - 60 dB(A),55 - 60 dB(A),17.643428031775304,living_street,0.0
5228,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),136.48342516095101,tertiary,10.983538766310907
5229,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),93.2508416625079,residential,0.0
5230,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),124.57836347674593,secondary,0.0
5231,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),91.7430960263647,residential,0.0
5232,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),60.49284030998536,living_street,0.046245320940439344
5233,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),12.743881701879426,living_street,0.0
5234,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),71.36608891279536,residential,0.0
5235,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),14.974988016354533,secondary,1.4195978486417558
