road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
259441576_259441569_0,55.0,55.0,50.0,5,3478.6667958233443,2824.78419319756,5845.039018895632,3472.9441753917376,0.0,5907.084074865868
259474515_30389433_0,70.0,65.0,60.0,5,841.9402218959765,0.0,63.66355243153031,123.72151060713428,0.0,356.5593046020584
259474515_259474524_0,75.0,75.0,65.0,2,841.9402218959765,0.0,69.23811427413791,276.18740483471385,0.0,342.6282546423522
259474520_259474521_0,75.0,75.0,65.0,2,731.6222856308356,0.0,0.0,231.78878059013093,69.10015640509518,381.8425921361367
259474520_30575307_0,80.0,75.0,65.0,3,731.6222856308356,0.0,0.0,231.78878059013093,77.22217311945901,402.2594473346581
259474521_30389407_0,80.0,75.0,65.0,3,772.0198402126463,0.0,0.0,257.3571361135393,69.10015640509518,369.8725311600893
259474521_259474515_0,75.0,75.0,65.0,2,772.9339591924336,0.0,0.0,264.2948853574249,0.0,356.5593046020584
259474524_356899305_0,80.0,75.0,65.0,2,1127.1545107158229,0.0,64.50723176414026,239.0866239661336,0.0,305.1319548861244
259474527_248951005_0,75.0,75.0,65.0,5,692.0692760496339,162.66832652120553,0.0,379.82710162693934,0.0,112.66651619736744
259474527_263695624_0,80.0,75.0,65.0,3,685.0307335784817,73.8819135425447,0.0,387.0680270037524,0.0,23.62852106381944
259474530_942629435_0,80.0,75.0,65.0,3,682.5399310518501,0.0,0.0,385.56568759901097,0.0,56.40262209542132
259474530_30438740_0,80.0,75.0,70.0,2,671.3563087402886,0.0,0.0,374.37788938774105,63.99402924925187,56.40262209542132
259474533_263699273_0,75.0,75.0,65.0,5,877.0533119975462,90.28642254553822,0.0,394.7207606373321,0.0,203.2407830449401
259474533_263699249_0,70.0,65.0,60.0,5,896.5671412133561,79.92539320237938,0.0,335.6880982228041,0.0,150.2964005202063
259474533_1033276578_0,80.0,75.0,65.0,3,896.5671412133561,0.0,0.0,359.1699934738938,0.0,149.57527482189866
259476133_248951008_0,75.0,70.0,60.0,5,115.96167563776984,387.66106551717513,0.0,151.275424080224,0.0,354.9602335238708
259476133_30438461_0,70.0,70.0,60.0,3,12.741186188601594,391.4935543380743,0.0,161.1198783979165,0.0,354.67325201983203
259476134_30438555_0,75.0,70.0,60.0,4,308.6510876861909,384.8127213650636,0.0,0.0,78.18091572672289,370.042997683108
259476134_259476133_0,70.0,70.0,60.0,3,115.96167563776984,393.1206861390921,0.0,0.0,0.0,353.07967453402017
259476135_259476134_0,70.0,70.0,60.0,3,308.6510876861909,394.09955359792815,0.0,0.0,78.18091572672289,370.042997683108
259476135_30438724_0,70.0,65.0,55.0,4,370.1763072509348,394.97914436528754,0.0,0.0,63.08984465288037,361.36071247264
259476733_34746453_0,75.0,75.0,65.0,4,1395.8004573897128,414.08450222673474,0.0,0.0,67.51442540852585,418.7915287483765
259476733_30438569_0,75.0,70.0,60.0,3,1395.8004573897128,414.08450222673474,0.0,0.0,0.0,418.7915287483765
259476739_1495733069_0,75.0,75.0,65.0,3,733.3553981626128,170.56122986534766,0.0,204.75032951406516,0.0,174.91117473647773
259483661_3637551789_0,75.0,75.0,65.0,3,465.3299411471805,152.93374676873393,0.0,891.0066761210425,0.0,695.8856833879242
259483689_264106188_0,75.0,75.0,65.0,3,477.4728063934168,60.38871848844623,0.0,937.4982404887066,0.0,884.8761268273097
259483693_259483720_0,70.0,70.0,60.0,5,698.4222270653717,438.7865408462729,0.0,936.2909646301,0.0,1105.9211786599983
259483693_265034227_0,70.0,70.0,60.0,3,698.4222270653717,476.8194256276857,0.0,1035.7755749151208,0.0,1081.364449176292
259483703_1267575530_0,75.0,75.0,60.0,3,783.1165903619527,764.0677986810613,0.0,1071.4378837091572,0.0,1063.1318528815057
259483703_5954403023_0,75.0,70.0,60.0,5,770.6019969412133,764.0677986810613,0.0,1083.5332260403286,0.0,1053.3988820699644
259483720_1267576344_0,75.0,70.0,65.0,3,774.4095208869992,438.7865408462729,0.0,936.2909646301,0.0,1097.144865384383
259483720_1267576053_0,75.0,70.0,60.0,5,782.9159604402643,420.020682818863,0.0,918.8838081088496,0.0,1098.9515830645405
259483721_292562679_0,70.0,70.0,60.0,5,620.0161986325751,332.25495217245367,0.0,931.6577911473246,0.0,999.059108338993
259483721_252822776_0,75.0,75.0,65.0,3,564.1116993947307,97.199534404566,0.0,873.9364621124332,0.0,844.1311003955542
259485153_265034216_0,75.0,70.0,60.0,3,840.7005832575768,465.5952513008932,0.0,1202.175740215847,118.43548878633362,1185.8581282967866
259485153_1125481680_0,75.0,70.0,60.0,3,836.1630338362351,465.5952513008932,0.0,1219.419697724784,118.43548878633362,1176.0597130146105
259485160_259485171_0,75.0,75.0,65.0,3,725.5112696922246,553.9926148397299,0.0,1343.24154395258,0.0,1051.237531569449
259485160_1125481669_0,80.0,75.0,65.0,3,832.7604446419198,527.4058555619687,0.0,1294.440226750479,0.0,1157.9990378816706
