road_id,lden_db
21306262_27555102_0,40.73333316666666
21306262_21306263_0,47.09230804615385
21306263_21306262_0,48.65833345833334
21306263_27555215_0,53.32857077142857
21306263_21306264_0,41.39999998
21306264_27555102_0,42.08518557777778
21306264_21306263_0,45.19999998
21306264_21306265_0,46.70909118181819
21306265_27555095_0,40.8285715
21306265_21306264_0,46.200000333333335
21306265_157467505_0,45.6624999125
21306267_157467505_0,42.96666654999999
21306267_11764793206_0,42.73333293333334
21306267_27555099_0,40.19130425217391
21385723_21385724_0,50.19999968571428
21385723_1813974098_0,58.574999325
21385723_11365522129_0,46.0
21385724_1669237254_0,47.71538515384616
21385724_20246140_0,48.06896538275863
21385724_11365522129_0,47.20000019999999
21385724_21385723_0,49.524999625
21385796_1667142764_0,50.2249999423077
21385796_1580746702_0,52.20454597272727
21385796_3095250668_0,47.3000001875
21385796_26753059_0,46.18333292083333
21385800_98983781_0,69.6499977
21385800_1667142764_0,53.54999957727273
21385808_21385809_0,42.474999425
21385808_29123151_0,43.750000416666666
21385809_21385810_0,42.300000175
21385809_21385808_0,42.21818126363637
21385810_21385809_0,45.03999938
21385810_21385817_0,42.77727282272727
21385810_27484589_0,48.396000208
21385811_310994457_0,44.83999991333334
21385812_1599974865_0,64.5
21385812_21385814_0,55.34666594666667
21385814_21385816_0,44.99743574358974
21385814_28794353_0,59.149999625
21385816_29123147_0,40.75
21385816_266594444_0,41.86666657777778
21385816_21385814_0,44.78571428857144
21385816_21385817_0,41.999999975
21385817_21385816_0,41.44285745714286
21385817_21385810_0,42.74347852173913
21385817_310994456_0,41.14285687857143
21432472_1929543239_0,52.0999985
21432472_1820622388_0,52.0999985
21432472_1267994355_0,54.76666643333333
21432503_29808818_0,68.3000031
21432503_21432558_0,61.94999948333333
21432510_29808818_0,57.866666475
21432510_286638360_0,49.26666516666666
21432510_269941236_0,54.5
21432547_354484060_0,48.78064519032258
21432547_269941226_0,45.49999962
21432547_286638272_0,46.6000004
21432558_28394961_0,60.9333335
21432558_55892902_0,70.9000015
21432558_21432562_0,57.78333346666667
21432562_1641970078_0,46.33749961875
21432562_29808820_0,44.05263138421053
