road_id,lden_db
1092219071_1169035390_0,59.0
1092247422_1092247431_0,46.0
1092247422_1113674857_0,46.0
1092247431_1113674859_0,46.0
1092247444_1113674836_0,59.0
1092247444_1092247422_0,46.0
1092247454_1094296530_0,59.0
1092247454_1180833967_0,46.0
1092247454_1092247444_0,46.0
1092247492_1113674820_0,59.0
1092247492_6289097043_0,46.0
1092247501_1113674833_0,59.0
1092247501_1092247492_0,46.0
1092247529_1092219071_0,46.0
1092247529_1113674842_0,46.0
1092247552_1095439448_0,59.0
1092263653_246182133_0,61.0
1092263653_1562259326_0,54.0
1092263787_1092263800_0,46.0
1092263787_1113674852_0,59.0
1092263800_1512110633_0,46.0
1092472096_1092247552_0,59.0
1092472096_1094296489_0,62.0
1092472112_1512110745_0,46.0
1092472112_1145637534_0,59.0
1094077853_1512110633_0,46.0
1094077853_6289097043_0,59.0
1094077886_1095439849_0,61.0
1094077886_1092205604_0,61.0
1094077893_1094077886_0,56.0
1094077893_1094077905_0,56.0
1094077905_1092247501_0,59.0
1094077905_4087742279_0,56.0
1094077912_1094077905_0,56.0
1094077933_6447291071_0,57.0
1094077933_1094077936_0,57.0
1094077933_1177120124_0,54.0
1094077936_1177120079_0,57.0
1094077936_1177120124_0,57.0
1094077936_1094077933_0,57.0
1094077940_1094237195_0,57.0
1094077940_1094360581_0,57.0
1094237192_1128236277_0,54.0
1094237195_1094077940_0,57.0
1094237195_1094237192_0,54.0
1094237195_1177120124_0,57.0
1094237241_1094237264_0,64.0
1094237264_1094237297_0,64.0
1094237264_1128236277_0,63.0
1094237291_1091842327_0,64.0
1094237291_1094237241_0,64.0
1094237297_1624926347_0,63.0
1094296489_4087742266_0,62.0
1094296524_1094296530_0,46.0
1094296530_1113674838_0,59.0
1094296530_1094296524_0,46.0
1094296578_1383136506_0,55.0
1094296578_1084139051_0,55.0
1094296604_1116354114_0,55.0
1094296604_1094296578_0,55.0
1094296689_211313493_0,69.0
1094296689_211317741_0,69.0
1094296777_1094296854_0,54.0
1094296777_1094296777_0,54.0
1094296854_1094296777_0,54.0
1094296854_1091842327_0,54.0
1094360098_1094360174_0,62.0
1094360098_1609997963_0,62.0
1094360109_1094360098_0,58.0
1094360111_1094360109_0,58.0
1094360143_1609997988_0,63.0
1094360174_1094360207_0,62.0
1094360174_1609997963_0,62.0
1094360207_1094360224_0,62.0
1094360207_1094360174_0,62.0
