signal_id,latitude,longitude,google_earth_url,verified,actual_type,notes
866,41.4017222,2.2053298,"https://earth.google.com/web/@41.4017222,2.2053298,100a,500d,35y,0h,0t,0r",,,
867,41.3996475,2.2076673,"https://earth.google.com/web/@41.3996475,2.2076673,100a,500d,35y,0h,0t,0r",,,
868,41.4001525,2.2072073,"https://earth.google.com/web/@41.4001525,2.2072073,100a,500d,35y,0h,0t,0r",,,
869,41.3998065,2.2076755,"https://earth.google.com/web/@41.3998065,2.2076755,100a,500d,35y,0h,0t,0r",,,
870,41.3994836,2.2081233,"https://earth.google.com/web/@41.3994836,2.2081233,100a,500d,35y,0h,0t,0r",,,
871,41.3994761,2.2085173,"https://earth.google.com/web/@41.3994761,2.2085173,100a,500d,35y,0h,0t,0r",,,
872,41.3991502,2.2081905,"https://earth.google.com/web/@41.3991502,2.2081905,100a,500d,35y,0h,0t,0r",,,
873,41.4062325,2.198029,"https://earth.google.com/web/@41.4062325,2.198029,100a,500d,35y,0h,0t,0r",,,
874,41.4096676,2.1943194,"https://earth.google.com/web/@41.4096676,2.1943194,100a,500d,35y,0h,0t,0r",,,
875,41.4113093,2.1921719,"https://earth.google.com/web/@41.4113093,2.1921719,100a,500d,35y,0h,0t,0r",,,
876,41.4116823,2.1910929,"https://earth.google.com/web/@41.4116823,2.1910929,100a,500d,35y,0h,0t,0r",,,
877,41.4123195,2.1915268,"https://earth.google.com/web/@41.4123195,2.1915268,100a,500d,35y,0h,0t,0r",,,
878,41.412241,2.1909189,"https://earth.google.com/web/@41.412241,2.1909189,100a,500d,35y,0h,0t,0r",,,
879,41.4125645,2.1898471,"https://earth.google.com/web/@41.4125645,2.1898471,100a,500d,35y,0h,0t,0r",,,
880,41.4124447,2.1900357,"https://earth.google.com/web/@41.4124447,2.1900357,100a,500d,35y,0h,0t,0r",,,
881,41.4130061,2.1898983,"https://earth.google.com/web/@41.4130061,2.1898983,100a,500d,35y,0h,0t,0r",,,
882,41.3913007,2.1870642,"https://earth.google.com/web/@41.3913007,2.1870642,100a,500d,35y,0h,0t,0r",,,
883,41.4247312,2.1447299,"https://earth.google.com/web/@41.4247312,2.1447299,100a,500d,35y,0h,0t,0r",,,
884,41.3963636,2.1592673,"https://earth.google.com/web/@41.3963636,2.1592673,100a,500d,35y,0h,0t,0r",,,
885,41.3974615,2.2034887,"https://earth.google.com/web/@41.3974615,2.2034887,100a,500d,35y,0h,0t,0r",,,
886,41.3977669,2.2036031,"https://earth.google.com/web/@41.3977669,2.2036031,100a,500d,35y,0h,0t,0r",,,
887,41.3979673,2.2026475,"https://earth.google.com/web/@41.3979673,2.2026475,100a,500d,35y,0h,0t,0r",,,
888,41.3982992,2.2030877,"https://earth.google.com/web/@41.3982992,2.2030877,100a,500d,35y,0h,0t,0r",,,
889,41.3979502,2.2031021,"https://earth.google.com/web/@41.3979502,2.2031021,100a,500d,35y,0h,0t,0r",,,
890,41.3988214,2.2019594,"https://earth.google.com/web/@41.3988214,2.2019594,100a,500d,35y,0h,0t,0r",,,
891,41.3991592,2.2019494,"https://earth.google.com/web/@41.3991592,2.2019494,100a,500d,35y,0h,0t,0r",,,
892,41.3996699,2.2004007,"https://earth.google.com/web/@41.3996699,2.2004007,100a,500d,35y,0h,0t,0r",,,
893,41.3996811,2.2008203,"https://earth.google.com/web/@41.3996811,2.2008203,100a,500d,35y,0h,0t,0r",,,
894,41.4005495,2.1996631,"https://earth.google.com/web/@41.4005495,2.1996631,100a,500d,35y,0h,0t,0r",,,
895,41.4009335,2.1996998,"https://earth.google.com/web/@41.4009335,2.1996998,100a,500d,35y,0h,0t,0r",,,
896,41.40219,2.1975025,"https://earth.google.com/web/@41.40219,2.1975025,100a,500d,35y,0h,0t,0r",,,
897,41.4031004,2.1963084,"https://earth.google.com/web/@41.4031004,2.1963084,100a,500d,35y,0h,0t,0r",,,
898,41.4039648,2.1951741,"https://earth.google.com/web/@41.4039648,2.1951741,100a,500d,35y,0h,0t,0r",,,
899,41.4042812,2.195191,"https://earth.google.com/web/@41.4042812,2.195191,100a,500d,35y,0h,0t,0r",,,
900,41.4057377,2.1926254,"https://earth.google.com/web/@41.4057377,2.1926254,100a,500d,35y,0h,0t,0r",,,
901,41.4059746,2.19285,"https://earth.google.com/web/@41.4059746,2.19285,100a,500d,35y,0h,0t,0r",,,
902,41.4034693,2.1941049,"https://earth.google.com/web/@41.4034693,2.1941049,100a,500d,35y,0h,0t,0r",,,
903,41.3988154,2.199272,"https://earth.google.com/web/@41.3988154,2.199272,100a,500d,35y,0h,0t,0r",,,
904,41.3983068,2.2008193,"https://earth.google.com/web/@41.3983068,2.2008193,100a,500d,35y,0h,0t,0r",,,
905,41.3965905,2.2003731,"https://earth.google.com/web/@41.3965905,2.2003731,100a,500d,35y,0h,0t,0r",,,
906,41.3992154,2.1969443,"https://earth.google.com/web/@41.3992154,2.1969443,100a,500d,35y,0h,0t,0r",,,
907,41.3992166,2.1974475,"https://earth.google.com/web/@41.3992166,2.1974475,100a,500d,35y,0h,0t,0r",,,
908,41.3983172,2.1981152,"https://earth.google.com/web/@41.3983172,2.1981152,100a,500d,35y,0h,0t,0r",,,
909,41.3979741,2.1981058,"https://earth.google.com/web/@41.3979741,2.1981058,100a,500d,35y,0h,0t,0r",,,
910,41.3974487,2.1992508,"https://earth.google.com/web/@41.3974487,2.1992508,100a,500d,35y,0h,0t,0r",,,
911,41.3974617,2.1996687,"https://earth.google.com/web/@41.3974617,2.1996687,100a,500d,35y,0h,0t,0r",,,
