road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
9214919_143415_0,4,4,3,2,2751.5159447612614,0.0,334.8053170641322,182.67276723904598,0.0,207.9019567754255
9249417_8592437_0,4,4,3,2,591.7809137228112,0.0,300.34779904206425,31.769784509112988,0.0,90.19621327299224
9249808_24289146_0,4,4,3,3,457.19293330885347,0.0,0.0,463.57921482749765,277.86800986187035,433.94572520648944
9249808_9249417_0,4,4,3,2,457.19293330885347,0.0,0.0,113.6153696368085,0.0,149.89110988499314
9249817_24289158_0,4,4,3,2,279.9570766875217,0.0,183.9641994834404,316.6981154529537,120.30248013631233,467.35168705509915
9249817_9250428_0,4,4,3,2,57.64828260209943,0.0,183.9641994834404,154.93104920678712,8.809398665420066,163.8923941282552
9250428_9250674_0,4,4,3,2,8.64732552895031,0.0,290.7941915004067,49.6995152843034,27.951509915951114,237.34437230005108
9250674_7275092726_0,4,4,3,2,31.70992048470102,0.0,259.1057500218892,19.896593610387722,70.99316306943844,378.8232953342454
9250674_1126334635_0,4,4,3,2,12.3341877799056,0.0,247.25714897688857,16.636346414008507,50.80794420293004,378.8232953342454
9257186_3302602286_0,2,2,1,5,1104.9897980199567,529.9489512756552,9.615554959298219,47.63244249571235,0.0,31.455824698767756
9257186_9257232_0,3,3,2,5,1102.9485802965,526.2983192007306,0.0,48.359828457520045,0.0,115.93190781529029
9257214_7394925_0,3,3,2,3,925.8697162656513,629.5055545475698,0.0,0.0,120.41255318407846,110.56835566670637
9257214_9257226_0,3,3,2,3,983.295257439353,537.6982736580501,0.0,58.2671813599024,12.898700634994166,127.10001777738894
9257226_9257214_0,3,3,2,3,983.295257439353,537.6982736580501,0.0,58.2671813599024,12.898700634994166,127.10001777738894
9257226_9257232_0,4,4,3,3,1090.1251603506762,526.2983192007306,0.0,48.54514954216706,0.0,125.59115064294588
9257232_9257186_0,3,3,2,5,1102.9485802965,526.2983192007306,0.0,48.359828457520045,0.0,115.93190781529029
9257232_9257226_0,4,4,3,3,1090.1251603506762,526.2983192007306,0.0,48.54514954216706,0.0,125.59115064294588
9257232_7394820_0,4,4,2,3,1102.9485802965,484.0840174469256,0.0,0.0,0.0,125.3087770335394
13383951_33252315_0,4,4,3,1,0.0,0.0,436.23638423875616,199.8978818717453,38.79947512703721,201.60839097307368
13383978_958117926_0,4,4,4,1,0.0,0.0,0.0,0.0,36.137859860348286,308.5476782074397
15925416_601393134_0,4,4,3,2,2241.382284318138,0.0,918.8318063082278,520.9002987171544,351.2822047199192,1145.2526686205413
15925438_2600858778_0,4,4,3,3,1569.1102459057736,192.77888060759045,0.0,225.95432972534894,0.0,0.0
15925438_18697400_0,3,3,2,5,1534.7203546754265,247.23739411428477,0.0,217.12363340782713,0.0,100.25053188207298
15925440_21712143_0,3,3,2,5,2143.600118633815,101.82861926156549,0.0,156.79972561814478,0.0,468.477645373315
15925440_25152444_0,4,4,3,3,2143.600118633815,50.248572347755115,0.0,239.7735459263774,0.0,478.66552202559166
15925442_10087719688_0,4,4,3,2,2102.71061369349,0.0,356.3635722896636,552.8972672900287,49.97608041276067,340.06859555803084
15925442_143439_0,4,4,3,2,1902.8571494466053,0.0,252.3480781484535,507.7357904739055,98.57807444446412,139.7367904221731
15925446_25306034_0,3,3,2,5,1789.5359920378198,0.0,0.0,109.66673441341852,0.0,39.716800188967646
15925446_975232215_0,3,3,2,2,1701.0633173499687,0.0,0.0,13.019525937475818,0.0,39.716800188967646
15925447_1856728232_0,3,3,2,5,1655.1938847154045,0.0,43.30403496457734,0.0,0.0,183.37496442568283
15925447_12505754910_0,4,4,3,2,1590.2485360159285,0.0,43.8880469464156,23.016502863929485,0.0,190.59245782200946
15925451_25499219_0,2,2,1,5,699.3942445665483,86.1300528820443,174.66036733449982,38.89313637758896,0.0,273.1440215846191
15925451_8784789884_0,3,3,2,5,670.2470390875881,0.0,290.0784253903243,62.81862437482937,0.0,246.03479239410962
15925452_5006393114_0,3,3,1,5,704.6095126901131,105.07024060851737,220.46250399643327,0.0,0.0,261.5493423257756
15925452_25451866_0,2,2,1,4,750.2189462350952,185.92068960470587,221.1117063817951,0.0,0.0,252.13561714415565
16050062_25719223_0,3,3,2,3,2498.6178781477283,211.56328414453003,0.0,416.06916483586804,0.0,230.36196713267333
16050062_21674798_0,3,3,2,5,2482.325123602814,300.8664217223527,0.0,329.7305709710185,0.0,209.84180514905046
16564346_16564347_0,3,3,2,5,34.679449506533196,0.0,451.5916510953356,170.65018379860828,0.0,125.38306716330285
16564346_33257059_0,4,4,3,2,33.183729641996635,0.0,547.8173424349699,80.00700463807122,0.0,105.58525067814271
16564347_16564349_0,2,2,1,5,103.06238929655903,17.643983305271625,347.7589436247844,196.51663972949123,0.0,125.41082404549486
16564347_16564350_0,3,3,2,5,38.79947512703721,13.019141047809518,444.76352174110946,196.51663972949123,0.0,125.42215917142579
16564349_220311331_0,3,3,2,5,98.57169032669191,6.83731464555082,345.6704965047336,303.03064911964793,0.0,210.22826874222147
16564353_16564346_0,4,4,3,2,16.212573625318775,0.0,515.1313251866882,170.65049208386458,0.0,159.27141921475007
16564357_25312123_0,4,4,3,4,13.31526458913136,92.87699471761815,638.1068230975796,0.0,0.0,101.48348423961986
16564357_25312129_0,4,4,3,4,28.723773109175486,92.87699471761815,553.8906164799461,0.0,0.0,0.0
16564364_16564365_0,4,4,4,2,0.0,0.0,1193.6223732823596,0.0,46.92431077908899,421.5988018888459
16564365_34819704_0,4,4,3,2,13.704982981227005,0.0,1234.7937055970715,0.0,25.24139347680849,449.4263199197135
16564365_8791385058_0,4,4,3,4,14.169736582697967,0.0,1234.7937055970715,0.0,32.521559182390995,127.91095043453706
16566895_16566904_0,4,4,3,5,48.02334526826794,0.0,13.634578191447629,46.75728838637868,0.0,381.26594667750203
16566895_16566897_0,4,4,3,5,50.33197963877382,5.881518369894266,14.535005895949588,63.27370244181962,0.0,381.26594667750203
16566897_4528925726_0,4,4,3,5,133.92128950303245,0.0,105.68661645090094,103.67066322687928,0.0,440.42880588280696
16566897_23666834_0,3,3,2,5,142.60219207577168,35.46864715272861,107.5631648035133,123.7294666650927,0.0,435.88490794396546
16566904_3807653478_0,4,4,3,2,44.461594317584975,0.0,17.8848929548827,21.055626338390528,0.0,388.056840940868
16566907_16566908_0,4,4,3,5,53.26120033665897,36.62078358815611,39.20806562308181,20.56020916801579,0.0,302.9632480483212
16566910_25454179_0,3,3,2,5,69.54972741046541,70.98382984175667,114.77167134150989,155.3113664184621,0.0,332.9738577174635
16566910_16566895_0,4,4,3,5,48.47300142961582,5.881518369894266,14.535005895949588,63.27370244181962,0.0,332.9738577174635
18232178_21600350_0,2,2,1,5,2584.135423718687,57.23307800788246,312.45596456921373,281.9388408457276,0.0,46.77624614196528
18232178_8792993463_0,2,2,1,5,2756.8618816532685,74.86074343398951,393.1138873489645,151.21455903325435,0.0,174.2233868729328
18232178_143415_0,3,3,2,5,2751.5159447612614,0.0,334.8053170641322,264.4664406839697,0.0,174.2233868729328
18232179_143416_0,2,2,1,5,2771.8815132089053,214.07135891640115,320.05033160752623,139.82931535518418,0.0,191.37748607469038
18232179_21696191_0,2,2,1,5,2942.9915578219516,247.69794676446867,200.52076056204137,139.82931535518418,0.0,326.888420847254
18232180_9214915_0,3,3,2,4,3046.570220920821,169.46408855894936,320.59482653836415,0.0,0.0,210.1501379705702
18232180_18232179_0,2,2,1,5,2942.9915578219516,247.69794676446867,320.05033160752623,0.0,0.0,210.1501379705702
18232182_18232184_0,2,2,1,5,3109.533223359023,274.5277399049408,273.0924021185507,38.84895019293343,0.0,138.44050424508688
18232182_18232180_0,3,3,2,5,3083.8953763069435,274.5277399049408,319.6459308322677,0.0,0.0,187.0921375519216
18232183_21696191_0,2,2,1,5,2961.045447331777,361.6770296514886,200.52076056204137,0.0,0.0,165.3645714541538
18232183_21702433_0,3,3,2,4,3105.348156888842,376.2571519780065,202.01138747868688,0.0,0.0,165.3645714541538
18232184_18232182_0,2,2,1,5,3109.533223359023,274.5277399049408,273.0924021185507,38.84895019293343,0.0,138.44050424508688
18232186_18697395_0,2,2,1,5,2452.7976305665065,181.70864361275483,329.43635951100174,479.51409301819007,0.0,90.4107150449772
