road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main
144533705_144581613_0,1,1,0,5,21308.136287027453,1101.3426339619182,279.9737706502133,249.37383093842698,0.0,557.0682484678617,279.9737706502133
144533705_144533710_0,1,1,0,5,21281.349295594948,1101.5280275946445,155.88858687133228,35.446923579544006,0.0,579.9483168254868,155.88858687133228
144533706_144533695_0,1,1,0,5,21181.22656436457,1092.4830135970194,26.093977264704165,193.95904587934675,0.0,649.6799621658967,26.093977264704165
144533706_144533705_0,1,1,1,5,21230.228735171182,1092.4830135970194,219.1745914171372,255.4465093990896,0.0,579.9483168254868,219.1745914171372
144533706_29808811_0,1,1,1,5,21225.79496484443,1052.0354632466092,219.1745914171372,228.7285187629433,0.0,645.2610875735189,219.1745914171372
144533709_144533703_0,1,1,0,5,21364.322736864273,1100.9443154634964,261.0902469988302,145.1083070400306,0.0,514.2719227378001,261.0902469988302
144533710_144533705_0,1,1,0,5,21281.349295594948,1101.5280275946445,155.88858687133228,35.446923579544006,0.0,579.9483168254868,155.88858687133228
144533710_144581622_0,1,1,0,5,21426.014874294935,1093.9373128052807,277.8745116803266,35.446923579544006,0.0,453.4665262847092,277.8745116803266
144533710_31425365_0,2,2,1,5,21426.014874294935,1333.8420365094157,277.8745116803266,0.0,0.0,601.3905819461579,277.8745116803266
144533748_144533751_0,1,1,0,5,21050.842541655333,1672.9007909287554,120.16468622104551,130.6882858294247,0.0,1078.278063582333,120.16468622104551
144533748_1632285136_0,2,2,1,5,21164.21292959579,1758.979581191855,98.4403716291381,118.17994430893205,0.0,1064.7712198482727,98.4403716291381
144533748_144533777_0,1,1,0,5,21036.286063155134,1758.979581191855,120.16468622104551,130.6882858294247,0.0,898.8718295592967,120.16468622104551
144533751_144533757_0,1,1,0,5,20983.562606229025,1552.4123590597314,181.49859896510168,200.48012724499057,0.0,1056.8089682643206,181.49859896510168
144533751_144533748_0,1,1,0,5,21050.842541655333,1672.9007909287554,120.16468622104551,130.6882858294247,0.0,1078.278063582333,120.16468622104551
144533751_144533763_0,1,1,0,5,21050.842541655333,1541.3527047428952,0.0,116.44569839841475,0.0,898.6152848071662,0.0
144533751_144533772_0,1,1,0,5,20958.99046024652,1672.9007909287554,181.49859896510168,200.48012724499057,0.0,921.7950561721844,181.49859896510168
144533757_144533662_0,1,1,0,5,20971.838468081212,1552.4123590597314,189.29483382387048,298.63077894007114,0.0,1056.8089682643206,189.29483382387048
144533757_144533668_0,1,1,0,5,20983.562606229025,1456.8417583641326,0.0,205.19324839153413,0.0,871.7945985446744,0.0
144533757_144533751_0,1,1,0,5,20983.562606229025,1552.4123590597314,181.49859896510168,200.48012724499057,0.0,1056.8089682643206,181.49859896510168
144533763_30134861_0,2,2,1,3,21197.82838009796,1541.3527047428952,0.0,0.0,0.0,898.6152848071662,0.0
144533763_144533668_0,2,2,1,3,21157.410356803393,1456.8417583641326,0.0,116.44569839841475,0.0,871.7945985446744,0.0
144533763_144533751_0,1,1,0,5,21050.842541655333,1541.3527047428952,0.0,116.44569839841475,0.0,898.6152848071662,0.0
144533772_142052720_0,1,1,0,5,20880.215612751534,1864.9735981358174,342.5831629123995,345.0961969312075,0.0,901.618607886731,342.5831629123995
144533772_144533777_0,0,0,0,5,20958.99046024652,1866.7835100826742,308.7929470454094,328.24244836127764,0.0,898.8718295592967,308.7929470454094
144533772_144533751_0,1,1,0,5,20958.99046024652,1672.9007909287554,181.49859896510168,200.48012724499057,0.0,921.7950561721844,181.49859896510168
144533777_144533772_0,0,0,0,5,20958.99046024652,1866.7835100826742,308.7929470454094,328.24244836127764,0.0,898.8718295592967,308.7929470454094
144533777_142036907_0,1,1,0,5,20931.55152582616,1922.23305816314,308.7929470454094,328.2480518605743,0.0,682.2384441165873,308.7929470454094
144533777_144533748_0,1,1,0,5,21036.286063155134,1758.979581191855,120.16468622104551,130.6882858294247,0.0,898.8718295592967,120.16468622104551
144533793_144533797_0,0,0,0,5,20776.232165256228,1580.715811389418,366.3519777991951,470.39730682970804,0.0,1015.5962111723932,366.3519777991951
144533793_142052741_0,1,1,0,5,20791.9063883308,1580.1619170396416,264.67219503770275,359.9907629635399,0.0,1128.9283051875416,264.67219503770275
144533793_481142600_0,1,1,0,5,20778.634597197,1580.5400467330146,366.3519777991951,476.44190174703044,0.0,1167.8267861036793,366.3519777991951
144533797_144533793_0,0,0,0,5,20776.232165256228,1580.715811389418,366.3519777991951,470.39730682970804,0.0,1015.5962111723932,366.3519777991951
144581463_27252624_0,3,3,3,3,20597.450231098228,618.436074726697,0.0,0.0,0.0,1180.8911456018159,0.0
