road_id,width,openness,betweenness,closeness_global,closeness_400,straightness
12614606_433557530_0,50.0,1.0,0.006510232574585063,7.70736067266948e-05,2.1542807157073804e-06,0.8472628243559662
12614606_922501071_0,50.0,1.0,0.02008534292317124,7.699676275547436e-05,2.061269635469066e-06,0.8466887593698438
12614629_587656935_0,36.89147665247741,0.9090909090909091,0.008882304991267393,6.988229876713417e-05,3.2751114884828363e-06,0.8446118378784919
12614635_12614668_0,50.0,1.0,0.0009270427112909248,6.87485769387697e-05,9.93909136616948e-07,0.8312779285991846
12614635_29807181_0,27.363993555777185,0.6666666666666666,0.0047519082009257075,6.893765083338806e-05,9.749180687019587e-07,0.829910554582934
12614635_12614629_0,50.0,1.0,0.008826285908359991,6.924969009986372e-05,1.8727975178075943e-06,0.8368304077541582
12614644_29266374_0,50.0,1.0,0.0003618073636725995,8.148777323643898e-05,2.638134832417694e-06,0.862660709285342
12614644_29266244_0,32.122715609772406,0.5540540540540541,0.010141412194284027,8.17190716813806e-05,3.0795442712820265e-06,0.8653556838639298
12614644_29266235_0,22.587884794475173,0.5454545454545454,0.00025487796141666967,8.150301846205046e-05,2.3511891003663742e-06,0.8611475495456369
12614650_243856097_0,50.0,1.0,0.0004095131416942068,8.080945787232525e-05,2.433919858475555e-06,0.8499709857386716
12614650_29784565_0,42.85740272773906,0.6538461538461539,0.001170654666952007,8.083144224189256e-05,2.4811188646567577e-06,0.8506674799985761
12614650_27195457_0,26.522629606091364,0.375,0.0002905904801177189,8.042989601633009e-05,2.4704777303827143e-06,0.8472952972535286
12614651_29785844_0,38.15231590232757,0.6666666666666666,0.02716602240095682,7.856025605031644e-05,1.736242529303182e-06,0.8413756483814139
12614667_444894685_0,38.79188661279941,0.6,0.027923838604260304,7.965052966946421e-05,3.140582707435474e-06,0.8436764282388121
12614667_1410036218_0,19.41234700070719,0.2,0.0023584550433933572,7.961011897883958e-05,2.6314150927314367e-06,0.8404739852938155
