road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness,green,industrial,commercial
6079821947_3776625291_0,2,2,2,5,23885.78353356697,4686.413972705057,428.3358305325365,77.698181991738,0.0,737.0891587239627,428.3358305325365,0.0,0.0,0.0,12.069721735702474,0.0001419043881896,5.539607491043126e-05,1.2470688632792146e-06,0.8020686110075559,0.0,0.0,79.77261514380015
6079821947_6079821946_0,2,2,1,5,23885.78353356697,4503.996303180504,428.3358305325365,204.467585394768,0.0,987.0179622749988,428.3358305325365,0.0,0.0,0.0,15.295455950283372,1.5418803497610635e-08,5.571271444226022e-05,1.5488610514103764e-06,0.802783448516142,0.0,0.0,99.99999999999996
6079821948_3776625284_0,2,2,2,5,24144.85350139355,4648.124839798308,518.3051013045716,67.36445655574086,0.0,778.2957515088174,518.3051013045716,0.0,0.0,0.0,50.0,7.097018269891883e-05,5.4719913426305584e-05,1.265935649310446e-06,0.7951472226503945,0.0,0.0,49.976488806367854
6079821948_6079821946_0,1,1,1,5,23944.473297514814,4503.996303180504,528.4758398393382,80.48054677571811,0.0,788.3165209988417,528.4758398393382,0.0,0.0,0.0,14.475826011260752,0.000141945504999,5.505500130467223e-05,1.4517750227528666e-06,0.7965138850866826,0.0,0.0,88.20819239536387
6079821949_6079821946_0,2,2,1,5,23872.511354080325,4452.22337920594,501.98346888951096,204.467585394768,0.0,992.7563913393884,501.98346888951096,0.0,0.0,0.0,15.43153126263532,0.0002838344743851,5.548525380896416e-05,1.6237812585197775e-06,0.798297215443273,0.0,0.0,91.73970562471806
6079821949_12762398448_0,2,2,1,5,23743.000716958944,4449.3510057575095,285.6935772882197,237.56819801600025,0.0,1066.3416363248766,285.6935772882197,0.0,0.0,0.0,36.32540505223586,0.0004256360705515,5.611613774201408e-05,1.7115501819499308e-06,0.8054341484255296,0.0,0.0,67.7376439331948
6083315319_32350220_0,1,1,0,5,14283.39660442395,152.7712809790292,482.50728909423975,666.6585895356865,0.0,61.49984850536411,152.7712809790292,0.0,0.0,0.0147154896876876,35.33505684245455,0.0002838498931886,5.839274315634669e-05,1.1489101423975764e-06,0.8334482018828291,6.0845356868999065,0.0,0.0
6083315319_1611956311_0,1,1,1,5,14397.807704341703,283.60174045933223,482.50728909423975,666.6585895356865,0.0,186.83278538478064,283.60174045933223,0.0,0.0,0.0,48.80088072674992,0.0002251068216633,5.842766361813396e-05,9.529744654287892e-07,0.8367317310365112,12.469697556908628,0.0,0.0
6083315319_32350268_0,1,1,0,5,14277.724314574138,281.3024558074837,147.76561394508073,431.846389613428,0.0,175.86827573699645,147.76561394508073,0.0,0.0,0.0,38.51208035184591,0.000579649359088,5.922701273866922e-05,9.995551545301214e-07,0.8401126653282064,10.214382812499796,0.0,0.0
6083366760_301571470_0,4,4,3,2,13795.074086979035,0.0,0.0,667.291231229858,83.27355506868155,543.6172810809779,0.0,0.0502950997159642,0.0267043841486351,0.0,50.0,0.0008726451725513,6.142604388052839e-05,3.264108505092637e-06,0.8539423189460911,4.789882972892271,0.0,0.5974908191845048
6083461548_325636824_0,1,1,0,5,14738.506634023135,461.5337287703814,745.6433310955631,789.7822309009433,0.0,471.4808438974104,461.5337287703814,0.0,0.0033154038174895,0.0,32.583808995712374,7.097018269891883e-05,5.7083256173748496e-05,2.888335715980018e-07,0.8292035686135306,0.9746864697309984,0.0,0.0
6083530413_6083530415_0,1,1,0,5,15439.451137879129,1293.056950009278,709.0190711168424,749.511197142111,0.0,1290.2399451379945,709.0190711168424,0.0,0.0,0.0,42.64182333798084,0.0002024720181288,5.683786381917798e-05,1.0539625484232002e-06,0.8239311514694194,0.0,0.0,0.0
6083530413_1611889344_0,1,1,0,5,15172.870319373136,1174.90218574256,441.8801613319778,599.4485039434321,0.0,1083.1994712630185,441.8801613319778,0.0,0.0,0.0030041474662742,27.15708973129353,0.0001594124395612,5.766317148282618e-05,1.001825184448675e-06,0.8275554121968749,4.5528301476937,0.0,0.0
6083530413_32351061_0,1,1,0,5,15439.451137879129,1293.056950009278,651.1254312922806,673.76722373247,0.0,1290.2399451379945,651.1254312922806,0.0,0.0,0.0,24.83615970119003,0.0001140400404689,5.7248387658011206e-05,1.3274934439349463e-06,0.8254390282618449,0.0,0.0,0.0
6083530415_6083530417_0,1,1,0,5,15653.942062520948,1390.064753845309,879.4144682719792,789.7949869171292,0.0,1264.1576848800887,879.4144682719792,0.0,0.0,0.0,39.49186954509976,0.0001419300861955,5.613099116682892e-05,7.736826729535252e-07,0.8196671734331071,0.0,0.0,0.0
6083530415_6083530413_0,1,1,0,5,15439.451137879129,1293.056950009278,709.0190711168424,749.511197142111,0.0,1290.2399451379945,709.0190711168424,0.0,0.0,0.0,42.64182333796292,0.0002024720181288,5.683786381917798e-05,1.0539625484232002e-06,0.8239311514694194,0.0,0.0,0.0
6083530415_257094217_0,1,1,0,5,15653.942062520948,1390.064753845309,764.0913682110602,764.2041280848044,0.0,1240.823468159355,764.0913682110602,0.0,0.0,0.0,23.072496352079227,1.040769236088718e-05,5.656225988771666e-05,1.2683810582236664e-06,0.8204327833138072,2.770781807407832,0.0,0.0
6083530417_6083530415_0,0,0,0,5,15653.942062520948,1390.064753845309,879.4144682719792,789.7949869171292,0.0,1264.1576848800887,879.4144682719792,0.0,0.0,0.0,39.49186954496828,0.0001419300861955,5.613099116682892e-05,7.736826729535252e-07,0.8196671734331071,0.0,0.0,0.0
6083530417_341773419_0,1,1,0,5,15862.399953399176,1504.6530522523267,1041.4899235202156,704.3943358579726,0.0,1210.301704583494,1041.4899235202156,0.0,0.0,0.0,40.2030247413942,7.097018269891883e-05,5.553399599084804e-05,4.7074466026079563e-07,0.8160792967254347,7.051884541537082,0.0,0.0
6083530417_257094223_0,1,1,0,5,15862.399953399176,1504.6530522523267,904.9188470864974,636.0767643016632,0.0,1075.3265553802996,904.9188470864974,0.0,0.0,0.0,33.01517372243616,1.5418803497610635e-08,5.580778331797569e-05,6.752183632576036e-07,0.8144538598927913,0.0,0.0,0.0
6093586643_4703819465_0,2,2,1,5,16189.560795029594,2752.345554972912,0.0,303.43860267380546,0.0,476.4161856577629,0.0,0.0,0.0,0.0,23.291828034605096,7.097018269891883e-05,6.200344766684123e-05,2.448208112007424e-06,0.8425140227850654,0.0,0.0,0.0
6093586651_230341812_0,2,2,1,5,16370.988694910524,2723.390144075868,0.0,143.72740402178783,0.0,279.1603626426337,0.0,0.0,0.0066198867742425,0.0,32.44162792821384,5.3950393438139615e-05,6.148729001756822e-05,2.2335094629564638e-06,0.8421606563099029,0.0,0.0,15.86462426167296
