idTram,day_pct_fluid,day_pct_congested,day_traffic_volatility,day_sensor_uptime_pct,evening_pct_fluid,evening_pct_congested,evening_traffic_volatility,evening_sensor_uptime_pct,night_pct_fluid,night_pct_congested,night_traffic_volatility,night_sensor_uptime_pct
159,0.8326211568525274,0.0005211047420531526,0.47175108181026215,0.8805175736441222,0.9468462083628633,0.0,0.3794193791801961,0.8851944792973652,0.9983911744426569,0.0,0.4543804727936948,0.698170731707317
160,0.8711983983220517,0.0,0.524421725187633,0.9625585023400937,0.957901554404145,0.0006476683937823834,0.5972172335123209,0.9686323713927227,0.9664933564413634,0.0,0.45509822998630745,0.5555198973042362
161,0.8712691904262421,0.0,0.5229305013558561,0.9623749655868588,0.957901554404145,0.0006476683937823834,0.5972172335123209,0.9686323713927227,0.9664933564413634,0.0,0.45509822998630745,0.5555198973042362
162,0.9251799961081922,0.002335084646818447,0.6991368980397377,0.9431953748738184,0.9759036144578314,0.0006693440428380187,0.6257307068116207,0.9372647427854455,0.9946653734238603,0.00048496605237633366,0.3102871492207572,0.3308729139922978
163,0.9917330376045972,0.0,0.3238706154048595,0.9102505276681655,0.9885786802030457,0.0,0.35301366027549275,0.49435382685069007,0.9988998899889989,0.0,0.13679021451198337,0.14586007702182285
164,0.90730282375852,0.004284323271665044,0.7534320553814149,0.9424612278608792,0.9650772330423103,0.000671591672263264,0.5845343337706905,0.9341279799247177,0.9888403687530325,0.00048520135856380397,0.3237955131538965,0.3307124518613607
165,0.9926948051948052,0.00010146103896103897,0.31428924839142025,0.9044691199412682,1.0,0.0,0.0,0.48557089084065247,1.0,0.0,0.03298695623770226,0.14746469833119383
166,0.9880975801691915,0.0016722408026755853,0.5862269835430428,0.9329173166926678,0.9933554817275747,0.00132890365448505,0.47953451074908443,0.9441656210790464,0.9938879456706282,0.0,0.2848981498423047,0.4725609756097561
167,0.9620337057375498,0.00047339519030486653,0.5402504610761667,0.9692575938331651,0.9859335038363172,0.0,0.5264402588136523,0.9811794228356336,1.0,0.0,0.30618158558594116,0.7464698331193839
168,0.9851242904678019,0.0015658641612840086,0.6849308340845504,0.9376892722767735,0.9874587458745875,0.0006600660066006601,0.5347794633948406,0.9504391468005019,0.9835790884718498,0.0,0.5975058534011206,0.47881899871630296
169,0.9434602336977007,0.0005653976630229929,0.628386861495033,0.9738460126640359,0.974587039390089,0.0,0.6442643917093729,0.9874529485570891,0.9914730334683436,0.0,0.5395956390446291,0.7527278562259306
170,0.8491912464319695,0.014747859181731684,0.733275754004102,0.9644856382490594,0.9382165605095542,0.0025477707006369425,0.6606032593783562,0.9849435382685069,0.9380674448767834,0.0012970168612191958,0.6140826088029403,0.49486521181001286
171,0.8334857258965762,0.0027430661383724473,0.711133021322825,0.9032761310452418,0.9893828798938288,0.0,0.440368696878243,0.9454203262233375,0.995982468955442,0.0,0.1757119424288225,0.43934531450577663
172,0.8329777506857665,0.0027430661383724473,0.7171502800179569,0.9032761310452418,0.9893828798938288,0.0,0.440368696878243,0.9454203262233375,0.995982468955442,0.0,0.1757119424288225,0.43934531450577663
173,0.953810623556582,0.0023094688221709007,0.8313679672361504,0.03973570707534184,0.9473684210526315,0.0,0.9051771436856572,0.02383939774153074,1.0,0.0,0.0,0.011071887034659821
174,0.948905109489051,0.0024330900243309003,0.87267243431632,0.03771680278975865,0.9428571428571428,0.0,0.9420164319072112,0.021957340025094103,1.0,0.0,0.0,0.011071887034659821
175,0.9744281290580361,0.001997802417340925,0.6850742788404375,0.9186932183169679,0.9863883847549909,0.0,0.6748426370869637,0.6913425345043914,0.9940517844646606,0.0,0.5054890147636993,0.4586007702182285
176,0.9763834684278996,0.0020014009806864803,0.6517653175467677,0.9170413875378545,0.9900181488203267,0.0,0.6174742152809883,0.6913425345043914,0.9979123173277662,0.0,0.4135069150046935,0.4611681643132221
177,0.8593559617058312,0.0,0.7499675541458389,0.5272093236670643,0.9725036179450073,0.0,0.5754144097132796,0.43350062735257217,0.9954819277108434,0.0,0.46686157955839075,0.3196405648267009
178,0.9189879294336118,0.001160631383472609,0.5843780553797685,0.7906763329356704,0.9350372736954207,0.0,0.5830894649316285,0.5890840652446675,0.9878923766816143,0.0004484304932735426,0.5177097887943355,0.3578305519897304
179,0.9683618218494532,0.00021233676611105213,0.9017570547779735,0.8643663393594567,0.9608404966571156,0.0,0.9664021222855199,0.6568381430363864,0.8227642276422764,0.0,1.8901298284120485,0.09868421052631579
180,0.9826939717334872,9.614460148062687e-05,0.27931543108320117,0.9544828851977608,0.999348109517601,0.0,0.42628391968920315,0.9623588456712673,0.9968216130313866,0.0,0.4516385080922406,0.4038831835686778
181,0.923941798941799,0.004251700680272109,0.4653247380678342,0.9712764981187483,0.9987261146496815,0.0,0.4347411296355794,0.9849435382685069,0.9992337164750957,0.0,0.39513112262629996,0.628209242618742
