fid,street_id,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m
250,T05576D,1,1,12,1,1,1,90,2
251,T12041W,1,1,13,1,1,6,50,1
252,T09786B,1,1,1,1,1,1,14,1
253,T18057C,1,1,1,1,1,1,1,2
254,T01504X,1,13,2,1,1,37,28,1
255,T00474E,1,14,1,1,4,41,2,1
256,T09248G,2,1,1,2,5,2,1,3
257,T06754H,1,1,1,1,1,1,1,1
258,T10174A,6,1,67,1,11,2,143,5
259,T02771S,1,1,1,1,1,5,1,2
260,T12048D,5,3,45,1,5,4,89,1
261,T04539U,3,6,1,1,6,11,1,2
262,T18085G,6,1,17,5,9,3,32,7
263,T01204O,1,2,1,1,6,6,37,1
264,T19522K,1,1,1,1,1,2,1,1
265,T21420E,1,1,1,1,2,2,1,1
266,T09685X,1,2,70,1,5,3,119,1
267,T12690X,1,2,1,1,1,6,1,1
268,T16126Q,4,8,1,1,10,14,2,3
269,T07804E,1,16,1,1,1,38,1,1
270,T05955K,3,1,1,1,4,4,1,1
271,T18024T,1,1,86,3,1,4,175,5
272,T16945R,1,2,1,1,4,5,1,2
273,T01457H,1,7,8,1,1,31,8,3
274,T18328G,5,1,67,1,10,5,130,4
275,T06005D,1,1,1,1,1,2,4,1
276,T17081Y,5,1,1,1,5,4,1,6
277,T09911O,2,1,1,1,4,1,24,1
278,T15736G,1,6,1,1,1,30,1,1
279,T02868A,1,2,20,1,1,4,83,1
280,T04934B,1,1,1,1,1,4,1,2
281,T10394K,1,11,25,2,11,23,86,2
282,T05481X,6,1,61,4,10,6,121,6
283,T18676X,1,1,1,2,1,1,1,3
284,RD0061I,5,1,30,3,8,2,116,6
285,T00788T,1,8,22,1,1,18,41,1
286,T20492Q,1,1,1,1,4,2,1,2
287,T20337G,1,1,1,1,1,1,5,1
288,T12200T,1,1,1,1,3,1,1,2
289,T03033V,10,4,66,1,13,8,167,4
290,T20896G,1,1,1,1,1,1,1,2
291,T08204Q,1,6,1,1,3,24,1,1
292,T12384Q,1,1,1,1,1,2,1,1
293,T03015T,1,1,2,1,2,7,100,1
294,T11053W,5,1,1,2,12,1,1,3
295,T15969V,6,2,1,1,9,2,1,1
296,T18594W,1,1,1,1,8,5,1,1
297,T20646Q,1,1,1,1,1,1,1,1
298,T08871T,1,1,1,1,2,9,1,3
299,T03215Z,1,4,23,2,4,20,57,4
300,T03245F,2,10,1,2,5,22,1,6
301,T20918V,1,1,1,1,1,1,14,1
302,T08813J,2,2,77,2,4,8,245,2
303,T00343U,1,33,1,1,1,64,1,1
304,T08182B,1,5,1,1,1,18,1,1
305,T00778R,1,8,2,1,1,14,17,1
306,T12223A,1,1,1,1,1,1,1,1
307,T12281K,2,1,1,5,6,4,18,7
308,T17542G,1,1,1,1,2,1,18,1
309,T02864W,1,3,26,1,1,4,61,1
310,T15646F,8,1,1,1,11,1,1,1
311,T12090F,1,4,10,1,3,12,57,1
312,T01677R,7,5,38,3,7,14,49,4
313,T09190F,2,4,1,1,3,12,26,1
314,T03151A,3,7,1,2,6,14,1,3
315,T17834P,4,11,1,1,9,22,1,2
316,T03723O,1,1,1,1,1,2,1,1
317,T08168D,1,9,1,2,3,20,56,2
318,T12346K,1,1,1,1,7,1,12,1
319,T01835N,3,5,1,1,3,12,1,1
320,T11501Z,2,1,1,6,3,3,2,10
321,T12814R,1,1,1,3,1,1,1,5
322,T17972Y,1,1,1,1,1,3,24,2
323,T19974I,1,1,1,1,1,1,1,2
324,T01715G,18,6,29,6,23,24,48,13
325,T09923S,7,1,85,1,9,4,138,4
326,T04209F,2,4,1,1,8,16,1,1
327,T11285K,2,1,1,4,7,1,1,6
328,T17220R,16,17,29,7,20,46,45,14
329,T08464I,8,3,1,2,13,6,1,3
330,T01205P,1,4,1,1,1,8,1,3
331,T03190H,3,15,1,1,6,32,1,1
332,T19683A,4,5,1,1,4,12,1,1
333,T06047N,2,1,24,1,2,1,56,1
334,T11429I,1,1,1,1,1,1,1,1
335,T17536I,2,1,1,1,3,3,1,1
336,T20265H,2,1,108,1,8,12,168,1
337,T20273H,1,1,1,1,3,1,1,1
338,T00108L,1,3,1,1,1,19,1,1
339,T00378F,1,7,1,1,2,28,1,1
340,T09142X,2,2,47,1,2,5,118,1
341,T07579O,1,1,1,1,1,1,1,1
342,T03658W,1,15,1,1,3,33,15,1
343,T02834Q,4,1,30,1,6,10,78,3
344,T01104L,1,15,1,1,2,42,30,1
345,T09560L,4,1,11,1,5,5,38,1
346,T18917V,1,2,1,1,1,4,1,1
347,T00977W,1,6,1,1,1,22,1,1
348,T13855E,1,1,1,3,1,1,5,6
349,T13029E,1,1,1,1,1,1,1,1
350,T16964U,1,1,1,1,1,4,1,3
351,T03246G,3,7,1,5,5,15,1,6
352,T10302Q,4,3,49,1,7,7,94,1
353,T10049W,1,1,1,1,1,1,2,2
354,T04552R,1,1,1,3,3,3,1,5
355,T18714M,1,1,5,2,2,3,9,2
356,T15825G,1,1,1,1,7,1,2,2
357,T13694F,1,1,1,1,1,1,1,1
358,T16350W,5,1,1,1,6,1,2,2
359,T08200M,1,5,1,1,1,14,8,1
360,T11306Y,1,1,1,1,1,2,1,1
361,T08799C,1,1,62,1,6,3,129,2
362,T11720I,1,1,1,2,1,1,1,3
363,T06243P,1,2,1,1,1,4,1,1
364,T01628I,1,4,1,1,6,11,1,2
365,T20879F,1,1,1,3,1,1,1,3
366,T20141W,6,13,14,3,11,30,32,5
367,T17373H,1,1,1,1,1,6,1,2
368,T20814O,1,1,1,2,4,2,3,3
369,T19371N,1,1,18,1,4,1,47,1
370,T17243Y,3,1,1,1,7,1,5,4
371,T21572T,3,1,1,1,3,1,1,3
372,T16654J,1,10,1,1,1,20,1,1
373,T09197M,1,6,1,1,3,19,1,2
374,T09596X,7,1,25,1,8,9,67,3
375,T07071R,5,3,6,1,5,8,9,1
376,T06649H,1,1,1,1,2,1,1,1
377,T05732X,1,2,1,1,5,10,1,2
378,T02150V,3,8,1,2,3,26,19,5
379,P72464,2,5,35,1,5,5,110,1
380,T20667V,1,1,30,1,1,2,45,1
381,T06362V,1,1,1,1,1,4,2,1
382,T01744L,11,9,14,3,12,28,22,6
383,T16522Y,5,2,30,1,7,3,114,2
384,T08430Y,1,1,1,1,1,4,1,4
385,T10405W,2,3,1,1,4,11,1,1
386,T00030G,5,9,1,1,12,28,1,1
387,T02376L,11,13,28,3,16,27,82,7
388,T13777H,1,1,1,2,1,1,1,2
389,T09116V,4,9,104,1,6,22,271,4
390,P12920,1,17,1,1,1,47,11,3
391,T02072Y,10,18,50,1,10,29,121,2
392,T19882F,2,2,4,1,2,2,19,4
393,T20591S,5,1,7,5,7,1,12,6
394,T10205Q,6,2,36,1,7,4,76,1
395,T19288T,4,2,1,1,8,9,1,7
396,T10010H,1,7,1,1,1,16,4,1
397,T05411J,1,1,1,1,1,1,1,1
398,T03166H,1,1,1,1,1,2,1,1
399,LRD0009,1,1,1,1,2,1,105,2
400,T01194D,1,1,1,1,1,8,2,1
401,T17964Y,1,1,1,1,1,1,2,1
402,T11950U,1,1,1,1,1,1,3,1
403,T12466R,1,1,1,1,1,1,1,1
404,T07963S,1,1,1,1,1,11,10,1
405,T04881F,1,4,1,1,3,6,1,2
406,T13591Z,1,8,1,1,1,18,1,1
407,T20934V,1,1,1,1,3,2,1,1
408,T10431Y,1,4,1,1,3,16,1,1
409,T08096E,1,11,1,1,3,18,32,2
410,T05731W,1,1,1,1,1,8,1,1
411,P72650,1,9,83,1,1,15,198,2
412,T19517N,1,1,1,1,1,1,1,1
413,T16516A,1,1,1,1,1,1,1,1
414,T01022K,1,8,1,1,3,24,16,3
415,T03040U,1,1,1,1,1,2,1,1
416,T10520Y,1,1,1,1,2,3,1,1
417,T04463R,2,1,1,1,4,10,1,1
418,T01716H,20,10,15,2,22,21,32,3
419,T11284J,5,1,1,2,11,5,1,3
420,T16625E,1,8,1,1,1,35,1,1
421,T21418K,1,1,1,1,1,2,1,2
422,T20001L,5,1,24,1,9,3,24,2
423,T01988D,4,10,1,1,4,20,1,3
424,T17773T,4,1,1,2,4,1,15,3
425,T15954O,2,1,1,1,5,8,1,2
426,T03868E,4,1,1,1,4,2,1,2
427,T03837X,1,2,1,1,5,10,55,1
428,T03563Q,1,1,19,3,1,4,29,4
429,T17201O,3,1,1,1,4,3,1,1
430,T16893W,1,1,1,1,1,1,1,1
431,T06889V,8,4,32,2,10,8,103,5
432,T06954N,1,1,1,1,1,1,1,1
433,T09656S,4,2,11,1,4,4,70,1
434,T18219C,2,1,73,1,3,2,215,1
435,T01074W,1,9,1,1,1,41,1,1
436,T04503I,2,1,1,1,5,3,1,1
437,T21478W,1,7,10,2,1,15,24,2
438,T00990T,1,13,1,1,1,25,3,2
439,T14615U,1,9,1,2,1,20,1,2
440,T18964C,1,1,1,1,2,1,1,2
441,T18698D,5,1,1,3,14,1,1,4
442,RD0095Q,5,1,1,1,8,1,5,1
443,T13489C,9,1,1,1,10,1,1,3
444,T06565E,1,1,1,1,1,2,1,4
445,T12133Z,6,1,18,1,9,4,25,3
446,T21161E,1,1,1,1,1,1,1,1
447,T17832N,3,1,92,1,3,2,188,1
448,T07231P,1,1,1,1,1,1,1,1
449,T17632H,2,13,33,1,5,28,114,2
450,T13360M,3,9,1,1,8,19,1,1
451,T13074J,4,1,74,2,8,3,197,2
452,T06154P,1,1,1,1,3,2,1,1
453,T08522B,1,1,1,1,1,2,1,2
454,T18602F,1,1,1,1,5,1,19,3
455,T12930U,1,1,1,2,2,1,1,2
456,T09866A,1,1,1,1,1,1,1,2
457,T09007R,1,3,1,1,4,8,1,1
458,T03513G,1,3,9,1,13,12,29,2
459,T10422X,5,8,1,1,10,20,42,3
460,T17530C,1,2,1,1,1,3,1,1
461,T08454G,5,2,1,2,10,5,1,5
462,T16226T,2,1,10,1,4,1,47,2
463,T03504F,1,1,1,2,1,11,6,2
464,T03458Q,7,4,38,1,10,10,83,1
465,T11492P,1,1,1,1,1,1,1,2
466,T08468M,1,1,1,1,1,1,1,1
467,T21331E,1,1,1,1,1,1,1,1
468,T07500R,1,1,1,1,1,1,1,1
469,T07120J,1,1,1,1,1,1,1,1
470,T02840O,1,5,42,1,1,14,138,1
471,T02245B,10,2,72,2,10,4,112,3
472,T07783Q,1,9,1,1,1,23,1,1
473,T08080W,6,6,47,3,13,20,109,4
474,T02505C,5,22,67,1,5,29,288,1
475,T04236I,3,3,11,1,5,9,29,1
476,T04547U,1,1,1,1,1,2,1,4
477,T01584N,1,7,1,1,1,31,1,1
478,T06056O,4,4,1,1,8,7,1,1
479,T07373C,4,9,1,1,4,18,1,1
480,T10402T,4,1,1,2,9,11,5,2
481,T07638I,1,1,1,1,1,4,1,1
482,T11237C,1,1,1,1,1,3,1,2
483,T04715S,8,2,1,4,10,4,3,5
484,RD0035I,2,2,13,5,5,2,25,7
485,T05364T,1,2,1,1,1,3,1,2
486,T05239P,1,1,1,1,1,1,4,2
487,T04732T,4,3,1,3,10,7,3,4
488,T10805I,3,4,1,1,3,17,1,3
489,T14420L,1,2,1,1,1,6,1,2
490,T13303D,1,10,1,1,1,39,2,1
491,T06014E,1,1,1,1,1,3,1,3
492,T02593S,4,7,79,4,4,30,232,5
493,T18095I,3,1,3,1,3,4,17,1
494,T21341G,3,2,11,1,4,3,38,1
495,T06655F,1,1,1,1,2,1,1,1
496,T09995I,4,3,87,1,4,12,144,4
497,T11274H,1,1,1,1,5,5,1,2
498,T15386E,3,1,13,3,3,11,16,6
499,T00687P,1,2,33,1,1,23,41,1
500,T12673W,1,1,1,1,2,6,5,1
501,T11582Q,1,1,8,1,2,1,31,2
502,T11954Y,1,1,1,1,3,3,1,1
503,T08404W,1,2,1,1,2,9,1,1
504,T07829N,1,5,13,1,2,20,21,1
505,T05541S,1,1,45,8,1,3,82,14
506,T21082G,5,1,9,1,12,6,22,3
507,T08760N,1,2,1,1,2,9,2,1
508,T12935Z,1,1,1,1,3,1,1,4
509,T12987L,1,1,1,2,3,2,2,5
510,T05734Z,6,1,58,2,11,3,158,5
511,T21531K,11,1,1,4,16,1,1,8
512,T21513I,1,1,1,2,3,1,1,5
513,T07860M,1,12,1,1,1,32,1,1
514,T08057X,4,2,1,1,9,9,11,4
515,RL0021U,1,1,1,1,1,1,1,1
516,T01740H,2,10,63,1,2,20,93,1
517,T02209X,5,9,82,1,9,21,164,1
518,T07238W,1,8,1,1,4,21,5,2
519,T07921I,2,8,1,1,7,12,1,1
520,T10672N,3,1,1,1,7,2,5,2
521,T03181G,3,4,1,3,4,10,1,4
522,T09243B,5,1,1,1,6,3,6,1
523,T21283N,1,1,1,1,1,1,1,2
524,T17618J,1,1,41,1,1,4,93,3
525,T16637I,1,7,1,1,1,29,2,5
526,T19104W,1,1,1,1,1,1,1,2
527,T07351W,5,6,1,1,6,13,1,3
528,T17627K,2,1,1,1,10,1,1,4
529,T02090A,4,7,18,2,4,14,42,2
530,T21304B,1,1,1,1,1,1,1,1
531,T07165W,1,1,1,1,1,1,1,1
532,T05189W,1,1,1,1,1,2,4,1
533,T02825P,1,3,25,1,7,15,70,6
534,T03476S,2,5,34,2,4,13,81,2
535,T05909E,1,1,8,1,1,1,19,1
536,T14653A,1,1,1,1,1,4,1,1
537,T19798K,1,1,11,1,1,18,14,1
538,T16913J,1,1,1,1,1,1,1,1
539,T12371L,1,3,1,1,3,5,1,2
540,T09595W,1,1,23,1,1,3,116,1
541,T15382A,4,1,32,1,11,4,96,2
542,RD0099U,5,1,1,2,8,1,14,4
543,T15301J,4,1,1,1,4,1,1,2
544,T17598W,4,1,26,1,9,2,89,3
545,T09249H,4,1,4,1,5,5,16,4
546,T08239B,6,2,9,1,9,18,18,2
547,T14523R,1,6,1,1,1,11,1,1
548,T03356L,3,5,1,1,5,10,1,2
549,T05139M,1,1,1,1,2,1,1,1
550,T02564N,2,7,1,3,3,23,17,4
551,T02786Z,3,5,1,1,5,22,6,2
552,T14840B,1,1,1,1,2,5,2,3
553,T18807Q,1,1,1,1,1,1,1,1
554,T06150L,4,1,1,1,9,1,1,1
555,T00402O,1,4,1,1,6,11,1,2
556,T14663C,5,5,40,2,6,12,101,3
557,T06291X,1,1,1,1,1,1,1,1
558,T01808K,1,11,1,1,4,33,1,1
