street_id,bldg_h_mean_50m,bldg_h_max_50m,bldg_h_mean_100m,bldg_h_max_100m
T01399O,17.65714285714286,21.0,17.54054054054054,27.0
T07196D,9.375,15.0,9.176470588235293,15.0
T16605A,18.75,33.0,17.806451612903224,33.0
T08150T,14.210526315789474,30.0,14.263157894736842,33.0
T19543P,27.681818181818183,36.0,22.8125,36.0
T07943O,12.72,39.0,13.610526315789473,39.0
T15806D,15.365853658536585,30.0,15.879310344827585,33.0
T17715J,11.307692307692308,12.0,11.64,12.0
T11358K,14.76923076923077,24.0,14.911764705882353,33.0
T07809J,12.67605633802817,24.0,13.043478260869565,33.0
T00421R,15.0,24.0,16.8125,24.0
T12379T,12.0,12.0,12.095541401273886,18.0
T12460L,13.090909090909092,18.0,13.607142857142858,18.0
T10987D,10.961538461538462,12.0,10.631578947368421,12.0
RD0042P,0.0,0.0,12.0,12.0
T18833S,12.0,12.0,12.904761904761905,27.0
T08012K,12.428571428571429,24.0,12.854748603351956,27.0
T08485N,15.857142857142858,27.0,13.705882352941176,27.0
T19654V,21.0,27.0,17.7,27.0
T01031L,15.3,24.0,15.863636363636363,30.0
T19876H,9.0,12.0,11.25,12.0
T20838W,18.235294117647058,30.0,18.49342105263158,33.0
T07870O,12.061224489795919,24.0,12.642857142857142,30.0
T11122S,12.9,30.0,12.433734939759036,30.0
T07268C,10.928571428571429,27.0,13.261682242990654,39.0
T04998R,12.0,12.0,11.94943820224719,12.0
T03500B,17.941176470588236,30.0,18.956521739130434,33.0
T08680O,8.647058823529411,12.0,9.535714285714286,12.0
LRD0042,51.0,51.0,16.0,51.0
T00269B,14.571428571428571,24.0,14.944954128440367,24.0
T00054O,20.6,39.0,18.464285714285715,39.0
T00431T,18.473684210526315,24.0,16.88888888888889,24.0
T02452G,16.636363636363637,30.0,16.2,30.0
T00803B,19.93548387096774,36.0,17.71551724137931,36.0
T03353I,12.0,12.0,13.0625,36.0
T02509G,19.2972972972973,30.0,17.47252747252747,36.0
T07590J,13.565217391304348,30.0,13.233644859813085,39.0
T14617W,22.043478260869566,30.0,16.659574468085108,33.0
T05995S,9.777777777777779,24.0,10.426829268292684,33.0
T20611F,13.05,27.0,13.397260273972602,42.0
T13769H,0.0,0.0,0.0,0.0
T11154A,15.75,30.0,14.462686567164178,33.0
T21320B,12.0,12.0,10.137931034482758,12.0
T15295C,16.392857142857142,33.0,17.013157894736842,33.0
T04674A,12.0,12.0,12.057692307692308,18.0
T03314B,12.290322580645162,27.0,11.898876404494382,27.0
T10945T,12.0,12.0,12.0,12.0
T11948A,12.0,12.0,12.086206896551724,21.0
T07825J,13.317073170731707,24.0,13.29496402877698,30.0
T18864Z,12.636363636363637,33.0,13.611940298507463,36.0
T11889G,7.75,21.0,7.4,21.0
T12662T,17.0,48.0,14.5,48.0
T03718R,18.0,30.0,19.17391304347826,33.0
T10619I,12.0,12.0,12.0,12.0
T10346C,21.2,63.0,21.24742268041237,63.0
T15636D,18.107142857142858,24.0,17.585106382978722,24.0
T07981U,13.714285714285714,33.0,13.069444444444445,33.0
T07716F,12.75,24.0,12.408376963350785,24.0
T17600Z,19.666666666666668,48.0,14.444444444444445,48.0
T14733Z,20.892857142857142,33.0,20.486842105263158,36.0
T18566S,12.0,12.0,9.75,12.0
T16591L,18.857142857142858,24.0,18.35483870967742,33.0
T10303R,13.583333333333334,33.0,11.544303797468354,33.0
T00174V,14.5,22.0,14.272727272727273,22.0
T00538D,16.75862068965517,21.0,17.108695652173914,24.0
T08499T,14.130434782608695,24.0,13.411764705882353,24.0
T07329Y,13.5,24.0,12.785714285714286,24.0
T02242Y,14.777777777777779,30.0,14.492307692307692,30.0
T14002X,8.0,18.0,12.84,24.0
T19722Q,16.0,24.0,38.0,110.0
T11953X,12.0,12.0,12.0,12.0
T02057Z,22.37837837837838,33.0,21.79787234042553,36.0
T02440C,13.724137931034482,44.0,13.622641509433961,44.0
T17568Q,20.47826086956522,33.0,20.31578947368421,33.0
T06334R,11.203125,27.0,11.175438596491228,30.0
T01876W,12.928571428571429,24.0,13.114285714285714,24.0
T08130P,14.884615384615385,27.0,13.743589743589743,27.0
T08690Q,9.846153846153847,15.0,10.3,15.0
T18026V,9.906976744186046,21.0,10.073684210526316,30.0
T21200U,13.0,30.0,12.794117647058824,30.0
T06097X,9.044444444444444,30.0,8.72809667673716,30.0
T04549W,10.24390243902439,27.0,11.542857142857143,27.0
T16187D,19.0,24.0,14.76923076923077,30.0
T02654O,22.09090909090909,33.0,19.189655172413794,33.0
T17857W,12.0,12.0,11.547169811320755,15.0
