TRAM,fid,street_id,street_length_m,daytime_count_150m,nighttime_count_150m,continuous_count_150m,discontinuous_count_150m,transport_related_count_150m,noise_sensitive_count_150m,recreation_green_count_150m,support_infrastructure_count_150m,daytime_count_per_meter_150m,nighttime_count_per_meter_150m,continuous_count_per_meter_150m,discontinuous_count_per_meter_150m,transport_related_count_per_meter_150m,noise_sensitive_count_per_meter_150m,recreation_green_count_per_meter_150m,support_infrastructure_count_per_meter_150m
T10470F,138,T10470F,93.3470175235858,12,1,25,8,6,4,5,9,0.12855258066459363,0.010712715055382804,0.26781787638457005,0.08570172044306243,0.06427629033229681,0.042850860221531215,0.053563575276914015,0.09641443549844522
T09103Q,139,T09103Q,64.94499966283124,9,0,26,8,18,1,45,17,0.1385787981634374,0.0,0.40033875024993026,0.12318115392305547,0.2771575963268748,0.015397644240381933,0.692893990817187,0.2617599520864929
T08860Q,140,T08860Q,91.8419785387458,4,0,4,3,2,2,3,1,0.04355306869083293,0.0,0.04355306869083293,0.032664801518124696,0.021776534345416466,0.021776534345416466,0.032664801518124696,0.010888267172708233
T10372E,141,T10372E,64.9347344956756,26,1,114,25,11,29,28,67,0.4004020375525136,0.015400078367404368,1.7556089338840979,0.3850019591851092,0.16940086204144805,0.4466022726547267,0.4312021942873223,1.0318052506160926
T10680N,142,T10680N,107.70905365975854,6,0,13,3,7,0,1,6,0.055705623586234106,0.0,0.1206955177701739,0.027852811793117053,0.06498989418393979,0.0,0.009284270597705684,0.055705623586234106
T20427H,143,T20427H,127.57748834023447,5,0,6,2,4,1,8,1,0.039191867350966934,0.0,0.04703024082116032,0.015676746940386774,0.03135349388077355,0.007838373470193387,0.0627069877615471,0.007838373470193387
T19924Y,144,T19924Y,257.31767986961296,5,2,26,6,8,2,24,20,0.019431233806140258,0.007772493522456104,0.10104241579192934,0.02331748056736831,0.031089974089824415,0.007772493522456104,0.09326992226947324,0.07772493522456103
T10740I,145,T10740I,46.120358546966145,8,0,9,6,1,0,2,1,0.17345918921799558,0.0,0.19514158787024502,0.13009439191349667,0.021682398652249447,0.0,0.043364797304498895,0.021682398652249447
T07261V,146,T07261V,69.45517008172598,12,0,17,11,19,0,11,4,0.172773315303669,0.0,0.24476219668019775,0.15837553902836324,0.2735577492308092,0.0,0.15837553902836324,0.057591105101223
T18813O,147,T18813O,78.04963922923338,0,0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,0.012812359030423954,0.0,0.025624718060847908,0.0
T12205Y,148,T12205Y,44.91990138601473,4,1,6,3,2,2,6,2,0.08904739050129241,0.022261847625323104,0.13357108575193863,0.06678554287596931,0.04452369525064621,0.04452369525064621,0.13357108575193863,0.04452369525064621
T20069F,149,T20069F,47.22425262483282,2,1,4,2,4,0,1,0,0.042351120215469586,0.021175560107734793,0.08470224043093917,0.042351120215469586,0.08470224043093917,0.0,0.021175560107734793,0.0
T00389I,150,T00389I,47.34100808852999,72,23,74,91,12,3,9,2,1.5208801609242562,0.48583671807302625,1.563126832061041,1.9222235367237126,0.25348002682070936,0.06337000670517734,0.19011002011553202,0.04224667113678489
T07531Y,151,T07531Y,75.22697873114633,0,0,1,0,0,0,3,1,0.0,0.0,0.013293103310368207,0.0,0.0,0.0,0.03987930993110462,0.013293103310368207
T16582K,152,T16582K,23.860355436542037,65,18,71,76,10,1,3,11,2.724184062256372,0.7543894326248415,2.975647206464653,3.18519982663822,0.4191052403471342,0.04191052403471342,0.12573157210414027,0.4610157643818476
T17601A,153,T17601A,76.94015762009958,1,1,11,1,13,0,20,10,0.012997114003036088,0.012997114003036088,0.14296825403339697,0.012997114003036088,0.16896248203946912,0.0,0.25994228006072173,0.12997114003036087
T13813U,154,T13813U,102.2304059976547,2,0,40,3,1,1,2,37,0.01956365115135983,0.0,0.3912730230271966,0.029345476727039743,0.009781825575679914,0.009781825575679914,0.01956365115135983,0.36192754630015683
T15618B,155,T15618B,72.37979183140783,34,10,187,41,16,1,10,153,0.46974437394342367,0.1381601099833599,2.5835940566888302,0.5664564509317755,0.22105617597337585,0.01381601099833599,0.1381601099833599,2.1138496827454065
T09280G,156,T09280G,17.20956571779606,25,4,28,26,24,2,5,4,1.4526804691037618,0.2324288750566019,1.6270021253962133,1.5107876878679123,1.3945732503396113,0.11621443752830095,0.2905360938207524,0.2324288750566019
T03795E,157,T03795E,109.86149228080502,6,0,41,4,2,3,5,35,0.054614222649225004,0.0,0.37319718810303754,0.036409481766150005,0.018204740883075003,0.027307111324612502,0.045511852207687505,0.31858296545381254
T05113C,158,T05113C,29.44407551418105,2,3,6,4,1,0,1,3,0.06792537938699236,0.10188806908048853,0.20377613816097706,0.13585075877398473,0.03396268969349618,0.0,0.03396268969349618,0.10188806908048853
T15784O,159,T15784O,52.0952419469269,24,2,41,22,18,4,5,12,0.4606946642929597,0.03839122202441331,0.7870200515004728,0.4223034422685464,0.34552099821971977,0.07678244404882661,0.09597805506103327,0.23034733214647984
T17159D,160,T17159D,161.6553751016881,8,0,15,6,5,3,26,7,0.049487992558043065,0.0,0.09278998604633074,0.0371159944185323,0.030929995348776912,0.01855799720926615,0.16083597581363995,0.04330199348828768
