road_id,noise_day,noise_evening,noise_night,road_length,road_category,one_way
30227487_431107481_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),205.32405370878521,living_street,0
30236751_30236750_0,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),59.882360420105606,residential,0
30236750_10967809658_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),138.23044012334452,residential,0
30236750_30236749_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),58.98202303548895,residential,0
30236749_30236779_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),93.80775108145252,residential,0
30236748_1514106958_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),68.30308367346032,residential,0
30236748_1514106958_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),68.30308367346032,residential,0
30236748_1514106958_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),68.30308367346032,residential,0
30236720_30236761_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),67.10387813388736,residential,0
30236716_30236715_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),41.87139198022055,residential,0
30236773_30236748_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),100.80848478180792,residential,0
30236761_1514106960_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),68.50042553089992,residential,0
30236761_1514106960_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),68.50042553089992,residential,0
30236760_30236715_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),101.77880905889485,residential,0
30236752_30248272_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),102.83081784449851,living_street,0
30236752_30236753_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),39.43866169457612,residential,0
30236752_30236753_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),39.43866169457612,residential,0
30236751_30248264_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),78.59777060199644,residential,0
30236751_30236750_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),59.882360420105606,residential,0
30237481_30237482_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),121.93847719694979,residential,0
30237479_998567760_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),75.77792175137915,living_street,0
30237104_3618456746_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),81.8155303824937,residential,0
30237104_3618456746_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),81.8155303824937,residential,0
30237104_3618456746_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),81.8155303824937,residential,0
30237081_7021902544_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),73.9154401209267,residential,0
3129196076_3129196077_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),66.31761077276344,living_street,0
30236780_30236749_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),68.44190818169633,residential,0
30236780_30236749_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),68.44190818169633,residential,0
