fid,street_id,bldg_agriculture_pct_50m,bldg_industrial_pct_50m,bldg_office_pct_50m,bldg_public_services_pct_50m,bldg_residential_pct_50m,bldg_retail_pct_50m,bldg_unknown_pct_50m,bldg_agriculture_pct_100m,bldg_industrial_pct_100m,bldg_office_pct_100m,bldg_public_services_pct_100m,bldg_residential_pct_100m,bldg_retail_pct_100m,bldg_unknown_pct_100m
7325,T04618S,0.0,0.0,0.0,0.5432225004600156,29.603780965154925,1.1236916633029932,0.0,0.0,0.0,0.0,1.1266093584295636,27.689544470274107,0.44582218473269464,0.0
7326,T20931S,0.0,0.0,0.0,2.9785000733839064,3.3293214063064402,0.0,0.0,0.0,0.0,0.38115919515374086,3.9899261715310783,7.884365019403685,0.0,0.0
7327,T02677V,0.0,0.0,0.0,0.0,39.65367398699113,1.4387996073983773,0.0,0.0,0.0,0.0,0.4246199814888934,41.67322270161393,1.076175056682095,0.0
7328,T18239G,0.0,0.0,0.0,0.0,25.38385776341278,4.312027131452396,0.0,0.0,0.0,2.138323152721088,0.0,27.377727402107,2.2557403680018515,0.0
7329,T15788S,0.0,0.0,9.236639027394368,1.8387711394321486,35.83519504855907,0.0,0.0,0.0,0.1234705381425008,4.835309204804314,0.906819522478665,54.40276538195376,0.5530871414395037,0.0
7330,T10991Z,0.0,0.0,0.0,7.726058988228851,9.744120023435544,0.0,0.0,0.0,0.0,0.6807011523972151,12.765914425616993,8.243199904192894,0.47781503362949324,0.0
7331,T17698Z,0.0,0.0,0.0,1.0488488095347657,7.1423980621263645,0.0,0.0,0.0,0.0,0.0,0.8754935609833292,6.842072073960548,0.0,0.0
7332,T20779C,0.0,4.41409572500239,0.0,0.0,0.0,3.796336026105293,0.0,0.0,1.2540588449443533,1.5033844080784784,0.7561271411467017,0.1575572033464753,1.359347846019025,0.0
7333,T03556R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01583095525740752,0.4763923485118319,7.2119084243313525,0.0
7334,T00789U,0.0,0.0,0.0,1.9208282322394614,62.57218893422398,0.005043025697188057,0.0,0.0,0.0,0.0,0.9805865535618901,58.66149527646408,3.625849378709758,0.0
7335,T00953O,0.0,0.0,0.0,0.0,50.46065410828585,24.109961707384787,0.0,0.0,0.0,0.560686015382577,0.012873793155108613,47.60502348869118,18.18698613230265,0.10052752264043145
7336,T01692Q,0.0,0.0,0.0,5.0854644695737266,42.62025139530267,2.0171868435043074,0.0,0.0,0.0,1.2183668040945677,2.5979941334870955,52.73450437957698,0.7358091491693916,0.0
7337,T04661V,0.0,0.0,0.0,3.0737544545058437,29.27743281721822,4.8367472757434,0.0,0.0,0.1792064471057802,0.0,3.950055484904643,31.804318942838034,2.3130424853809823,0.0
7338,T16686R,0.0,0.0,0.0,0.0,19.59346607268808,0.0,0.0,0.0,0.0,0.0,1.1443514772133936,13.834247388166022,0.0,0.746989632951691
7339,T10716I,0.0,0.0,0.0,5.758273461459614,33.711544765439925,0.0,0.0,0.0,0.43497102197537707,0.0,1.8416904151310267,30.660797638012866,0.10982717889103222,0.0
7340,T14209K,0.0,0.0,0.0,0.0,3.9948210168343006,0.6636804608127799,0.0,0.0,0.0,0.0,1.3075073667440156,8.874775287696583,1.400168206386896,0.0
7341,T04147I,0.0,5.328644069627197,2.7136161383776134,0.0,0.0,0.0,0.0,0.0,6.924888754613928,13.50022415144373,0.0,0.0,0.0,0.0
7342,T07691N,0.0,1.9069158784419231,0.0,0.0,53.64983335352643,1.0267854745159593,0.0,0.0,1.1634579220955132,0.482639809883707,0.0,54.2565004421972,0.8609798964531604,0.0
7343,T19817W,0.0,0.0,0.9666309473953628,0.0,25.031514223578398,0.0,0.0,0.0,0.0,4.024732751348357,0.0,24.923921834615555,3.2076113209665804,1.172751574813502
7344,T19849E,0.0,0.0,0.928325780957661,1.645898901563345,46.172405673840004,0.1707872699174827,0.42373647619824306,0.0,0.0,0.31151073265638324,0.8063663765194616,42.96135120225334,0.22472739536368172,9.209309730164627
7345,T12499A,0.0,0.0,0.0,0.0,13.282467521598818,0.555670950914978,0.0,0.0,0.4367359558730392,0.0,1.4469460195559092,12.1694424903143,0.7599480117261587,0.1170662083263195
7346,T19623O,0.0,0.0,0.0,0.0,5.4564239736965146,0.0,0.0,0.20540155380611666,0.0,0.0,0.2111281683833148,4.628308754278271,0.0,0.0
7347,T08701C,0.0,0.0,2.8482009817186467,3.798408240250406,42.48349365023215,0.7789193783386409,0.0,0.0,0.031609377120134355,1.0356062549491671,2.9525813581123135,42.98149006272863,0.5106632579323669,0.0
7348,T07429B,0.0,0.0,0.0,6.9815192548184415,17.54896655650234,16.68186066273623,13.632052887560556,0.0,0.0,0.9492794696480114,5.422515460910602,23.64362559111854,8.756627162188945,8.121894043752395
7349,T02470I,0.0,0.5312227395686998,0.0,0.13709837285422746,47.516950059544364,0.0,0.0,0.0,2.371152504095008,0.0,4.9684593220286235,51.996325907958905,0.0,0.0
7350,T03628Q,0.0,0.0,0.5512162477998325,0.0,60.60744416616293,3.3222472470156377,0.0,0.0,0.0,0.206192589532189,0.0,54.548034865600194,2.2259124125117213,0.0
7351,T14557B,0.0,0.0,3.501263104380264,0.0,14.372188176359607,3.6557735971479475,0.0,0.0,0.0,4.375533623991935,0.0,32.134759884332375,3.3321900464063128,0.0
7352,T16002F,0.0,0.0,0.0,1.4349848277565591,12.7084712602559,0.0,0.0,0.0,0.0,0.0,0.809780919236643,14.786617618610553,0.0,0.0
7353,T08900H,0.0,0.0,0.0,0.0,49.80935881104765,0.0,0.0,0.0,0.40007961629427913,0.0,1.5788237617848884,51.92985705559141,0.36641014491515544,0.15722549085172782
7354,T12291M,0.0,0.0,0.0,0.0,47.632203266170706,0.8876848363872527,0.0,0.0,0.0,0.0,1.293346468527576,48.39465024390237,0.6889271616268845,0.0
7355,T11586U,0.0,0.0,1.6868125563027296,2.5995372953125617,7.099688055267688,6.365506329619286,0.0,0.0,0.0,2.0437617625132463,6.168287623731487,5.91901092696384,2.1488774272315063,0.0
7356,T20498W,0.0,0.0,12.753369947968935,0.0,1.5994377381212301,0.0,0.0,0.0,0.0,10.008972076002083,0.0,10.62789533444434,0.0,0.0
7357,T04305E,0.0,0.0,0.0,0.0,47.55385311462041,3.4270393458574806,0.0,0.0,0.0,0.0,0.0,53.59715461857717,1.2471590784605513,0.0
7358,T16021I,0.2719213018648954,0.17647843059902965,0.0,0.49903624536559593,1.540307660855209,0.0,0.0,0.2198817365535518,0.07593277251168289,0.0,0.35245793907993817,2.832435891246438,0.0,0.0
7359,T07657L,0.0,0.0,0.0,0.2027069169226825,10.646667717426292,0.0,5.553799524392543,0.0,0.241423696409701,0.0,1.0253298381648996,13.51148725683303,0.3812289255897672,6.661896451352571
7360,T16988C,0.0,0.0,5.41844681077032,5.778460558091841,52.4402341947361,2.632254952755883,0.0,0.0,0.0,2.928752036795315,4.7285982523759,63.05822123936316,2.6776285182741293,0.0
7361,T03820O,0.0,0.0,0.0,0.07297059918601953,8.850005742113117,0.0,0.0,0.0,0.11702402287786748,0.0,1.8561507633815713,10.092913960118183,0.09159151412072436,0.0
7362,T01586P,0.0,0.0,4.136473603385776,2.1350893902359998,62.046307261502875,3.762253815329802,0.0,0.0,0.0,1.8708833492671086,1.3785291125286951,65.52386501090223,4.726307246409007,0.0
7363,T04789K,0.0,0.0,0.0,0.0,33.91060118631358,0.0,0.0,0.0,0.06499475297771848,0.0,0.2894020052197722,32.105026087152,0.4399874581485005,0.0
7364,T05483Z,0.0,0.0,0.0,0.0,3.160102266551567,5.423287602412807,0.0,0.0,3.632487380337447,1.011635878388619,0.2965002288518383,4.122733775314071,4.007991019471096,0.0985689731044716
7365,T12886H,0.0,0.0,0.0,0.0,5.582566704018193,0.0,0.0,0.0,0.06655698768174698,0.0,0.0,7.500770482247838,0.7894419464229727,0.009507945909158181
7366,T16597R,0.0,0.0,0.0,21.980223588420625,30.48558268544387,2.934138783408265,11.858682190923712,0.0,0.0,0.0,17.52399494163366,38.52548378402246,5.169428058776162,3.7093067721629245
7367,T04111W,0.0,1.3228838528451838,10.770952809279137,0.0,0.0,0.6478062433852281,0.0,0.0,4.66545185843414,12.706752910081013,0.0,0.0,2.1690110867776524,0.0
7368,T04453P,0.0,0.0,0.0,0.0,44.30416709938479,0.0,0.0,0.0,0.0,0.0,0.0,44.10096599047539,0.9174164244610912,0.0
7369,T19987N,0.0,0.0,0.0,0.15563825290906091,8.491505104682293,0.0,0.0,0.18998388346318684,0.0,0.0,0.06114713390139685,8.88855587884573,0.0,0.0
7370,T20086G,0.0,0.0,0.26798396710755495,0.0,14.231756871166551,0.0,0.0,0.0,0.0,0.9987452308240345,0.0,12.262250486293459,0.0,0.10439123668041449
7371,T03318F,0.0,0.0,0.0,5.6683181992475,61.1780893860145,0.9461868357247497,7.621353755642131,0.0,0.0,0.4633981859436915,1.6520069571316784,58.99323581738173,2.7304333399682283,2.7984170213368866
7372,T06231L,0.0,0.0,0.0,4.229612317814164,41.28126410938972,5.577108053399817,0.0,0.0,0.0,0.3571295879068502,1.904247112600141,52.602481339367266,3.106023043558868,0.08635163268933159
7373,T02608I,0.0,0.0,1.6756642968587057,0.8437812397923892,49.67768025157747,0.6297594960497618,0.0,0.0,0.8629114615304844,0.6962987789006092,0.8202234728957144,55.81969301182227,5.470635369426398,0.0
7374,T03363K,0.0,0.0,2.6151709255901574,0.714118801811251,32.99449881075404,9.69445874743628,0.0,0.0,0.761379016750301,0.9785524088023212,1.0897369370981078,45.246926153021114,5.268633515559264,0.4878352250880966
7375,T15977V,0.0,0.0,0.0,7.7174760110664335,17.179892627555002,1.0992003230382164,6.794403491978923,0.0,0.0,0.0,6.989170107143575,21.473820559556145,0.8702458434963385,7.123015529594213
7376,T07615B,0.0,11.7560501587923,0.0,0.0,36.94443533073291,0.0,0.044616462186621096,0.0,4.978551018268883,0.0,0.0,36.40582652560332,4.0431662002960165,0.017379731529233555
7377,T20936X,0.0,0.145459692589903,0.0,0.0,8.657960112587984,0.06069053753602943,0.0,0.0,0.8179490857421272,0.0,0.0,17.412611890650794,0.14449560739388645,0.0
7378,T17667S,0.0,0.0,0.0,0.0,19.008675183433297,0.0,0.0,0.0,0.0,0.0,0.0,22.961165434420735,0.0,0.0
7379,T07499P,0.0,0.0,0.05970874937224399,4.580505206596491,10.694817075298396,0.17337607682866518,0.0,0.0,0.0,0.39170160229708495,4.714649584937213,9.550829422187793,0.574801242242908,0.0
7380,T19649Y,0.0,0.0,0.0,0.0,3.675547160331849,0.0,0.0,0.0,0.0,0.0,0.0,4.679362530970813,0.0,0.0
7381,T04017Z,0.0,0.0,0.0,7.1782486714089435,24.916679866803314,0.0,0.3376273796598311,0.0,0.0,0.0,7.350133295963128,18.320883702776996,0.15495330012562683,1.121276296180265
7382,T03684Y,0.0,0.0,0.0,0.0,66.70516179332398,1.4849258177229918,0.0,0.0,0.5832674524266538,0.0,1.0801298019503234,60.42172352184656,2.1412317385964563,0.0
7383,T09773W,0.0,0.0,0.0,0.0,20.101423866098404,0.0,0.0,0.0,0.0,0.0,0.0,20.140766172028222,0.0,0.0
7384,T19742U,0.0,3.9183839328636982,0.0,0.0,0.0,0.0,0.0,0.0186789165761601,2.9840427543609773,0.0,0.0,0.03630616979903166,0.0,0.0
7385,T18184I,0.0,0.0,7.544422172582313,0.24328050418212832,27.344849848952492,1.622211634955775,0.0,0.0,0.0,8.963724798020586,0.762883577414268,28.877563831811475,1.7925029687309875,0.0
7386,T12317F,0.0,0.0,0.0,2.359171724762953,39.719514510087365,0.10847693123759378,0.0,0.0,0.6004640765553683,0.05951377797804075,3.614971930813867,35.07106561464812,1.207803201805419,0.052968514677701396
7387,T16926O,0.0,0.0,1.747805367204494,21.375182963319965,37.48765876446474,7.138113102133084,0.0,0.0,0.42167302480119556,2.934731585399328,10.058165329796386,47.74087658331968,11.108169849921287,0.0
7388,T07475H,0.0,3.7905735975652077,0.0,4.6256947024577135,54.2818381495029,0.0,0.4715369945648567,0.0,1.2536436415648602,0.0,9.0871388565554,51.379830902059595,1.1014338041919498,0.15594984236120416
7389,T03021R,0.0,0.0,0.0,0.0,45.01480573091441,0.4211538971031432,0.0,0.0,0.3473683642891345,0.0,0.0,42.27382494123183,0.376453418454939,0.0
7390,T14882L,0.0,0.0,0.0,0.0,26.959103762158204,0.0,0.0,0.0,0.0,0.0,0.0,26.50525050390441,0.0,0.0
7391,T04475V,0.0,0.0,0.0,0.0,39.0264333862081,0.0,0.0,0.0,0.044145747031568296,0.0,1.8012909711918248,29.531417852356327,0.0,0.0
7392,T10448H,0.0,0.0,0.0,0.0,58.773034137100986,3.5121250820196517,0.0,0.0,0.0,0.2711554913042912,2.3479004298843034,50.72523220175126,3.114845712501826,0.0
7393,T07082U,0.0,0.0,1.9438732104352197,2.030965711270822,14.804525092232252,0.0,0.22969172986761804,0.0,0.0,1.1893047857575807,5.995518951102402,15.693724598222502,0.0,2.6360911501631668
7394,T16042N,0.0,0.0,0.0,0.8596805681481791,3.034531511461541,0.0,0.0,0.0,0.0,0.0,2.542204219533472,2.303279662914511,0.0,0.0
7395,T07874S,0.0,0.0,1.0236058437922495,2.7245586262576773,53.93922874065379,4.812251815475464,8.862577165699301,0.0,0.11061423574560496,0.6592374948578725,3.0816193359565953,58.04381297954635,3.101337294405736,4.514396014325428
7396,T15383B,0.0,0.0,0.0,1.0158839978411767,49.50487597075773,0.38974381066232466,0.0,0.0,0.0,0.0,0.5680416252284566,53.091481663859206,2.5890682998275767,0.0
7397,T08781S,0.0,0.0,1.326427782522689,2.0700127544434626,25.31049258687054,0.0,0.0,0.0,0.0,1.1736387481924566,8.457537251418321,27.00083218965141,0.6608984831353323,0.0
7398,T17912M,0.0,0.0,0.0,0.0,49.400500613160595,2.2251488044261847,0.0,0.0,0.0,0.0,0.8581326475856191,50.651368046808244,0.9243098744633931,0.0
7399,T13545T,0.0,0.0,0.0,3.411463244224512,32.78761292717168,1.4078441356141096,12.206334069441137,0.0,0.3252727026807716,0.0,2.086549002345675,40.255748870852166,4.346935660097066,4.462959965651831
7400,RD0116L,0.0,0.0,0.0,0.0,4.426944692709516,0.0,0.0,0.0,0.0,0.0,0.6985375096598627,13.520384547881056,0.0,0.0
7401,T09070Y,0.0,0.44817123638635353,0.0,1.9468663970259106,31.202152741108264,4.879236768176097,0.0,0.0,0.7839878608714598,0.0,3.643898463545314,37.07033039990172,3.6004645441518623,0.0
7402,T02311U,0.0,0.0,0.0,0.27036564790062073,35.60182907722971,0.0,0.0,0.0,0.0,0.6105580213310601,4.355519728759525,38.738656719133026,0.5485577940515706,0.0
7403,T20200Q,0.0,7.5975035274725045,0.0,0.03269152139330996,4.236917470305665,0.22625006284145302,0.0,0.0,9.176803816232173,0.633556409118756,1.6162072517906128,5.729448797150553,8.937526381505805,0.0
7404,T12620J,0.0,0.0,0.0,0.0,34.73174498421524,0.0,0.0,0.0,0.0,0.0,0.0,37.27683020599997,0.19976137174837622,0.0
7405,T05881J,0.0,0.0,0.0,0.0,55.797582982952484,0.317438231343136,0.0,0.0,0.0,0.0,0.2461689697630541,45.92030697805589,0.36517931096305706,0.0
7406,T14994S,0.0,0.0,0.0,0.0,53.4367858929121,0.0,0.0,0.0,0.0,0.000108728026680091,0.7509170981631981,51.94483235236797,0.33799189466759405,0.0
7407,T16399N,0.0,0.0,0.0,11.433929217771801,17.625715252699543,0.0,0.0,0.0,0.0,0.0,9.078509910414187,16.976592875904206,0.0,0.0
7408,T06950J,0.0,0.0,0.0,0.0,13.821530841264584,0.0,2.269091237816787,0.0,0.0,0.0,0.0,15.485775830155868,0.0,5.954146222240516
7409,T17394M,0.0,0.0,0.0,0.0,18.80052697019502,0.0,0.0,0.0,0.0,0.0,0.5881325319331552,15.814569519254354,0.916092003455244,0.0
7410,T06612U,0.0,0.5135944802944679,0.0,0.0,42.29802008730641,2.810497147629736,1.0802089678114402,0.0,0.48325273576568406,0.26003516233038687,2.1959348590757415,36.168209129473645,5.10580144648987,0.35612101508214766
7411,T08212Q,0.0,0.0,0.0,4.128245875329966,59.0158400830134,3.161897234985566,0.0,0.0,0.0,0.0,1.3407362469359108,53.95264482614587,1.9185786645365288,0.0
7412,T12757Z,0.0,0.0,0.0,8.387150359282185,32.33243900693057,3.013763972502965,0.0,0.0,0.015256190244103367,0.0,4.394456308768648,40.588894850467675,1.3787274503154419,0.00999085171994162
7413,T12927Z,0.0,0.0,0.0,0.0,10.27567196974252,0.0,0.0,0.04240939217719857,0.042898510581092966,0.0,0.0,8.886855560418457,0.0,0.0
