fid,street_id,noise_day,noise_evening,noise_night,slope_pct
126,T05082M,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),10.841634827416158
127,T02838U,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),2.0233264232143497
128,T12098N,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),2.441438712606808
129,T02407B,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.5610589016473059
130,T01783S,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.5885602256671318
131,T01530Z,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),4.513660390724236
132,T10897C,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),2.6717165095749675
133,T20369O,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.5981564030736981
134,T19184M,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),0.2366475126565793
135,T19376S,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.028806310791542628
136,T18622J,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),5.234268938662133
137,T00271V,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.28181184570988305
138,T10470F,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),4.7671631035371265
139,T09103Q,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.5389181357868815
140,T08860Q,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),2.689401244020959
141,T10372E,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),2.4948110506136763
142,T10680N,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.5384893946676494
143,T20427H,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),3.7153888454655344
144,T19924Y,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),3.649185471595462
145,T10740I,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),3.620956604759889
146,T07261V,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.338993632988697
147,T18813O,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),5.035257489958782
148,T12205Y,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),2.8272556674825453
149,T20069F,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),11.646558059254136
150,T00389I,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),2.7460330195475398
151,T07531Y,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),5.277363636909453
152,T16582K,50 - 55 dB(A),55 - 60 dB(A),60 - 65 dB(A),1.5506909081060303
153,T17601A,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.6896247584196222
154,T13813U,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),2.562833524546118
155,T15618B,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.4421119303155567
156,T09280G,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.7553945089183018
157,T03795E,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),0.4369137985551939
158,T05113C,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),6.14723854285052
159,T15784O,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A),1.8427768997611627
160,T17159D,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),1.0392474425577707
161,T06081P,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.4159174803320316
162,T21146F,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),3.378529342982987
163,T04168N,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A),0.13878007624187186
164,T06928L,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.7782658075972235
165,T17200N,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),0.7743767455753198
166,T14863I,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),1.6291837832617535
167,T04920V,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),2.748649031980795
168,T10196G,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.31010677001543513
169,T09663R,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.3195652638213055
170,T05506P,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),2.1514592067322136
171,T03213X,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A),0.18408002240968832
172,T11178I,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),7.010921340805121
173,T02194H,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),0.5976847583597423
174,T12009W,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),2.9968229948604503
175,T03411B,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.8916646824193797
176,T16202L,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),3.7029628806544403
177,T21163G,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),6.410805696276732
178,T20976F,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),1.9486573327162207
179,T18547P,55 - 60 dB(A),50 - 55 dB(A),< 40 dB(A),2.3494443814222112
180,T05001V,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),3.8398557409776246
181,T00887V,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.1982384906090988
182,RL0028B,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.317452002312646
183,T01825L,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.2627682905675726
184,T10879A,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),5.701610108207307
185,T12228F,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),2.750671068670894
186,T01146V,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.7753560542623381
187,T09084E,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.9406777693393207
188,RD0103Y,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),3.2281295538314243
189,T11932S,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),6.412073650776772
190,T07510T,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.9800240112657674
191,T07958V,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),3.6404943510138037
192,T05306J,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),7.330160389554245
193,T08647N,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.5591278486158164
194,T13627U,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),3.9362281536343815
195,T07336X,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.5070664115688709
196,T05251L,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),7.0858187456450965
197,T06673H,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.32597500895695214
198,T09839X,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.3014323258936117
199,T00099B,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),0.2770735063957479
200,T09574R,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.0057586265178484
201,T19280L,75 - 80 dB(A),70 - 75 dB(A),65 - 70 dB(A),1.6545310140919471
202,T20933U,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),6.191502304144636
203,T15832F,50 - 55 dB(A),45 - 50 dB(A),45 - 50 dB(A),28.71002931913199
204,T21310Z,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),6.423796609222573
205,T14932E,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A),1.1148170127599373
206,T20053X,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),6.600182887517894
207,T20295N,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),5.272727762516775
208,T19850X,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.4715570985703652
209,T11101N,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),8.988678909639829
210,T12601G,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),9.729591564104634
211,T00461Z,45 - 50 dB(A),45 - 50 dB(A),55 - 60 dB(A),1.574373714321191
212,T20494S,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.3632193461900861
213,T12218D,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),4.024116456486944
214,T09928X,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),0.09577849106443632
215,T07139U,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.27753854755740864
216,T04471R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),5.08064426801403
217,T13774E,< 40 dB(A),< 40 dB(A),< 40 dB(A),9.886612898136333
218,T11566Q,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),13.055667592661402
219,T03232A,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.4107139951131147
220,T15677M,55 - 60 dB(A),50 - 55 dB(A),40 - 45 dB(A),1.6241836420529954
221,T11702G,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A),1.6726958923201252
222,P72700,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A),0.1656369820248307
223,T03860W,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.6105025632016945
224,T20748V,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.38468329958112113
225,T04551Q,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),21.983564299924375
226,T03494U,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.5066698719150717
227,T15587L,55 - 60 dB(A),55 - 60 dB(A),60 - 65 dB(A),3.019998180126156
228,T19635S,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A),1.3796422757094375
229,T05428S,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),13.105704550904191
230,T15942K,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.0754095993077117
231,T17274F,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),2.546934496004415
232,T14732Y,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),1.110944671380924
233,T02049Z,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.5493638126868656
234,T15841G,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),2.497329055870528
235,T02306X,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.728641857413199
236,T02035T,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.9469188309929049
237,T01520X,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),7.566015556826068
238,T04706R,50 - 55 dB(A),50 - 55 dB(A),50 - 55 dB(A),1.0060613023275402
239,T00916J,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.257372785840987
240,T07458G,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),3.691578793073632
241,T05373U,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),2.6831379849550805
