fid,street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
13056,T05703S,residential,4,1,65,1,6,4,164,5,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13057,T08643J,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13058,T10536G,tertiary,5,1,1,1,6,2,1,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13059,T08506B,living_street,1,5,1,1,1,10,3,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13060,T11045W,residential,8,1,1,1,14,4,1,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13061,T04249N,secondary,2,3,2,2,5,5,6,6,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13062,T15060L,residential,4,1,27,1,9,3,61,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13063,T04488A,residential,7,5,11,1,9,12,17,4,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13064,T19045C,pedestrian,1,8,1,1,1,33,25,1,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A)
13065,T09368N,tertiary,3,3,37,3,4,4,65,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13066,T10964W,residential,1,2,1,1,1,9,1,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13067,T11465M,residential,1,1,1,2,1,1,1,2,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
13068,T07172V,residential,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
13069,T13781D,residential,1,1,1,2,1,1,1,4,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
13070,T03826U,residential,14,1,1,4,16,4,1,5,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13071,T02207V,secondary,4,3,66,1,11,12,165,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13072,T19040X,residential,1,11,1,1,1,36,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13073,T04873F,residential,1,1,1,1,1,1,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13074,T10148Y,residential,3,2,40,1,3,3,84,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13075,T21514J,tertiary,1,1,1,3,4,1,1,5,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13076,T04284Q,residential,1,2,1,1,1,4,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13077,T10776U,residential,1,4,1,1,4,4,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13078,LRD0017,tertiary,5,2,4,1,10,3,12,1,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
13079,T06689P,residential,1,1,1,4,1,1,1,5,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13080,T02096G,residential,3,14,1,1,5,27,44,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13081,T11218Z,tertiary,2,3,1,1,5,3,1,1,65 - 70 dB(A),65 - 70 dB(A),55 - 60 dB(A)
13082,T12036Z,residential,1,1,1,1,1,2,8,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
13083,T09517I,residential,6,2,12,1,8,6,35,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13084,T08224U,living_street,2,3,1,1,6,5,17,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13085,RD0114J,trunk,1,1,1,1,2,1,1,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13086,T04025Z,secondary,31,3,1,1,31,5,1,5,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13087,T01859V,secondary,8,11,1,1,11,19,1,2,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
13088,T03557S,primary,9,1,2,7,20,6,16,17,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13089,T18873A,tertiary,4,2,1,2,7,2,1,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13090,T00952N,pedestrian,1,1,1,1,1,9,1,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
13091,T10682P,residential,1,2,1,1,1,2,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13092,T00663H,living_street,1,7,7,1,3,24,65,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
13093,T04353M,residential,2,3,1,1,4,5,1,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13094,T11316A,living_street,1,1,1,1,1,1,1,1,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A)
13095,T02386N,tertiary,3,12,1,1,5,32,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13096,T20221V,residential,2,1,1,1,3,3,1,6,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13097,T01843N,secondary,7,9,1,1,12,20,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
13098,T01255Z,pedestrian,1,6,2,1,1,25,2,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
13099,T03248I,residential,4,4,1,3,5,9,1,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13100,T09732N,residential,1,1,1,1,6,1,4,8,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
13101,T01906L,pedestrian,3,16,118,1,3,36,179,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
13102,T02649R,secondary,2,18,49,1,8,31,146,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
