fid,TRAM,street_tree_count_10m,park_tree_count_10m,street_tree_count_20m,park_tree_count_20m
368,T20814O,0,0,0,0
369,T19371N,2,0,9,0
370,T17243Y,16,0,31,0
371,T21572T,5,0,17,0
372,T16654J,0,0,0,0
373,T09197M,2,0,4,0
374,T09596X,0,0,0,0
375,T07071R,20,0,30,0
376,T06649H,9,0,17,0
377,T05732X,17,0,26,0
378,T02150V,18,0,28,0
379,P72464,3,0,7,0
380,T20667V,20,0,28,12
381,T06362V,7,0,14,0
382,T01744L,15,0,22,0
383,T16522Y,33,0,45,0
384,T08430Y,13,0,22,0
385,T10405W,12,0,19,0
386,T00030G,3,0,9,0
387,T02376L,25,0,58,0
388,T13777H,0,0,0,0
389,T09116V,22,0,29,0
390,P12920,0,0,0,0
391,T02072Y,24,0,38,0
392,T19882F,5,0,13,0
393,T20591S,7,0,13,0
394,T10205Q,7,0,12,0
395,T19288T,5,0,15,0
396,T10010H,9,0,15,0
397,T05411J,0,0,0,0
398,T03166H,1,0,3,0
399,LRD0009,16,0,16,0
400,T01194D,11,0,11,0
401,T17964Y,7,0,10,0
402,T11950U,2,0,5,0
403,T12466R,19,0,34,0
404,T07963S,0,0,1,0
405,T04881F,0,0,0,0
406,T13591Z,0,0,0,0
407,T20934V,8,0,10,0
408,T10431Y,28,0,39,0
409,T08096E,3,0,10,0
410,T05731W,15,0,22,0
411,P72650,10,0,27,0
412,T19517N,1,0,2,0
413,T16516A,12,0,19,0
414,T01022K,0,0,2,0
415,T03040U,1,0,2,0
416,T10520Y,30,0,41,0
417,T04463R,2,0,6,0
418,T01716H,21,0,46,0
419,T11284J,4,0,6,0
420,T16625E,0,0,0,0
421,T21418K,9,0,18,0
422,T20001L,3,0,13,0
423,T01988D,21,0,28,0
424,T17773T,5,0,19,0
425,T15954O,24,0,36,0
426,T03868E,1,0,3,0
427,T03837X,4,0,12,0
428,T03563Q,16,0,25,0
429,T17201O,10,0,20,0
430,T16893W,4,0,7,0
431,T06889V,11,0,25,0
432,T06954N,5,0,11,0
433,T09656S,28,0,41,0
434,T18219C,0,0,10,1
435,T01074W,1,0,6,0
436,T04503I,5,0,7,0
437,T21478W,6,0,20,0
438,T00990T,0,0,0,0
439,T14615U,17,0,43,0
440,T18964C,0,3,0,3
441,T18698D,15,0,22,0
442,RD0095Q,0,0,18,0
443,T13489C,0,0,0,0
444,T06565E,8,0,21,0
445,T12133Z,31,0,52,0
446,T21161E,25,0,51,8
447,T17832N,21,0,33,0
448,T07231P,47,0,51,0
449,T17632H,12,0,20,0
450,T13360M,11,0,27,0
451,T13074J,19,0,25,0
452,T06154P,3,0,8,0
453,T08522B,12,0,14,0
454,T18602F,0,0,1,0
455,T12930U,0,0,0,0
456,T09866A,10,0,27,0
457,T09007R,19,0,25,0
458,T03513G,1,0,5,0
459,T10422X,3,0,9,0
460,T17530C,7,0,12,0
461,T08454G,5,0,13,0
462,T16226T,24,0,36,7
463,T03504F,4,0,11,0
464,T03458Q,11,0,19,0
465,T11492P,6,0,10,0
466,T08468M,15,0,19,0
467,T21331E,6,0,9,3
468,T07500R,30,0,40,0
469,T07120J,0,0,0,0
470,T02840O,13,0,18,0
471,T02245B,1,0,32,0
472,T07783Q,4,0,10,0
473,T08080W,0,0,9,0
474,T02505C,24,0,32,0
475,T04236I,12,0,19,0
476,T04547U,7,0,16,0
477,T01584N,0,0,1,0
478,T06056O,25,0,49,0
479,T07373C,7,0,15,0
480,T10402T,0,0,3,0
481,T07638I,7,0,10,0
482,T11237C,0,0,1,0
483,T04715S,12,0,18,0
484,RD0035I,0,0,16,0
485,T05364T,10,0,20,0
486,T05239P,1,0,2,0
487,T04732T,30,0,42,0
488,T10805I,2,0,9,0
489,T14420L,13,0,27,0
490,T13303D,0,0,0,0
491,T06014E,16,0,25,0
492,T02593S,0,0,2,0
493,T18095I,24,0,35,0
494,T21341G,5,0,15,0
495,T06655F,30,0,36,0
496,T09995I,21,0,31,0
497,T11274H,2,0,10,0
498,T15386E,3,0,12,0
499,T00687P,5,0,12,0
500,T12673W,18,0,24,0
501,T11582Q,5,2,21,7
502,T11954Y,1,0,6,0
503,T08404W,4,0,12,0
504,T07829N,6,0,6,0
505,T05541S,0,0,0,0
506,T21082G,7,0,11,0
507,T08760N,2,0,4,0
508,T12935Z,0,0,0,0
509,T12987L,0,0,0,0
510,T05734Z,0,0,7,0
511,T21531K,4,0,14,0
512,T21513I,10,0,22,0
513,T07860M,6,0,11,0
514,T08057X,17,0,23,0
515,RL0021U,0,0,0,0
516,T01740H,26,0,37,0
517,T02209X,22,0,42,0
518,T07238W,3,0,10,0
519,T07921I,7,0,34,0
520,T10672N,20,0,26,0
521,T03181G,0,0,16,0
522,T09243B,14,0,17,0
523,T21283N,0,0,7,0
524,T17618J,15,0,27,0
525,T16637I,0,0,2,0
526,T19104W,2,0,4,0
527,T07351W,13,0,24,0
528,T17627K,19,0,44,0
529,T02090A,22,0,30,0
530,T21304B,2,0,9,0
531,T07165W,3,0,10,0
532,T05189W,18,0,21,0
533,T02825P,6,0,12,0
534,T03476S,26,0,39,0
535,T05909E,26,0,36,0
536,T14653A,6,0,7,0
537,T19798K,8,0,12,0
538,T16913J,0,0,2,0
539,T12371L,16,0,26,10
540,T09595W,33,0,77,0
541,T15382A,6,0,12,0
542,RD0099U,0,0,13,0
543,T15301J,33,0,41,0
544,T17598W,9,0,15,0
545,T09249H,8,0,13,0
546,T08239B,4,0,5,0
547,T14523R,11,0,20,0
548,T03356L,18,0,22,0
549,T05139M,6,0,12,0
550,T02564N,7,0,13,0
551,T02786Z,11,0,16,0
552,T14840B,0,0,0,0
553,T18807Q,0,0,0,0
554,T06150L,3,0,14,0
555,T00402O,0,0,0,0
556,T14663C,42,0,53,0
557,T06291X,4,0,12,0
558,T01808K,5,0,14,0
559,T00102F,0,0,2,0
560,T08438G,5,0,14,0
561,T19212Z,6,0,15,0
562,T09984F,13,0,21,0
563,T19536Q,0,0,0,0
564,T11891A,1,0,6,0
565,T21061B,2,0,6,0
566,T06939O,20,0,35,0
567,T03679B,0,0,1,1
568,T17216V,0,0,1,0
569,T21329K,1,6,1,9
570,T05777K,14,0,20,0
571,T12929B,0,0,0,0
572,T11782W,6,0,7,0
573,T10589T,29,0,39,0
574,T17114Q,2,0,12,0
575,T11041S,15,0,21,0
576,T08027R,0,0,0,0
577,T11646P,0,0,0,0
578,T19082H,0,0,0,0
579,RD0014N,0,0,13,0
580,T18827U,7,0,13,0
581,T06103E,21,0,33,0
582,T08769W,1,0,7,0
583,T19587B,7,0,8,0
584,T00038O,5,0,12,0
585,T18453K,0,0,0,0
586,T03066E,1,0,5,0
587,T03416G,30,0,37,0
588,T20917U,10,0,19,0
589,T02396P,28,0,38,0
590,T07757O,15,0,20,0
591,T20780V,0,3,0,20
592,T21307E,11,0,17,0
593,T08544H,1,0,3,0
594,T02164B,21,0,50,0
595,T13371P,4,0,16,0
596,T09754T,13,0,22,0
597,T11731L,0,0,0,0
598,T06069T,16,0,28,0
599,T20995I,0,0,0,0
600,T12990G,0,0,0,0
601,T10605C,10,0,19,0
602,T17751N,0,0,0,0
603,T16881S,27,0,31,0
604,T03180F,0,0,23,0
605,T00225P,13,0,26,0
606,T13883I,0,0,0,0
607,T16189F,0,0,0,0
608,P13230,0,0,0,0
609,T15899Y,0,0,0,0
610,T11872X,0,0,0,0
611,T09756V,8,0,13,0
612,T20773W,7,0,11,0
613,T00366B,0,0,0,0
614,T16714E,3,4,4,14
615,RD0126V,0,0,0,0
616,T02125U,14,0,23,0
617,T21317G,0,0,0,0
618,T17434D,0,17,0,37
619,T21144D,12,0,31,0
620,T03674W,7,0,11,0
621,T04221B,4,0,9,0
622,T17966A,6,0,9,0
623,T14025E,1,0,2,0
624,T12179N,13,0,22,0
625,T07118P,1,0,1,0
626,T01806I,23,0,32,0
627,T20144Z,3,0,9,0
628,T12033W,9,0,15,0
629,T00250Q,6,0,12,0
630,T15698R,0,0,0,0
631,T12411C,14,0,20,0
632,T17261A,22,0,31,0
633,T13110W,0,1,4,12
634,T08773S,1,0,7,0
635,T10824L,2,0,3,0
636,T12422F,3,0,9,0
637,T01468K,0,0,0,0
638,T11015Q,18,0,27,0
639,T20476Q,9,0,15,0
640,T12646T,7,0,12,0
641,T17577R,6,0,15,0
642,T05883L,4,0,11,0
643,T08812I,6,0,13,0
644,T17774U,27,0,61,0
645,T15998A,1,0,7,9
646,T01215R,2,0,4,0
647,T17965Z,6,0,10,0
648,T10996E,4,0,13,0
649,T07855P,2,0,4,0
650,T14073M,2,0,7,0
651,T11896F,7,0,18,0
652,T09681T,13,0,31,0
653,T21137E,13,0,21,0
654,T15216N,25,0,29,0
655,T03477T,0,0,5,0
656,T15920E,10,0,18,0
657,T20501A,8,0,21,0
658,T06742D,20,0,26,0
659,T17745P,5,0,12,0
660,T16503V,35,0,54,17
661,T08292G,11,0,16,0
662,T07721C,1,0,7,0
663,T10787X,0,0,0,0
664,T02631H,17,0,25,0
665,T04363O,25,0,31,15
666,T00216O,9,0,20,0
667,T06027J,22,0,27,0
668,T09221V,1,0,3,0
669,T01420U,9,0,25,0
670,T19398Y,5,0,13,0
