street_id,signal_count_50,poi_count_50,tree_count_50,transport_count_50
T11501Z,2,1,1,6
T12814R,1,1,1,3
T17972Y,1,1,1,1
T19974I,1,1,1,1
T01715G,18,6,29,6
T09923S,7,1,85,1
T04209F,2,4,1,1
T11285K,2,1,1,4
T17220R,16,17,29,7
T08464I,8,3,1,2
T01205P,1,4,1,1
T03190H,3,15,1,1
T19683A,4,5,1,1
T06047N,2,1,24,1
T11429I,1,1,1,1
T17536I,2,1,1,1
T20265H,2,1,108,1
T20273H,1,1,1,1
T00108L,1,3,1,1
T00378F,1,7,1,1
T09142X,2,2,47,1
T07579O,1,1,1,1
T03658W,1,15,1,1
T02834Q,4,1,30,1
T01104L,1,15,1,1
T09560L,4,1,11,1
T18917V,1,2,1,1
T00977W,1,6,1,1
T13855E,1,1,1,3
T13029E,1,1,1,1
T16964U,1,1,1,1
T03246G,3,7,1,5
T10302Q,4,3,49,1
T10049W,1,1,1,1
T04552R,1,1,1,3
T18714M,1,1,5,2
T15825G,1,1,1,1
T13694F,1,1,1,1
T16350W,5,1,1,1
T08200M,1,5,1,1
T11306Y,1,1,1,1
T08799C,1,1,62,1
T11720I,1,1,1,2
T06243P,1,2,1,1
T01628I,1,4,1,1
T20879F,1,1,1,3
T20141W,6,13,14,3
T17373H,1,1,1,1
T20814O,1,1,1,2
T19371N,1,1,18,1
T17243Y,3,1,1,1
T21572T,3,1,1,1
T16654J,1,10,1,1
T09197M,1,6,1,1
T09596X,7,1,25,1
T07071R,5,3,6,1
T06649H,1,1,1,1
T05732X,1,2,1,1
T02150V,3,8,1,2
P72464,2,5,35,1
T20667V,1,1,30,1
T06362V,1,1,1,1
T01744L,11,9,14,3
T16522Y,5,2,30,1
T08430Y,1,1,1,1
T10405W,2,3,1,1
T00030G,5,9,1,1
T02376L,11,13,28,3
T13777H,1,1,1,2
T09116V,4,9,104,1
P12920,1,17,1,1
T02072Y,10,18,50,1
T19882F,2,2,4,1
T20591S,5,1,7,5
T10205Q,6,2,36,1
T19288T,4,2,1,1
T10010H,1,7,1,1
T05411J,1,1,1,1
T03166H,1,1,1,1
LRD0009,1,1,1,1
T01194D,1,1,1,1
T17964Y,1,1,1,1
T11950U,1,1,1,1
T12466R,1,1,1,1
T07963S,1,1,1,1
T04881F,1,4,1,1
T13591Z,1,8,1,1
T20934V,1,1,1,1
T10431Y,1,4,1,1
T08096E,1,11,1,1
T05731W,1,1,1,1
P72650,1,9,83,1
