road_id,width,openness,height,betweenness,closeness_global,closeness400,straightness
1187722456_243494580_0,16.04493224963682,0.29545454545454547,0.0,0.12070067942720195,0.0006731207694040621,0.00014635777955396517,0.8123271873289302
211319000_1130841547_0,50.0,1.0,0.0,0.031160730303741224,0.0006419696483347486,0.00020314192884956361,0.8868751486878589
211319000_211320730_0,23.83928766041369,0.4,0.0,0.05736490806802553,0.0006321431189303848,0.0002035632853331349,0.8675931470991725
211320730_211319000_0,23.8412971016962,0.4,0.0,0.05736490806802553,0.0006321431189303848,0.0002035632853331349,0.8675931470991725
245491906_1843795432_0,35.172656729669214,0.6111111111111112,0.0,0.020470216984300037,0.0006162735055327488,0.00017898088494104966,0.8404149495995941
1843795432_245491906_0,35.17264521587999,0.6111111111111112,0.0,0.020470216984300037,0.0006162735055327488,0.00017898088494104966,0.8404149495995941
409137876_1843795432_0,9.149195568963457,0.5909090909090909,0.0,0.042693052546357,0.0006177743893084117,0.00017407184316357112,0.8374801231908582
1843795432_245491934_0,25.12101208574358,0.5555555555555556,0.0,0.015106560129537374,0.0006294666245251304,0.0001677529967214324,0.8217524951473842
1130841547_1130841546_0,50.0,1.0,0.0,0.06941933584495996,0.0006436911611076498,0.00020350723714622943,0.8833909635285065
1130841547_1130841550_0,33.328944963476786,0.45,0.0,0.04442037085593108,0.0006365970893180535,0.00019291304054874808,0.8641621345465991
211320730_409137876_0,10.574529875237573,0.4,0.0,0.019281104379706426,0.0006153372626201412,0.0001842048079012123,0.8330579484411205
211320730_211320731_0,24.661853402074044,0.5,0.0,0.038734710587932236,0.000619139776323998,0.0001977918402110007,0.8444439498622185
211320731_211320730_0,24.661828008719247,0.5,0.0,0.038734710587932236,0.000619139776323998,0.0001977918402110007,0.8444439498622185
409137876_1843795433_0,10.443607329457652,0.2777777777777778,0.0,0.060154837641279005,0.0005966894655797836,0.00016131791743593241,0.8133889944434229
211320731_1129273462_0,23.2304857502059,0.35,0.0,0.03757089825152147,0.0006061663558403416,0.00018936533564272137,0.8376424073907865
1129273462_211320731_0,23.23049698813384,0.35,0.0,0.03757089825152147,0.0006061663558403416,0.00018936533564272137,0.8376424073907865
1134264320_211320731_0,12.70513535772249,0.34615384615384615,0.0,0.0010281108979755186,0.0006150012876911073,0.00018502775585415952,0.8256005700340796
211320732_1129273462_0,44.61686273526212,0.5740740740740741,0.0,0.051423945093818,0.0005717078023074418,0.00021242033440030118,0.8609676285130954
1129273462_211320732_0,44.616420407375195,0.5740740740740741,0.0,0.051423945093818,0.0005717078023074418,0.00021242033440030118,0.8609676285130954
1129273462_4558538601_0,29.956196796213227,0.5833333333333334,0.0,0.0,0.0005680866420265646,0.00021164842903813942,0.8593717972041789
1129273462_1134251269_0,31.546312466944585,0.875,0.0,0.01976180947518044,0.000596309376143271,0.00018697610432456138,0.8266488990272594
211320732_211321251_0,45.25693720592713,0.6666666666666666,0.0,0.036232284062211066,0.0005439464809252556,0.00023926971557991763,0.8892927288982115
211321256_211320732_0,48.51663946069051,0.75,0.0,0.01386914701295834,0.0005445814515928749,0.0002442062908268004,0.8880155795545911
211321251_1763262440_0,37.78850257750525,0.75,0.0,0.04143953925911615,0.0005405794864454969,0.00023938701102037545,0.8896440191504571
211321256_211321251_0,50.0,1.0,0.0,0.006865572775071416,0.0005422142880766407,0.00024612114188253304,0.8909107736266442
1763262440_4558538601_0,50.0,1.0,0.0,0.02164782946699235,0.0005393254896808538,0.00023670025460248103,0.8851529937694875
4558538601_1763262440_0,50.0,1.0,0.0,0.02164782946699235,0.0005393254896808538,0.00023670025460248103,0.8851529937694875
1763262440_211321253_0,36.0060513229151,0.875,0.0,0.020944022006633273,0.000537676347239798,0.00023870622102589777,0.8817240796237782
211321253_211321896_0,50.0,1.0,0.0,0.005340656610960077,0.0005351437270899776,0.0002430107989500869,0.8774233290228799
211321253_728705258_0,33.88446936616839,0.675,0.0,0.01813109218957721,0.0005173860513005849,0.00021746051572306342,0.8363667257851732
211321896_10185494295_0,46.41403547019986,0.7878787878787878,0.0,0.011633523315347144,0.0005076767546650813,0.0002260697475891243,0.8398595784526223
