fid,street_id,noise_day,noise_evening,noise_night,commercial_pct_50m,green_pct_50m,industrial_pct_50m,recreational_pct_50m,residential_pct_50m,commercial_pct_100m,green_pct_100m,industrial_pct_100m,recreational_pct_100m,residential_pct_100m,osm_commercial_pct_50m,osm_green_pct_50m,osm_industrial_pct_50m,osm_other_pct_50m,osm_residential_pct_50m,road_length,road_category,one_way,distance_to_road,signal_count_50,poi_count_50,tree_count_50,transport_count_50,street_tree_count_10m,park_tree_count_10m,street_tree_count_20m,park_tree_count_20m,total_tree_count_10m,total_tree_count_20m,slope_pct,bldg_h_mean_50m,bldg_h_max_50m,bldg_h_mean_100m,bldg_h_max_100m,lidar_true_h_mean_50m,lidar_true_h_max_50m,lidar_true_h_mean_100m,lidar_true_h_max_100m,catastral_bldg_floors_mean_50m,catastral_bldg_floors_max_50m,catastral_bldg_floors_mean_100m,catastral_bldg_floors_max_100m
10,T16868V,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,2.6553717146587363,4.4110362212502885,0.4090004957366465,71.62119486007748,0.0,1.3395446849396353,3.3477025002697616,7.018820437455832,66.8559115651867,0.0,3.706673797427929,0.0,0.0,0.0,153.2506325827349,5.0,0.0,0.0,1,1,1,1,10,0,11,0,10,11,1.5595363943167782,7.674418604651163,15.0,8.130841121495328,15.0,9.237952538909196,14.1032963344029,9.8058932474948,23.02988503196022,1.851063829787234,4.0,1.9063829787234043,5.0
10,T16868V,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,2.6553717146587363,4.4110362212502885,0.4090004957366465,71.62119486007748,0.0,1.3395446849396353,3.3477025002697616,7.018820437455832,66.8559115651867,0.0,3.706673797427929,0.0,0.0,0.0,153.2506325827349,5.0,0.0,0.0,1,1,1,1,10,0,11,0,10,11,1.5595363943167782,7.674418604651163,15.0,8.130841121495328,15.0,9.237952538909196,14.1032963344029,9.8058932474948,23.02988503196022,1.851063829787234,4.0,1.9063829787234043,5.0
10,T16868V,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,2.6553717146587363,4.4110362212502885,0.4090004957366465,71.62119486007748,0.0,1.3395446849396353,3.3477025002697616,7.018820437455832,66.8559115651867,0.0,3.706673797427929,0.0,0.0,0.0,153.2506325827349,5.0,1.0,0.0,1,1,1,1,10,0,11,0,10,11,1.5595363943167782,7.674418604651163,15.0,8.130841121495328,15.0,9.237952538909196,14.1032963344029,9.8058932474948,23.02988503196022,1.851063829787234,4.0,1.9063829787234043,5.0
11,T02762R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,11.77604586335024,0.0,55.57842845849619,0.0,0.0,7.882522993528614,4.426412265890537,57.14195893022036,0.0,0.0,0.0,0.0,0.0,72.52021889927474,2.0,1.0,0.0,1,3,1,1,9,0,20,0,9,20,0.8825142928567068,12.313432835820896,21.0,12.407407407407408,21.0,23.983521830770787,35.28958764683786,23.050047044792176,35.28958764683786,3.65748031496063,12.0,3.406940063091483,12.0
12,T04571U,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,0.0,34.80219432031926,48.30460580633461,0.0,0.0,0.9546850404212424,24.740659744015893,55.45153785736285,0.0,0.0,0.0,0.0,40.09207221827074,94.09029667255506,5.0,1.0,0.0,1,1,1,1,9,0,13,0,9,13,5.292783532046896,11.83783783783784,12.0,11.433962264150944,15.0,19.30410842873591,24.6183500402114,18.144779213234727,25.49458202683782,3.7611940298507465,7.0,3.141573033707865,8.0
12,T04571U,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,0.0,34.80219432031926,48.30460580633461,0.0,0.0,0.9546850404212424,24.740659744015893,55.45153785736285,0.0,0.0,0.0,0.0,40.09207221827074,94.09029667255506,5.0,1.0,0.0,1,1,1,1,9,0,13,0,9,13,5.292783532046896,11.83783783783784,12.0,11.433962264150944,15.0,19.30410842873591,24.6183500402114,18.144779213234727,25.49458202683782,3.7611940298507465,7.0,3.141573033707865,8.0
13,T08170X,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,0.0,0.0,66.89303254868099,0.0,0.0,0.0,2.0116948333979607,71.68459857987934,0.0,0.6136227398779034,0.0,0.0,0.0,95.54827816215008,4.0,1.0,0.2986154697383665,2,5,1,1,7,0,13,0,7,13,1.5384905400476827,14.294117647058824,33.0,13.5,33.0,22.8295735437011,34.67799928762617,22.08118364252031,35.85508797385476,3.7142857142857135,11.0,3.2091503267973858,11.0
14,T07536D,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,0.0,7.275893148052279,0.0,69.96414207662322,0.0,1.816411167065724,7.809016002943912,2.260798085778326,65.54414865702842,0.0,0.0,0.0,0.0,0.0,54.73233300059147,5.0,0.0,0.0,1,1,1,1,1,0,1,0,1,1,14.726236532427206,7.291666666666667,15.0,7.5,15.0,8.822079585801875,12.142491658528655,9.199048943911055,16.625250009390015,1.795275590551181,4.0,1.8355263157894737,4.0
14,T07536D,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,0.0,7.275893148052279,0.0,69.96414207662322,0.0,1.816411167065724,7.809016002943912,2.260798085778326,65.54414865702842,0.0,0.0,0.0,0.0,0.0,54.73233300059147,5.0,0.0,0.0,1,1,1,1,1,0,1,0,1,1,14.726236532427206,7.291666666666667,15.0,7.5,15.0,8.822079585801875,12.142491658528655,9.199048943911055,16.625250009390015,1.795275590551181,4.0,1.8355263157894737,4.0
15,T01076Y,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),0.0,1.1612474812691875,6.337269631671388,14.933842452413309,55.06178426143348,0.0,6.956680865650373,4.744959279226023,12.40463878736968,55.72656416364651,0.0,0.0,0.0,0.0,85.90621395096747,110.48779886945276,5.0,1.0,1.0518616951690174,1,13,1,1,2,0,7,0,2,7,1.312362361219222,16.57894736842105,24.0,16.62264150943396,24.0,24.20470095108021,42.30832465154942,23.702991829887075,46.12815181040924,3.863636363636364,8.0,3.6818181818181817,8.0
16,T21401B,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.0,14.614133290304748,6.05420736886058,6.061346183933511,23.92383437231484,0.0,21.91394574625605,14.30807694045544,5.715723763107458,26.795723765937502,0.0,5.767217508627999,0.0,0.0,0.0,27.861082253156816,5.0,0.0,3.0202871924444503,2,1,1,2,4,0,12,0,4,12,0.2871386078227103,18.0,30.0,13.95,30.0,26.51660875943128,31.94506233325903,19.37863194574164,31.94506233325903,4.789473684210527,10.0,4.147540983606557,10.0
17,T20087H,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,12.353881826427164,0.587823342016214,0.0,42.428726037429016,0.0,19.68068193935249,10.017620256430066,1.61646569858254,29.71423879568395,0.0,0.0,0.0,0.0,0.0,168.10846750333565,4.0,0.0,0.5040309119008641,6,1,1,8,6,0,13,0,6,13,6.858666282867694,6.857142857142857,27.0,6.928571428571429,27.0,9.14732014004989,28.3333740234375,9.22233493566342,29.83192159574326,3.411764705882353,9.0,3.169491525423729,9.0
18,T00497L,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A),0.0,9.248349586935174,0.0,14.825576476921956,58.65402417954858,0.0,3.883311495450544,0.0684247922443093,19.811706228844685,53.40507428232656,0.0,0.0,0.0,0.0,98.30613570356964,0.0,0.0,0.0,0.0,1,12,6,1,3,0,5,0,3,5,0.4732735361841338,18.24,27.0,17.81132075471698,27.0,23.1929243458806,27.55496466303446,23.39569149989607,35.32293828328451,4.061538461538461,8.0,3.8595041322314048,9.0
19,T02457L,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,10.296421859269197,0.0,0.0,49.2074091674597,0.0,10.744012577773358,0.0,0.7531168854558377,63.47471960732879,0.0,11.1356861389324,0.0,0.0,0.0,132.73473866162203,5.0,1.0,0.0,8,3,1,1,6,0,13,0,6,13,0.1205410497850105,12.0,12.0,12.923076923076923,30.0,32.98959323090552,39.80842735935682,33.153581893743265,46.05544847760882,5.466321243523316,12.0,5.059160305343512,12.0
19,T02457L,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,10.296421859269197,0.0,0.0,49.2074091674597,0.0,10.744012577773358,0.0,0.7531168854558377,63.47471960732879,0.0,11.1356861389324,0.0,0.0,0.0,132.73473866162203,5.0,1.0,0.0,8,3,1,1,6,0,13,0,6,13,0.1205410497850105,12.0,12.0,12.923076923076923,30.0,32.98959323090552,39.80842735935682,33.153581893743265,46.05544847760882,5.466321243523316,12.0,5.059160305343512,12.0
20,T10161V,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),57.41332239630802,0.0,0.0,0.0255696912344058,2.1241546634346298,63.8449669534788,3.0692159389752045,0.0,2.0736278952377787,2.238098745087977,0.0,0.0,0.0,0.0,0.0,133.3349627459439,3.0,1.0,0.0661046472575274,3,3,72,1,13,0,30,0,13,30,0.1274984991129918,11.294117647058824,24.0,14.4,33.0,22.41643328768644,34.30427301108432,25.326796531237616,40.25762882694654,2.515625,8.0,3.678391959798995,11.0
21,T20348J,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,99.99999999998651,0.0,0.0,0.0,0.0,100.00000000000092,0.0,0.0,0.0,0.0,119.5163898552423,0.0,0.0,0.0,731.3666751129622,4.0,0.0,0.0,1,1,4,6,126,0,174,0,126,174,3.1119823900528565,9.0,12.0,9.0,12.0,11.377292741389263,16.889350758715977,14.661822271255367,28.52179519444296,1.8888888888888888,3.0,1.565217391304348,3.0
21,T20348J,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,99.99999999998651,0.0,0.0,0.0,0.0,100.00000000000092,0.0,0.0,0.0,0.0,119.5163898552423,0.0,0.0,0.0,731.3666751129622,4.0,0.0,0.0,1,1,4,6,126,0,174,0,126,174,3.1119823900528565,9.0,12.0,9.0,12.0,11.377292741389263,16.889350758715977,14.661822271255367,28.52179519444296,1.8888888888888888,3.0,1.565217391304348,3.0
22,T07895X,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),0.0,2.1089935386645644,0.0,7.12104551747811,71.62000290531213,0.0,6.731792706017904,0.0,7.946956000620433,65.84413461003432,0.0,0.0,0.0,0.0,0.0,97.51347021838576,5.0,1.0,1.6025050816600992,1,24,1,1,7,0,12,0,7,12,1.2511104547616632,10.424242424242424,24.0,11.562231759656653,24.0,17.252594334176635,26.365000234485343,19.05166358646726,29.884709001398413,2.523076923076923,8.0,2.810966810966811,8.0
23,T08413X,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,0.0,0.0,1.2782706725655215,80.55659890395617,0.0,1.354052702570223,0.0,2.8177880562001016,76.49811507875012,0.0,0.0,0.0,0.0,0.0,105.87193849799876,5.0,1.0,0.0,1,3,1,1,3,0,3,0,3,3,5.232737771805382,13.846153846153848,24.0,13.31896551724138,24.0,21.765308640427627,28.21570876323692,20.90700757742589,36.189776956451226,3.2850877192982457,8.0,3.0619195046439627,8.0
24,T15540W,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),0.0,0.0,0.0,16.790005911170496,66.1995435087703,0.0,0.274999679330541,0.0,5.953974595621661,68.30151800601527,0.0,0.0,0.0,0.0,0.0,64.83445900017642,6.0,1.0,0.0,1,6,1,1,0,0,0,0,0,0,2.1593478953454315,11.432432432432432,33.0,13.055555555555555,33.0,19.29940103701857,30.648194933694505,21.92252153719576,37.61767904288707,2.598958333333333,11.0,3.188911704312115,11.0
25,T06230K,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.0,5.684575777997388,0.0,10.205389736520177,58.88770229059218,0.0,1.93587885535234,0.2189003692262076,6.407164442000465,65.79848615255365,0.0,0.0,0.0,0.0,0.0,45.05832734558625,5.0,1.0,0.0,1,1,1,1,3,0,9,0,3,9,0.4438665777734678,7.633333333333334,27.0,8.61923076923077,30.0,12.796730528078893,26.918749237060545,14.199296772208614,32.786902065934804,2.0730593607305936,8.0,2.358407079646017,9.0
26,T02118V,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,0.0,1.3283836077608966,54.55963111112118,0.0,4.120184202690229,0.0,6.941218823456453,59.87081147909541,0.0,0.0,0.0,0.0,0.0,132.6205419187682,2.0,1.0,1.5844714493971148,6,15,1,1,18,0,28,0,18,28,1.8926179855449872,13.727272727272728,21.0,14.5125,33.0,29.8453806450658,37.37105468223835,30.24031101562444,38.786167642344594,4.863354037267081,11.0,4.534403669724771,12.0
27,T08980X,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,4.346164368325598,0.0,0.0,55.25123215081129,0.0,2.25275375253651,0.0,0.0,65.31027457295924,0.0,0.0,0.0,0.0,0.0,132.77281851873363,5.0,1.0,0.0,6,10,1,1,17,0,24,0,17,24,3.615198651320279,12.0,12.0,12.0,12.0,35.26915937843796,40.479349177237,29.447471071025426,40.479349177237,4.451612903225806,11.0,4.461805555555555,11.0
28,T14659G,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),0.0,32.30735358976006,0.0,4.945639285375505,37.627849184665806,0.0,21.52601302543321,0.0,14.602697420913575,45.02359392782241,0.0,0.0,0.0,0.0,69.7066902156109,90.931229465113,4.0,1.0,0.0,1,29,1,2,18,0,43,0,18,43,1.4296515306619355,17.27027027027027,21.0,16.377551020408163,39.0,21.592402530432228,28.06040009960686,22.005986185856575,43.98132020148678,3.2975206611570247,7.0,3.542936288088643,13.0
29,T19836Z,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,14.668198254340115,1.0019757966499647,28.87908781845682,0.0,0.0,11.98012232229227,12.982467005449877,35.56508577016736,0.0,0.0,0.0,0.0,53.47539988077416,38.26557273450764,3.0,0.0,0.0,6,1,1,3,1,0,4,0,1,4,6.742357808035783,11.0,12.0,8.85,12.0,19.192624781153217,27.41670227050781,14.134901173573684,27.41670227050781,2.16,5.0,2.127906976744186,5.0
30,T01784T,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,4.533239348627805,0.0,0.0,45.404306531200746,0.0,9.240806161293309,0.0,0.7374427745443712,55.35339694368992,0.0,0.0,0.0,0.0,0.0,137.70733257615464,3.0,1.0,1.140367742604382,8,10,1,1,20,0,21,0,20,21,11.647890281592886,13.0,25.0,12.42,25.0,30.58712059094937,37.9314860854038,30.35369423723564,38.40593969999854,3.819095477386935,11.0,3.7794759825327513,12.0
31,T11818R,< 40 dB(A),< 40 dB(A),< 40 dB(A),0.0,61.37593899785742,0.0,0.0,0.0,0.0,53.2562517657843,0.0,0.0,8.869659298061228,0.0,43.196539910542405,0.0,0.0,25.219123252251624,82.79028973296636,5.0,0.0,2.391211268374952,1,1,1,1,0,0,0,0,0,0,14.16830464850907,4.2,9.0,7.578947368421052,12.0,8.439052066307397,13.137847900390623,8.687615895536513,16.546908171280563,1.125,2.0,1.5128205128205128,4.0
32,T18426H,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,0.0,25.558333677648605,15.259547162310351,0.0,4.032016101496383,16.837448034905727,20.36704335685861,14.963210511159058,0.0,4.54487216674698,0.0,0.0,0.0,24.38618006771878,5.0,1.0,0.0,1,1,18,1,4,0,5,0,4,5,0.0,17.0,24.0,15.88888888888889,24.0,21.27317678434744,24.00256278735249,20.1459858364914,24.52204405743143,4.211267605633803,8.0,4.086956521739131,8.0
33,T02648Q,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,13.274280289400062,0.0,0.0,59.34826831353267,0.0,16.025180025344202,0.0,2.4103420133470004,45.6807818580124,0.0,12.314601263959036,0.0,0.0,81.49554009715612,134.39316529282362,3.0,1.0,0.0,2,11,136,1,39,0,51,0,39,51,2.0536760354354238,16.61842105263158,33.0,16.38323353293413,33.0,26.583715982272007,35.57928575788225,27.315810191459448,144.41757680855545,3.876543209876543,11.0,4.1380670611439845,11.0
33,T02648Q,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,13.274280289400062,0.0,0.0,59.34826831353267,0.0,16.025180025344202,0.0,2.4103420133470004,45.6807818580124,0.0,12.314601263959036,0.0,0.0,81.49554009715612,134.39316529282362,3.0,1.0,0.0,2,11,136,1,39,0,51,0,39,51,2.0536760354354238,16.61842105263158,33.0,16.38323353293413,33.0,26.583715982272007,35.57928575788225,27.315810191459448,144.41757680855545,3.876543209876543,11.0,4.1380670611439845,11.0
34,T02391K,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,0.0,13.005974104620252,38.61540483722769,0.0,0.0,0.0,12.143892923274702,53.37318866535734,0.0,3.6286726492461647,0.0,0.0,94.11767243116948,158.85640297716628,3.0,1.0,0.0,12,12,21,1,25,0,34,0,25,34,0.3965846529531913,21.103448275862068,33.0,20.057142857142857,36.0,31.180610018952,38.18428410121373,30.14802568078527,38.18428410121373,4.318965517241379,11.0,4.328089887640449,12.0
35,T08305U,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,0.0,0.0,3.964076587213898,67.04847195852504,0.0,0.0,0.0,16.551452154089,55.7551685028562,0.0,0.0,0.0,0.0,0.0,78.4444917254179,5.0,1.0,0.3069576086858296,1,3,1,1,3,0,11,0,3,11,4.194049630716524,12.75,24.0,12.352941176470589,24.0,24.66982702531257,42.65349651253136,25.83962779421681,42.65349651253136,4.82,14.0,4.241071428571429,14.0
36,T03284M,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,0.0,0.2706585425333533,0.0,73.004131157843,0.0,0.0,2.9209395655718886,0.0,64.07118209937896,0.0,0.0,0.0,0.0,0.0,109.20888468553872,5.0,1.0,0.0,1,3,1,1,3,0,6,0,3,6,0.3662702166422186,14.15625,60.0,14.953488372093023,60.0,22.01450618582664,82.48150223329063,22.67400813381911,87.84936774591482,3.5041322314049586,11.0,3.6,20.0
36,T03284M,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,0.0,0.2706585425333533,0.0,73.004131157843,0.0,0.0,2.9209395655718886,0.0,64.07118209937896,0.0,0.0,0.0,0.0,0.0,109.20888468553872,5.0,1.0,0.0,1,3,1,1,3,0,6,0,3,6,0.3662702166422186,14.15625,60.0,14.953488372093023,60.0,22.01450618582664,82.48150223329063,22.67400813381911,87.84936774591482,3.5041322314049586,11.0,3.6,20.0
37,T15812B,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,99.99999999952416,0.0,0.0,0.0,0.0,99.99999999954343,0.0,0.0,0.0,0.0,123.3055116270586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,3,5,13,13,8,26,4.993297926656178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0833333333333333,2.0
38,T08289L,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,0.0,16.171919568314824,63.334230606235344,0.0,0.0,0.0,16.521933506738968,52.12103945285996,0.0,0.0,0.0,0.0,0.0,74.03133882122259,5.0,1.0,0.0,1,3,1,1,4,0,8,0,4,8,3.984794811513676,13.0,18.0,16.4,33.0,29.949214965703643,41.04032584300288,28.53127356538454,41.04032584300288,3.812121212121212,11.0,4.450704225352113,12.0
39,T09386P,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),11.572175927690148,1.4057718053426254,0.0,10.366495718250489,22.881971998375757,24.918916436970235,11.750756436131812,0.5737165158349594,7.810329182958625,18.491403852408265,7.3448217710899,0.0,6.138347236685631,0.0,0.0,49.57953649106672,3.0,1.0,0.6513325982357177,4,1,1,1,0,0,10,0,0,10,0.7059362176482461,26.07692307692308,36.0,26.181818181818183,39.0,30.986951610015478,42.56845273104581,32.08857079747874,43.20409855800392,4.162162162162162,12.0,3.68,13.0
40,T09155C,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,1.2397365809915362,0.0,0.0,57.53334781465435,3.787724927090224,4.162224642786271,0.0,8.490936145301472,56.67524844703912,0.0,3.178198096973247,0.0,0.0,0.0,63.79617811626474,5.0,1.0,0.0,6,14,38,1,22,0,32,0,22,32,1.003195056195706,12.76595744680851,30.0,11.625,30.0,21.727003336055706,32.51518726348877,19.90538077647989,42.978031526223205,2.9186991869918697,10.0,2.4721485411140582,10.0
40,T09155C,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,1.2397365809915362,0.0,0.0,57.53334781465435,3.787724927090224,4.162224642786271,0.0,8.490936145301472,56.67524844703912,0.0,3.178198096973247,0.0,0.0,0.0,63.79617811626474,5.0,1.0,0.0,6,14,38,1,22,0,32,0,22,32,1.003195056195706,12.76595744680851,30.0,11.625,30.0,21.727003336055706,32.51518726348877,19.90538077647989,42.978031526223205,2.9186991869918697,10.0,2.4721485411140582,10.0
41,T06296C,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,6.894380183735098,15.483828597494536,0.0,52.69182276978272,0.0,4.114827222124577,6.8209190923033045,0.0,65.68573250321076,0.0,0.0,0.0,0.0,0.0,55.51124723194806,5.0,1.0,0.0,1,1,1,1,1,0,5,0,1,5,2.846273340703032,10.120481927710845,30.0,9.159695817490494,33.0,16.18887048744564,37.72765983969478,15.09427670035128,37.72765983969478,2.728506787330317,10.0,2.588317107093185,11.0
