street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
3431,residential,3,6,1,1,5,14,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3432,residential,8,12,3,5,11,20,7,13,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3433,tertiary,4,1,65,1,6,1,140,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3434,residential,1,3,1,1,1,14,23,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3435,residential,1,1,1,1,1,5,81,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3436,pedestrian,1,13,2,1,1,36,8,1,55 - 60 dB(A),55 - 60 dB(A),< 40 dB(A)
3437,tertiary,3,5,44,2,3,7,81,4,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
3438,residential,1,1,6,1,1,1,6,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3439,pedestrian,1,1,1,1,1,2,1,5,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3440,primary,4,11,1,1,5,18,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3441,living_street,3,4,1,2,6,7,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3442,residential,8,1,15,1,10,2,23,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3443,residential,1,1,1,2,1,1,1,3,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3444,residential,4,1,18,1,9,3,53,2,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3445,residential,5,1,1,1,19,1,1,1,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A)
3446,residential,4,16,94,2,6,41,214,4,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
3447,living_street,1,1,1,1,1,1,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3448,tertiary,7,1,1,1,7,2,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3449,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
3450,tertiary,5,6,13,2,12,14,176,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3451,track,1,1,1,1,1,1,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3452,residential,3,1,53,1,7,3,167,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3453,pedestrian,1,7,1,1,1,41,1,1,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A)
3454,residential,1,1,3,1,1,1,4,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3455,residential,1,1,1,1,1,3,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3456,living_street,1,17,5,1,3,35,85,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
