road_id,signals_50,transport_100,pois_noisy_100,pois_sensitive_100
30237530_269383881_0,1,3,9,1
30237531_30237530_0,1,2,10,1
30237531_2087204994_0,5,3,15,1
30237532_30237531_0,1,3,12,1
30237532_1378087192_0,3,2,13,1
30237532_30237533_0,1,2,10,1
30237533_30558512_0,1,2,4,1
30237539_998615813_0,1,2,10,1
30237540_30237539_0,1,2,7,1
30237540_269383243_0,4,2,11,1
30237541_30237540_0,1,2,9,1
30237541_30237542_0,1,2,9,1
30237542_998615820_0,1,2,8,2
30237586_30246859_0,6,2,8,5
30237586_30246820_0,6,2,6,2
30237587_30237586_0,8,2,5,3
30237587_30246777_0,14,2,8,3
30237588_30237587_0,6,2,4,3
30237588_30248549_0,3,3,4,1
30237606_30237607_0,9,5,9,2
30237606_1382873656_0,7,5,7,1
30237607_30237586_0,7,3,5,3
30237607_30246777_0,13,4,9,4
30237610_30313113_0,12,4,17,5
30237612_30237613_0,8,4,21,1
30237612_30247089_0,6,6,18,2
30237613_30237633_0,5,3,24,1
30237613_30237614_0,7,3,19,1
30237614_30237615_0,5,3,14,2
30237614_30237696_0,5,3,20,1
30237615_30237635_0,6,4,13,2
30237615_30237616_0,2,3,10,1
30237616_30247166_0,1,2,14,1
30237616_30237617_0,4,4,9,1
30237617_30247432_0,6,5,8,1
30237627_2917908492_0,6,2,7,2
30237628_30246768_0,5,6,6,1
30237628_1624948207_0,1,4,5,2
30237629_30237610_0,4,3,17,4
30237629_30237628_0,2,6,14,3
30237630_30246712_0,4,4,18,3
30237630_30237629_0,4,2,13,3
30237632_30685341_0,8,4,21,1
30237632_30237612_0,6,5,20,1
30237633_1311773901_0,1,2,15,1
30237633_30237632_0,3,3,23,1
30237634_30237614_0,5,4,24,1
30237634_30237633_0,3,3,22,1
30237635_30237637_0,6,3,10,2
30237635_30237634_0,6,4,18,2
30237637_30247431_0,15,6,24,2
30237637_1362899971_0,6,3,10,2
30237638_30237615_0,4,6,22,1
30237638_30237696_0,4,4,26,1
30237639_30247167_0,3,2,27,1
30237639_30237638_0,4,3,25,1
30237640_30237698_0,4,8,26,1
30237640_30237639_0,4,7,27,1
30237641_30237699_0,4,7,36,1
30237641_30237640_0,4,10,33,1
30237642_30243322_0,3,6,39,1
30237642_30237641_0,4,6,42,1
30237643_30237701_0,4,4,23,1
30237643_30237642_0,4,6,34,1
30237645_11053219722_0,5,4,46,1
30237645_30237703_0,6,3,37,1
30237675_432467115_0,11,3,4,1
30237675_432509869_0,5,4,4,1
30237677_30237678_0,5,3,3,1
30237677_432467110_0,3,2,4,1
30237677_288024526_0,3,2,2,1
30237678_30237679_0,4,2,7,1
30237678_30294776_0,2,2,3,1
30237679_30237680_0,4,4,4,1
30237679_30617552_0,2,2,5,1
30237680_126763506_0,5,4,2,1
30237680_30294779_0,2,3,5,1
30237682_30294781_0,2,2,7,1
30237682_3055187871_0,2,3,3,1
30237685_30237686_0,4,5,2,1
30237685_409505319_0,2,5,2,1
30237686_409505320_0,2,2,2,1
30237686_412398661_0,5,8,4,1
30237689_290025527_0,2,2,1,1
30237689_30237690_0,4,4,1,2
30237690_30313179_0,3,6,2,2
30237690_30237691_0,4,5,2,2
30237691_30313358_0,4,4,6,3
30237691_30237692_0,4,4,4,5
30237692_30313182_0,3,4,5,4
30237692_30237693_0,4,3,6,4
30237693_30313130_0,2,2,6,3
30237693_30237694_0,4,6,18,3
30237694_3434285993_0,3,5,22,1
30237694_442540300_0,7,8,25,1
30237696_30237772_0,4,5,19,1
30237696_30237697_0,4,3,23,2
30237697_30237698_0,4,8,22,2
30237697_30237639_0,4,3,22,2
30237698_30237873_0,5,8,19,1
30237698_30237699_0,4,11,22,1
30237699_30237700_0,4,6,25,1
30237699_30238005_0,4,6,22,1
30237700_30237701_0,4,5,21,1
30237700_30237642_0,4,5,31,1
30237701_252826185_0,5,5,16,1
30237701_13228605049_0,4,4,23,1
30237703_2501701155_0,5,2,21,1
30237703_26057389_0,8,5,31,1
30237705_30238011_0,4,3,29,1
30237705_30237706_0,4,4,29,1
30237706_112399403_0,4,6,29,1
30237768_30248584_0,2,3,15,1
30237768_30248583_0,3,6,17,1
30237770_364811897_0,5,2,11,1
30237772_30247089_0,4,7,14,1
30237772_30237613_0,6,4,17,1
30237867_30237772_0,4,5,15,2
30237867_30237697_0,4,5,13,2
30237873_30237867_0,5,7,13,2
30237873_30238023_0,5,6,18,1
30238005_30237873_0,5,5,12,1
30238005_30243365_0,4,5,17,1
30238006_30238005_0,3,4,18,1
30238006_30237700_0,3,4,23,1
30238009_10181609602_0,5,2,24,1
30238009_30243048_0,6,3,26,3
30238011_30243883_0,2,4,20,1
30238011_365549375_0,6,5,14,1
30238015_249426450_0,4,5,8,2
30238015_3134765936_0,10,7,8,2
30238016_1479334732_0,5,3,2,1
30238016_30238015_0,1,3,4,3
30238017_30246860_0,4,4,6,3
30238017_30238016_0,2,2,7,1
30238018_530687873_0,6,2,4,1
30238018_30238017_0,4,2,9,1
30238020_30243362_0,4,4,8,1
30238020_4840145821_0,4,2,8,1
30238021_30238020_0,4,2,4,3
30238023_7580972991_0,3,2,17,1
30238023_30243365_0,4,5,16,1
30238025_30243366_0,3,3,33,2
30238025_30237640_0,3,7,30,1
30238026_30243367_0,4,9,16,2
30238026_30238025_0,3,8,28,1
30238027_30243368_0,1,3,14,1
30238027_30238026_0,2,6,16,1
30238029_301572459_0,4,3,21,1
30238029_442540250_0,5,6,8,1
30238030_442540240_0,4,5,14,1
30238030_30243373_0,5,4,21,1
30238031_30238030_0,7,3,22,2
30238031_30254348_0,11,2,20,3
30238032_30243261_0,7,4,24,1
30238032_30238031_0,9,3,20,3
30238197_905811222_0,16,10,20,1
30238197_252825017_0,7,7,12,1
30238198_30238197_0,7,9,17,1
30238198_30246669_0,6,7,31,1
30238199_30238198_0,6,7,24,1
30238199_30246671_0,5,5,50,1
30238379_30238383_0,1,5,35,4
30238379_2560076882_0,1,2,27,1
30238383_30238379_0,1,5,35,4
30238383_192040052_0,1,4,12,1
30238385_4538123437_0,7,11,19,1
30238385_4834501669_0,7,12,19,1
30242757_30242817_0,4,14,24,1
30242757_26057131_0,10,15,31,1
30242758_30242757_0,3,15,21,1
30242758_26057342_0,3,8,15,1
30242759_30242758_0,4,7,13,1
30242759_30242815_0,5,4,8,1
30242760_30242759_0,5,2,9,1
30242760_30243212_0,5,4,12,1
30242762_126798002_0,5,3,16,6
30242762_30242812_0,4,3,10,3
30242763_30242762_0,4,2,11,2
30242763_30243166_0,5,4,15,1
30242764_30242763_0,3,2,15,2
30242764_30242810_0,3,2,14,2
30242766_30242968_0,11,3,9,4
30242766_506236259_0,9,2,9,3
30242768_536418296_0,6,3,8,1
30242768_219018792_0,3,3,6,1
30242809_536418264_0,8,3,7,1
30242809_506236271_0,11,2,12,1
30242810_30242809_0,4,2,9,1
30242810_559794885_0,6,2,9,1
30242811_30242763_0,4,2,5,1
30242811_30242810_0,4,2,7,1
30242812_559794881_0,8,7,5,1
30242812_30242811_0,4,3,4,1
30242814_126800081_0,5,4,10,4
30242814_30242760_0,4,5,11,1
30242815_30242814_0,4,3,10,1
30242815_559787234_0,5,7,15,1
30242816_30242815_0,4,4,12,1
30242816_30242758_0,3,7,18,1
30242817_559787232_0,6,11,16,1
30242817_30242816_0,4,5,17,1
30242818_12309556901_0,2,3,13,1
30242818_30242817_0,4,6,22,1
30242818_26057131_0,10,11,29,1
30242864_33098957_0,10,21,19,2
30242864_442540236_0,5,10,12,2
30242864_30243053_0,8,16,18,2
30242871_30242872_0,12,5,18,4
30242871_33098964_0,6,5,14,5
30242872_30243061_0,7,2,13,1
30242872_30254198_0,15,2,11,1
30242874_30242965_0,8,2,11,1
30242874_3193317991_0,13,4,7,1
30242877_442540279_0,8,5,6,1
30242877_4436976528_0,8,6,6,1
30242948_3672891957_0,6,4,9,1
30242948_415956312_0,9,5,12,1
30242950_30242951_0,4,4,10,1
30242950_126683890_0,3,4,14,2
30242951_2480495525_0,9,8,15,1
30242951_11256490149_0,3,6,15,1
30242951_30242952_0,4,5,10,2
30242952_1697946622_0,1,2,5,2
30242952_412442324_0,2,2,8,2
30242955_30242956_0,2,2,10,1
30242955_126655918_0,1,2,7,1
30242956_30556413_0,4,2,10,1
30242956_30242957_0,4,2,12,2
30242957_30555005_0,4,2,12,2
30242957_30242958_0,6,3,15,2
30242958_30556414_0,6,3,13,1
30242958_30242959_0,7,2,14,1
30242959_30242960_0,5,2,22,1
30242959_30254193_0,5,2,14,1
30242960_30253569_0,4,2,30,1
30242960_1396408886_0,3,3,24,1
30242962_1307271989_0,3,2,20,1
30242962_30242963_0,5,3,25,1
30242963_3193312157_0,11,2,16,1
30242963_1286855172_0,3,2,21,1
30242965_30243062_0,6,2,11,1
30242965_431481328_0,6,5,12,1
30242968_1191150266_0,2,3,2,4
30242968_30242970_0,3,6,3,2
30242970_3752208202_0,3,5,2,1
30242970_12945382588_0,6,6,1,1
30242971_243047500_0,21,2,10,1
30242971_12945382589_0,6,2,1,1
30242972_30242973_0,5,2,11,1
30242972_600821408_0,5,4,11,1
30242973_30312828_0,7,5,10,1
30242973_797498302_0,18,4,12,1
30242973_1621899827_0,5,3,11,1
30242975_1622002024_0,4,4,1,1
30242975_30242976_0,4,8,2,1
30242976_71709940_0,3,7,1,1
30242976_2239890983_0,10,11,8,1
30242977_4171977906_0,7,3,1,1
30242977_243341156_0,8,4,1,1
30243042_11363307237_0,4,3,15,1
30243047_10182338470_0,5,2,20,1
30243047_10177414035_0,5,2,20,1
30243048_8173071606_0,8,9,20,4
30243048_30243047_0,5,4,30,3
30243053_30242864_0,8,16,18,2
30243053_442540254_0,3,11,9,1
30243053_1311770050_0,9,15,12,1
30243054_442540235_0,5,12,19,1
30243054_559787230_0,6,6,16,2
30243056_7515360155_0,4,3,22,1
30243056_559787236_0,7,5,12,1
30243058_559787238_0,6,6,18,1
30243058_11012409286_0,4,2,17,2
30243061_2264591838_0,1,2,6,1
30243061_30243129_0,2,4,6,2
30243062_30243061_0,4,2,5,1
30243062_30254198_0,12,2,6,1
30243065_30254089_0,5,5,1,1
30243065_442540280_0,4,3,1,1
30243112_126654237_0,2,2,9,1
30243112_260723600_0,4,4,9,1
30243114_30555002_0,4,3,10,1
30243114_30558454_0,3,2,9,1
30243115_1487126963_0,2,2,5,1
30243115_30243114_0,3,2,9,1
30243116_1303457386_0,3,2,9,1
30243116_30243115_0,3,2,7,1
30243117_126797329_0,9,3,25,1
30243117_30243116_0,5,2,19,1
30243118_126797988_0,10,4,15,2
30243118_30243117_0,5,2,26,1
30243120_6762254081_0,6,2,9,2
30243120_430535703_0,8,2,10,2
30243124_219018793_0,7,3,10,4
30243124_30242762_0,4,2,15,3
30243125_219026483_0,3,7,3,1
30243125_359977425_0,3,7,3,1
30243125_126798008_0,12,8,6,1
30243126_330028856_0,4,3,1,1
30243126_30243125_0,5,9,4,1
30243127_30253375_0,8,2,4,2
30243127_30243126_0,2,3,2,1
30243128_30243127_0,5,4,8,1
30243128_1479161820_0,12,4,8,1
30243129_2264591839_0,3,4,12,3
30243129_773324530_0,4,5,9,2
30243156_30243157_0,4,3,12,1
30243156_30555003_0,3,2,8,1
30243157_30243158_0,4,2,9,1
30243157_2579362580_0,3,2,10,1
30243158_1303465743_0,3,2,7,1
30243158_30333313_0,2,2,5,1
30243159_30243160_0,4,3,17,2
30243159_30253568_0,4,3,17,2
30243160_30243117_0,5,2,27,2
30243160_30243161_0,4,2,20,2
30243161_1716102039_0,3,2,8,1
30243161_30243118_0,4,3,15,1
30243163_30242872_0,9,2,14,1
30243163_33098964_0,3,3,14,1
30243166_30243124_0,5,4,15,2
30243166_219026483_0,3,6,12,1
30243202_30553975_0,1,2,19,1
30243202_30243203_0,2,3,22,4
30243203_415935111_0,2,2,11,3
30243203_30554511_0,2,3,14,3
30243205_126803357_0,5,4,14,1
30243205_30243206_0,6,6,20,1
30243206_1124790711_0,11,9,20,1
30243206_442540293_0,7,7,20,1
30243208_10182303354_0,9,4,22,1
30243208_30243209_0,8,5,21,1
30243209_30243329_0,4,4,17,1
30243209_30243210_0,6,3,20,1
30243210_10893766826_0,5,2,16,1
30243210_11012442310_0,5,3,18,1
30243211_30242814_0,5,8,18,1
30243212_30243251_0,6,6,16,1
30243212_30243213_0,4,3,13,1
30243213_30243251_0,5,6,21,1
30243244_2412830244_0,2,2,18,1
30243244_30333328_0,3,4,26,1
30243245_30243205_0,5,4,20,1
30243245_30243244_0,5,4,22,1
30243250_431484966_0,7,7,20,2
30243251_26057342_0,4,9,18,1
30243251_30242759_0,5,4,12,1
30243253_533662625_0,2,2,20,1
30243260_30243245_0,5,6,15,1
30243260_442540255_0,6,4,14,1
30243261_30243375_0,4,4,22,3
30243261_30243262_0,10,3,23,1
30243262_10182303357_0,10,4,23,1
30243262_30243263_0,10,3,21,1
30243263_10893712430_0,4,2,19,2
30243263_33098963_0,4,2,15,1
30243264_559787233_0,5,5,5,1
30243264_30243250_0,8,8,13,1
30243312_30243313_0,1,3,5,1
30243312_1012330342_0,2,4,8,1
30243313_1532752077_0,3,2,3,1
30243313_30246862_0,3,3,7,1
30243319_1479334690_0,1,2,7,1
30243319_30685340_0,3,4,13,1
30243319_30243363_0,3,2,9,1
30243321_30238006_0,3,4,16,1
30243321_30247091_0,6,5,12,1
30243322_555187275_0,1,2,29,1
30243322_30243323_0,2,3,37,2
30243323_301572951_0,1,4,23,3
30243323_30247434_0,3,4,39,2
30243325_442540251_0,1,7,7,1
30243329_126797989_0,1,4,9,1
30243329_126803324_0,4,6,20,1
30243330_1286855176_0,5,5,20,1
30243330_1716102034_0,6,4,17,1
30243331_30243332_0,4,3,23,1
30243332_1303457341_0,2,4,10,1
30243332_30243333_0,4,5,17,3
30243333_30243334_0,4,3,11,3
30243333_30243392_0,4,4,21,3
30243334_30555687_0,4,2,10,1
30243334_1350812728_0,4,3,8,2
30243335_30243395_0,4,4,13,1
30243335_30243336_0,4,6,14,1
30243336_3835613870_0,5,7,12,1
30243336_30243337_0,4,6,17,1
30243337_30243338_0,4,2,20,1
30243337_1860575763_0,3,2,16,1
30243338_3361983595_0,3,8,36,3
30243342_30556269_0,3,10,4,2
30243342_2293731592_0,5,11,4,2
30243344_30556066_0,3,2,9,1
30243344_616512950_0,8,3,14,1
30243348_30243349_0,5,3,1,2
30243348_559424463_0,7,3,1,2
30243349_3144669232_0,4,2,1,1
30243349_597933805_0,4,2,1,1
30243349_30243350_0,6,2,5,1
30243350_597933816_0,6,6,6,1
30243350_1652627160_0,3,2,7,1
30243352_30243353_0,2,2,3,1
30243352_597933811_0,2,2,4,1
30243353_3005325724_0,1,2,2,1
30243353_3005325716_0,1,2,5,1
30243355_30297368_0,2,2,3,1
30243355_30243356_0,4,2,3,1
30243356_559410528_0,6,4,1,1
30243356_30243357_0,4,3,1,1
30243357_689442392_0,2,3,1,1
30243357_1768889590_0,8,4,3,1
30243357_559410527_0,7,7,2,1
30243358_3369034782_0,2,2,1,1
30243361_4840145821_0,4,3,6,1
30243361_530687873_0,6,2,3,1
30243362_1479334726_0,7,6,9,1
30243362_30243361_0,4,3,8,1
30243363_30238021_0,4,2,8,3
30243363_30243362_0,4,4,9,1
30243365_30243321_0,4,5,14,1
30243365_1589583429_0,5,5,14,4
30243366_30243322_0,3,3,41,2
30243366_30237641_0,4,5,40,2
30243367_30243323_0,3,5,17,2
30243367_30243366_0,4,3,23,2
30243368_30243367_0,2,3,7,1
30243370_30243325_0,1,4,11,1
30243370_301572399_0,3,2,11,1
30243371_1311770053_0,6,5,10,1
30243371_1311770048_0,6,8,8,1
30243371_442540250_0,5,4,4,1
30243373_30254227_0,8,5,25,1
30243373_3047640930_0,2,3,13,1
30243375_30243373_0,4,4,18,2
30243375_30238031_0,6,3,20,4
30243389_30243161_0,5,2,19,1
30243389_30254194_0,8,3,23,2
30243391_1860476035_0,5,8,35,1
30243391_30243332_0,4,5,23,1
30243392_30254056_0,6,3,29,2
30243392_1859058465_0,3,5,20,1
30243394_30254029_0,5,2,15,1
30243395_915702743_0,2,2,15,1
30243395_30243394_0,6,2,17,1
30243396_30243336_0,4,7,14,1
30243396_30243395_0,4,2,18,1
30243397_2749938625_0,4,2,11,2
30243397_30243396_0,4,3,12,1
30243398_2760236007_0,3,2,11,1
30243398_30243397_0,4,2,8,1
30243401_30555503_0,2,2,6,1
30243401_30243398_0,6,3,15,5
30243447_1623558813_0,4,3,3,1
30243447_616512950_0,8,2,7,1
30243449_10207081166_0,3,2,1,1
30243449_10926004932_0,6,4,5,1
30243876_10092003377_0,8,12,14,1
30243876_30298841_0,12,6,14,1
30243877_30246864_0,7,6,10,1
30243877_30243876_0,3,6,13,1
30243878_30243877_0,5,4,11,1
30243878_30243888_0,6,4,11,1
30243879_30243878_0,4,4,7,2
30243879_4834212396_0,6,9,11,2
30243880_30243879_0,2,4,6,1
30243880_30243890_0,3,4,8,1
30243881_30243880_0,1,4,7,1
30243881_30243891_0,1,2,14,1
30243883_30247097_0,2,4,27,2
30243883_2326000392_0,3,5,26,1
30243887_30243877_0,6,6,14,1
30243887_30243888_0,7,6,15,1
30243888_30246824_0,5,3,25,1
30243888_30243889_0,5,6,8,1
30243889_30243879_0,3,5,5,1
30243889_30243890_0,4,5,8,2
30243890_30246773_0,4,3,10,1
30243890_30243891_0,2,3,16,1
30243891_3214268719_0,1,2,16,1
30243891_1043786431_0,2,3,31,1
30243942_30243943_0,1,2,39,1
30243943_30243944_0,1,2,42,1
30243943_30254285_0,1,2,40,3
30243944_1400747755_0,1,2,46,1
30243944_30254257_0,1,2,40,3
30243944_30243946_0,1,2,45,1
30243946_30254255_0,1,2,40,1
30243946_4029816820_0,1,2,45,1
30243952_30243953_0,1,2,33,1
30243953_30243961_0,1,2,36,1
30243953_30254245_0,1,2,63,1
30243958_3439181959_0,1,2,32,1
30243958_30647222_0,1,2,41,1
30243959_208974064_0,1,2,38,1
30243959_30243958_0,1,2,38,1
30243961_30254251_0,1,2,29,1
30243961_30243959_0,1,2,35,2
30244000_243347133_0,8,4,22,1
30244000_13199461400_0,5,2,25,1
30244000_219011811_0,5,2,38,1
30244001_3592009292_0,3,3,3,1
30244001_243346441_0,3,4,12,1
30246668_30238197_0,9,9,17,1
30246668_30246669_0,8,5,30,1
30246669_1092685773_0,14,4,38,3
30246669_6833338776_0,6,3,45,3
30246671_2327729212_0,10,6,30,1
30246674_6833338776_0,3,4,21,3
30246674_11351487218_0,2,4,31,1
30246702_30246674_0,2,5,30,1
30246711_30248550_0,2,10,16,3
30246712_30246711_0,1,7,13,2
30246712_1297744704_0,1,6,18,2
30246752_30243881_0,4,3,8,1
30246752_559764755_0,10,8,13,2
30246768_30237610_0,6,5,15,3
30246768_30237588_0,6,5,4,1
30246771_30246781_0,4,4,9,1
30246771_26198831_0,4,4,10,1
30246772_30246752_0,7,5,10,2
30246772_30243880_0,4,6,7,1
30246773_252825017_0,5,3,11,1
30246773_30238198_0,5,7,15,1
30246777_30237627_0,13,3,9,4
30246777_1624948210_0,11,2,6,2
30246778_30237587_0,7,2,6,4
30246781_10182331330_0,7,2,9,1
30246781_10177367824_0,7,2,6,1
30246820_30238018_0,4,2,7,1
30246820_30246778_0,5,2,9,1
30246824_903233293_0,6,3,38,1
30246824_905811222_0,14,6,35,1
30246859_2510614164_0,6,4,12,4
30246859_1382873591_0,5,2,10,5
30246860_30246820_0,4,5,6,3
30246860_30246859_0,4,4,9,4
30246862_1479334886_0,8,4,8,1
30246862_10182331319_0,4,3,5,1
30246864_26198844_0,5,4,7,1
30246864_4834209607_0,8,6,10,1
30246949_30246970_0,8,4,15,1
30246949_4538123446_0,10,5,17,1
30246970_30247005_0,3,3,13,1
30246970_30246971_0,4,3,16,1
30246971_2407328772_0,1,3,13,1
30247005_4834501676_0,1,2,20,1
30247006_30247026_0,1,3,7,1
30247006_30247005_0,1,2,10,1
30247007_30247006_0,1,2,7,1
30247007_2407328772_0,1,3,11,1
30247026_30247027_0,1,3,2,1
30247026_8221931732_0,1,2,4,1
30247027_30247035_0,1,3,5,1
30247027_30247007_0,1,2,5,1
30247035_178509066_0,1,3,4,1
30247035_178508655_0,1,3,4,1
30247061_178508655_0,1,2,1,1
30247061_30247027_0,1,2,1,1
30247088_30237770_0,4,4,19,2
30247088_30237632_0,3,4,18,2
30247089_1589583464_0,13,8,21,3
30247089_1357512253_0,2,10,18,3
30247091_30685337_0,7,3,18,1
30247091_1532752086_0,4,2,9,1
30247093_30243883_0,5,10,17,2
30247093_365549375_0,9,10,10,1
30247097_30227228_0,4,6,24,1
30247097_1374636407_0,3,3,31,1
30247166_30237638_0,3,3,22,1
30247166_30247167_0,2,2,22,1
30247167_30247433_0,3,7,28,2
30247167_30238025_0,2,4,32,1
30247382_432467107_0,4,5,4,1
30247382_1002675944_0,7,5,4,1
