road_id,width,openness,betweenness,closeness_global,closeness_400,straightness
26198831_30685338_0,49.28036810874351,0.7121212121212122,0.01792375457076789,0.00020242020930591887,8.940759761614047e-06,0.8363124834634337
26198831_30246772_0,50.0,1.0,0.0041588192179387445,0.00020007248995776604,9.269009836577696e-06,0.8368445513620559
26198833_26198831_0,49.53543580497747,0.71875,0.017909337685792583,0.00019886026618450394,9.103644074217233e-06,0.8359945788365601
26198833_30246781_0,23.514996506827366,0.38636363636363635,0.0007583683361402723,0.00019843356401136339,9.532168196778702e-06,0.8325927949521699
26198844_2510589068_0,49.36955885732857,0.6176470588235294,0.01880984043321383,0.00019451359304819535,9.529452625940998e-06,0.8388367901255201
26198844_30243042_0,22.09353952014756,0.3333333333333333,0.0032894860772324083,0.00019512936100878365,8.728925908570555e-06,0.8412178395124822
30227025_30227032_0,9.31623286741522,0.25,0.012038274770054452,0.00018759884326465263,1.5056672903439247e-05,0.8397097784879586
30227027_30227025_0,5.944589908518761,0.2,0.00022411474675033618,0.00018574564088917934,9.854698727294784e-06,0.8331689648395972
30227032_30227052_0,8.95752873025129,0.2857142857142857,0.011925551808784083,0.00018711148802167023,1.761648892775111e-05,0.8415561429853164
30227034_30227032_0,8.380970897646687,0.4,0.00022411474675033618,0.0001852505191268706,1.2068867434578275e-05,0.8351524095116882
30227035_30227037_0,9.364687378379713,0.11363636363636363,0.00022411474675033618,0.0001901037689682438,5.172213798209035e-06,0.8174813729350772
30227035_30227468_0,8.39717365297927,0.125,0.005403543931538785,0.0001939167635403495,1.1146765297011141e-05,0.8280870076489968
30227048_30227049_0,6.483336588461666,0.3333333333333333,0.0004690259756601791,0.00018694935385157998,1.3460443951502835e-05,0.8208196854753051
30227048_192071165_0,17.387107909647455,0.35714285714285715,0.00047713861302433447,0.00018746682593080938,1.4810037819862333e-05,0.8209245854097197
30227050_13134439125_0,8.35454316920433,0.1951219512195122,0.0014325963157173231,0.0001906393858909777,1.5581454715647096e-05,0.8406322076291717
30227050_30227052_0,15.349307603915719,0.20833333333333334,0.00024687031780892685,0.00018758692640559677,1.8048057329919912e-05,0.840317523948981
30227050_30227049_0,6.078298714023354,0.25,0.0005435467033984115,0.0001877155245742835,1.5446847974399046e-05,0.8316831680006491
30227052_10266016765_0,11.83225025288245,0.6111111111111112,0.011718189783773349,0.00018658526245957183,2.0856540218099114e-05,0.8436652455201011
30227068_30227050_0,8.950831084675741,0.45,0.0010622029311687176,0.00018785911363573978,1.858669082988438e-05,0.8389399297109412
30227068_3743057429_0,21.18637428731318,0.45,0.002351007144998147,0.00018674415022370747,2.119794984086844e-05,0.8410109799760059
30227068_5306386384_0,18.186817097239178,0.4444444444444444,0.0033422558948859394,0.0001871870743613533,1.928334092616673e-05,0.8353593420557378
30227131_30227132_0,5.533893483431217,0.25,0.00010059168001065744,0.0001977257515676224,2.4524719547599636e-05,0.823408217198152
