road_id,noise_day,noise_evening,noise_night,road_length,road_category,dist_to_main
3129196082_448786027_0,65,60,55,18.935822550815473,4,56.42584784376983
30227193_30227195_0,55,55,50,89.48335131578895,6,100.80444426019659
30227192_112409083_0,65,60,60,54.54695681953238,5,74.30647129968877
30227192_112409079_0,65,65,60,104.31910107648764,6,74.66489934509698
3129196077_3129196076_0,55,55,50,66.31761077276344,6,36.281850898859744
30227159_30227135_0,60,60,55,88.20856844404572,6,234.26039187303303
30227159_30227158_0,60,60,55,42.37674492962312,6,203.56398870771042
30227158_30227134_0,60,60,55,73.30857998911026,6,195.53626581986052
30227233_1400544022_0,65,65,60,46.1565718109476,5,320.94758650947904
30227232_30227160_0,60,60,55,6.497014932971863,5,278.44324961086454
3129196076_3129196082_0,60,60,55,104.35305062413998,5,44.26607431330328
30227198_30884331_0,55,50,45,97.36423588003814,5,435.8768490964804
30227196_30227153_0,60,55,50,87.63181686597673,6,219.32446165757477
30227195_30227157_0,60,60,60,126.29554122061657,6,152.3769405740715
30227487_431107481_0,60,60,60,205.32405370878521,6,351.57610564431843
30227468_30884331_0,65,60,55,152.91344846090777,5,464.1061739629748
30227450_2327729212_0,65,65,60,63.357118187255494,6,0.0
30227391_30227390_0,60,60,55,61.94461758407215,5,347.08506808485674
30227391_30227402_0,60,60,55,99.18156168472875,5,275.68293376073046
30227390_112398908_0,60,60,55,321.8621566628867,5,145.79868557182547
30227233_30227154_0,65,60,55,37.38667000000888,5,320.94758650947904
30236715_30236773_0,55,55,50,55.93981013970701,5,183.46725865649864
30227495_240936353_0,65,65,60,21.609613561419486,3,0.0
30236751_30236750_0,50,50,40,59.882360420105606,5,333.3307171740227
30236750_10967809658_0,55,55,50,138.23044012334452,5,333.3307171740227
30236750_30236749_0,55,55,50,58.98202303548895,5,316.41065038397414
30236749_30236779_0,55,55,50,93.80775108145252,5,226.04860886856804
30236748_1514106958_0,60,55,50,68.30308367346032,5,301.42841322777167
30236720_30236761_0,60,60,55,67.10387813388736,5,195.7500148873483
30236716_30236715_0,55,55,50,41.87139198022055,5,183.46725865649864
30236773_30236748_0,60,60,55,100.80848478180792,5,204.00294950921358
30236761_1514106960_0,60,55,50,68.50042553089992,5,260.14890611609894
30236760_30236715_0,55,55,50,101.77880905889485,5,133.39581818044334
30236752_30248272_0,55,50,45,102.83081784449851,6,360.1167330266968
30236752_30236753_0,50,50,45,39.43866169457612,5,360.1167330266968
30236751_30248264_0,55,55,50,78.59777060199644,5,272.115122954648
30237481_30237482_0,60,55,50,121.93847719694979,5,95.86777631815919
30237479_998567760_0,60,55,50,75.77792175137915,6,90.26149860211208
30237104_3618456746_0,65,65,60,81.8155303824937,5,200.9204618234148
30237081_7021902544_0,65,65,60,73.9154401209267,5,350.47343174623484
3129196076_3129196077_0,50,50,45,66.31761077276344,6,36.281850898859744
30236780_30236749_0,55,55,50,68.44190818169633,5,316.41065038397414
30236779_30248252_0,60,60,60,60.45532897328229,5,226.04860886856804
30236773_30236779_0,60,55,50,58.06164976749109,5,204.00294950921358
30237531_2087204994_0,60,60,55,74.53327703621693,5,76.36373940022204
30237521_30237520_0,60,60,55,66.37489760583078,6,142.62996754749193
30237484_557230481_0,65,60,55,79.11856116321584,5,124.27712510309458
30237483_30237484_0,60,55,50,130.32202671744807,5,0.0
30237482_30294184_0,70,65,60,98.53033533050898,5,0.0
30237482_30237483_0,70,65,60,121.56803401211906,5,0.0
30237481_998567840_0,55,55,50,72.82600051846505,5,96.69089366749145
30237586_30246820_0,65,60,55,137.18646277333397,5,133.11460289916621
30237586_30246859_0,60,60,55,133.37851394550995,5,0.0
30237542_998615820_0,60,60,55,64.5576287581446,3,0.0
3120231148_30960653_0,60,60,55,175.86229310808122,5,101.99697666447487
30237540_269383243_0,65,65,60,64.73224171991704,6,0.0
30237540_30237539_0,60,55,50,35.76501671238046,6,64.72469969739302
30237539_998615813_0,50,50,45,62.502492886991604,6,65.52173992329557
30237532_30237533_0,60,60,55,149.92095513811913,5,0.0
30237532_30237531_0,70,65,60,76.7029365193155,5,0.0
30237612_30237613_0,65,60,55,137.5257551997334,3,0.0
3120231147_412452735_0,60,60,55,258.88153211085637,6,69.58849200269242
30237607_30246777_0,65,65,60,137.33660293862349,3,0.0
30237607_30237586_0,70,70,65,134.6998618636885,5,0.0
30237588_30248549_0,65,60,55,136.1133598501067,5,131.03558975875012
30237587_30246777_0,70,70,65,132.1721295617939,5,0.0
30237587_30237586_0,65,65,60,133.88263152484515,5,132.06288366978603
30237627_2917908492_0,65,60,55,70.72676015089242,5,0.0
30237617_30247432_0,65,60,60,131.52726673411595,3,0.0
30237615_30237616_0,60,55,60,135.11210787859153,3,0.0
30237615_30237635_0,70,70,65,139.11814813315902,3,0.0
30237613_30237614_0,70,65,60,132.17444094939182,3,0.0
30237613_30237633_0,65,60,60,136.88586434393525,4,0.0
30237612_30247089_0,65,60,55,130.1978814443067,4,0.0
30237634_30237614_0,70,70,65,138.27459525326,3,0.0
30237633_30237632_0,65,65,65,135.40430898575207,5,134.28182405353397
30237632_30237612_0,65,60,60,136.42941092527172,4,0.0
30237632_30685341_0,65,65,60,136.57905199155147,5,0.0
30237630_30237629_0,70,70,65,35.776567216372904,5,0.0
30237629_30237628_0,65,65,60,131.51009946627454,5,31.240864927468426
30237629_30237610_0,70,65,60,133.86668511054762,5,0.0
30237640_30237639_0,65,65,60,136.35085172524364,3,0.0
30237640_30237698_0,70,70,65,133.2496526659253,5,0.0
30237638_30237696_0,65,65,60,133.4467061373502,5,0.0
3120231147_412466900_0,55,55,50,38.4288245378185,5,40.855585092827525
30237637_30247431_0,70,70,65,300.99859117826315,4,0.0
3109574426_3109574424_0,55,50,45,75.75731645583858,6,38.70225154458078
3170270487_1297790802_0,55,55,50,109.84732024875541,5,229.92919216917667
30237634_30237633_0,70,65,60,134.29286778470473,5,0.0
30237677_30237678_0,65,65,55,65.15887872760086,4,316.1258467438057
30237675_432509869_0,70,65,60,54.567952343079575,4,405.77114757670705
30237675_432467115_0,65,65,60,58.7679084195115,4,378.3847637456273
30237643_30237701_0,70,70,65,133.69186236205593,2,0.0
30237642_30237641_0,70,70,65,135.6944964906023,3,0.0
30237642_30243322_0,70,70,65,135.3123147084114,4,0.0
30237641_30237640_0,65,65,60,131.66220090919333,3,0.0
30237641_30237699_0,70,70,65,133.366454832893,3,0.0
30237685_409505319_0,55,55,50,90.14942533519093,5,189.66228041213404
30237682_3055187871_0,60,60,55,73.30276863432138,4,108.47672170643959
30237682_30294781_0,55,50,45,178.6678861513296,5,71.93830762803587
30237680_30294779_0,70,70,65,136.3483432138274,5,95.40549895394653
30237679_30617552_0,60,60,55,67.29188691755047,5,158.0991985784431
30237679_30237680_0,60,60,55,77.34440771284414,4,95.40549895394653
13508611893_7038308651_0,65,65,60,2.5761007908280322,5,98.41804150746108
13456238293_11992098841_0,60,60,55,3.575740076215738,6,133.33938228884296
13453304520_429459477_0,65,65,60,10.209227481956134,4,156.05181331748065
13406594113_8529268154_0,70,65,60,75.64258251694147,4,0.0
13391145408_533662733_0,65,65,60,125.28563832739093,3,0.0
30237678_30237679_0,70,70,65,148.82677758900414,4,172.73340506962165
30237677_432467110_0,65,60,55,63.67354748287128,5,339.6375187863331
30237692_30237693_0,70,70,65,65.48877921632346,4,271.8978453503074
30237691_30237692_0,70,70,65,67.43405875797778,4,321.46606827478735
30237691_30313358_0,55,50,50,119.68681477191905,5,321.46606827478735
3154064258_698899859_0,45,40,40,66.5264930462641,6,367.33290395979077
30237690_30313179_0,70,65,60,98.23998347292313,5,236.56728540498503
30237689_30237690_0,65,65,60,66.31736923239224,4,170.6330945168335
30237689_290025527_0,55,55,45,67.99818416236384,5,165.89283746230325
30237686_412398661_0,70,65,60,125.3507812301137,4,0.0
30237686_409505320_0,55,55,50,87.71396717436322,5,123.36930186159346
30237699_30238005_0,70,70,65,138.24266810642385,3,0.0
30237699_30237700_0,70,70,65,135.40374741447803,3,0.0
30237698_30237699_0,70,70,65,135.8840627893819,3,0.0
30237698_30237873_0,70,70,60,128.03179402222815,5,0.0
30237697_30237698_0,65,70,60,136.07627794175036,3,0.0
30237694_442540300_0,70,65,65,165.39751811042316,4,13.07990988678706
30237694_3434285993_0,70,65,65,63.38377928364906,4,161.1410360778125
30237693_30237694_0,60,60,55,123.48454672672796,4,161.1410360778125
3144669232_10042808607_0,65,65,60,234.8659012958431,3,0.0
3141525071_1311619365_0,70,70,65,112.83096809401874,3,0.0
3141525071_9782230123_0,70,70,65,41.59984901733378,4,0.0
30237768_30248583_0,65,65,60,74.64800488818204,4,86.30732408539977
30237768_30248584_0,70,65,60,28.72835218727722,4,113.20184328265448
30237705_30237706_0,70,65,60,60.76227314378628,3,0.0
30237703_26057389_0,65,65,65,150.5575863576076,3,0.0
30237703_2501701155_0,70,65,60,66.3623593415583,5,0.0
30237701_13228605049_0,70,70,65,115.09993930562376,3,0.0
30237700_30237642_0,70,65,65,133.28361233100517,4,0.0
30238006_30237700_0,70,65,60,134.99760031426902,4,0.0
30238006_30238005_0,70,70,65,136.55085518852553,4,0.0
3141525071_442540257_0,65,65,60,34.418201047266535,3,0.0
30238005_30237873_0,65,65,60,134.31445115295037,4,0.0
30237873_30238023_0,70,65,60,140.667135130706,5,128.01629239521486
30237873_30237867_0,65,65,60,137.8947125703696,4,111.29337204889389
30237867_30237697_0,70,70,60,111.31113125157498,4,0.0
30237867_30237772_0,65,65,60,136.28622296217048,4,111.29337204889389
30237770_364811897_0,70,70,65,28.79920697230177,4,14.222961811433473
30238020_30243362_0,65,60,55,136.13825074034327,5,0.0
30238018_30238017_0,60,60,55,134.6875008062475,5,0.0
30238018_530687873_0,60,60,55,134.66885025199832,5,0.0
30238016_30238015_0,65,65,55,130.6565436410681,5,104.34092749458571
30238016_1479334732_0,65,65,55,86.27780086371496,5,134.44559277365
3134765936_249426450_0,65,60,55,129.19111955992264,3,0.0
30238011_365549375_0,70,65,65,129.47026807686342,5,17.495555223491696
30238011_30243883_0,70,65,60,134.00034590671254,4,131.77424828756028
30238009_10181609602_0,65,60,60,116.17145287751342,4,134.1855083764251
30238031_30238030_0,70,65,60,135.1299042961704,5,0.0
30238030_30243373_0,70,65,60,134.60048554173466,3,0.0
30238029_442540250_0,65,65,60,133.97607149187863,6,0.0
30238029_301572459_0,65,65,60,166.40150354843587,5,132.36082395960233
30238027_30238026_0,70,70,65,87.45322310306821,5,0.0
30238027_30243368_0,65,65,60,131.29741604295126,6,0.0
30238026_30243367_0,65,65,60,132.77093630831183,3,0.0
30238025_30237640_0,60,55,55,135.36046570065173,5,0.0
30238025_30243366_0,65,65,60,132.2408384039319,5,0.0
30238023_7580972991_0,65,65,60,70.43286475419163,5,62.227970386775795
30238021_30238020_0,60,60,55,133.90377308913978,5,135.01287664592795
30238379_30238383_0,55,55,50,373.2450293964346,5,80.47719149279341
30238199_30246671_0,65,65,60,256.1449441180017,6,0.0
30238199_30238198_0,65,60,55,134.90299283452086,5,131.80446690327375
30238198_30246669_0,65,65,60,133.21314046366402,4,117.89965850500775
30238198_30238197_0,65,65,55,133.45847596059215,5,115.0505223764459
30238197_905811222_0,65,65,55,134.0968146845807,5,20.297207594698072
30238032_30243261_0,70,70,65,136.2286032471068,5,0.0
3134509198_1311935438_0,65,60,55,9.576233120352969,5,387.8036979773652
30238385_4538123437_0,70,65,65,14.204139370228173,4,0.0
30238383_192040052_0,65,60,60,22.785047264962746,5,89.0660188156664
30238383_30238379_0,50,50,40,373.2450293964346,5,80.47719149279341
30238379_2560076882_0,60,55,50,165.91204607848132,6,80.47719149279341
30242762_30242812_0,65,65,60,136.10552081019924,5,145.52877535260492
30242760_30243212_0,65,65,60,131.75091526631945,4,47.91685901810291
30242759_30242758_0,60,60,55,138.43200849762377,5,89.39065633577206
30242758_26057342_0,65,65,60,94.45257667219596,5,0.0
3129196088_3129196084_0,40,40,40,117.21126913576899,6,31.84217021144687
30242757_26057131_0,65,65,60,132.15132332098094,5,0.0
30242809_536418264_0,65,65,60,134.37131108733158,5,145.86072848483434
30242768_219018792_0,65,60,55,134.9038082208831,5,280.87426798921695
30242766_30242968_0,65,65,60,133.39018437955076,4,282.09616148167726
30242764_30242810_0,65,65,60,137.4137464454077,5,149.6895363638958
30242764_30242763_0,65,60,55,136.27814598907344,5,285.5980991302286
30242816_30242815_0,65,65,60,133.13773756865413,5,148.11079393513222
30242815_559787234_0,65,65,60,131.3909415924638,5,18.826239588812065
30242815_30242814_0,60,60,55,133.1059142715053,5,147.4109891615596
30242814_126800081_0,65,65,60,127.65692943233171,5,95.53654299352499
30242812_30242811_0,65,65,60,131.91921926567366,5,145.52877535260492
30242811_30242810_0,65,60,55,137.21345735731586,5,149.3016219570045
13203541702_1856468570_0,70,65,60,383.8069886021754,5,0.0
30242811_30242763_0,65,65,60,136.10160694307316,5,149.5007568123279
3129196084_3129196088_0,40,40,40,117.21126913576899,6,31.84217021144687
30242810_30242809_0,65,65,60,132.2543510228037,5,144.9846278590768
30242871_33098964_0,70,70,65,132.93637960412835,5,0.0
30242871_30242872_0,65,65,60,132.98358321070617,5,132.92831799697765
30242864_30243053_0,65,65,60,134.62521018187954,4,134.74413835622707
30242864_33098957_0,70,70,65,134.88100254202837,4,0.0
30242818_26057131_0,65,65,60,139.4549712987594,3,0.0
30242818_30242817_0,65,65,60,133.74528123489213,5,0.0
30242818_12309556901_0,70,65,60,15.684826601270057,5,0.0
30242817_30242816_0,60,60,55,135.52661601846916,5,131.29121093426474
30242816_30242758_0,65,65,60,133.84230899479138,5,89.39065633577206
30242951_2480495525_0,70,65,60,171.22991489340907,5,0.0
30242950_30242951_0,65,65,60,42.496504054042894,4,145.19825438797395
30242877_4436976528_0,70,65,60,75.55957644029147,2,0.0
30242874_3193317991_0,70,65,60,134.82670554166953,5,0.0
30242874_30242965_0,70,65,60,138.24309517695133,4,132.0375749128252
30242872_30243061_0,65,65,60,137.43992956107937,5,133.12814627812853
30242956_30556413_0,65,60,55,159.42671528791402,5,88.62277976283889
30242955_126655918_0,60,60,55,59.883025970660825,6,182.81455303353883
30242955_30242956_0,65,65,60,79.29853709590078,4,103.51709734211242
30242952_412442324_0,65,60,55,84.77117732569695,4,241.45503418746236
30242952_1697946622_0,50,50,40,56.631489032020454,5,210.04013510734086
30242951_30242952_0,65,65,60,102.79856582871194,4,169.94515993063385
30242963_3193312157_0,70,65,60,132.75738296933451,4,0.0
30242962_1307271989_0,65,65,60,54.17297013423255,3,0.0
30242960_30253569_0,65,65,60,152.45853536585224,3,0.0
30242959_30254193_0,65,65,60,135.38634049639123,5,130.31306281938333
30242958_30242959_0,70,65,60,130.3909343919802,4,0.0
30242957_30555005_0,65,65,60,135.91041066101207,3,0.0
30242973_797498302_0,55,55,50,253.1111304881048,6,134.31987601935325
30242972_600821408_0,60,60,55,123.306950619497,4,136.45471866572692
30242971_243047500_0,65,65,60,174.51222855024858,4,0.0
30242968_30242970_0,65,65,60,262.1109580904638,4,124.4651639224197
30242968_1191150266_0,60,60,55,40.004546665208,5,384.67914410661535
30242965_30243062_0,65,65,60,133.83450299402546,5,132.22672693408938
3184350843_7862216634_0,60,60,55,28.63958890478593,5,253.51200835348388
30243048_30243047_0,65,65,60,133.86753855076284,5,112.77143352498955
30243048_8173071606_0,65,65,65,149.88797306776314,4,133.0775778797887
30243042_11363307237_0,70,65,60,116.3845474867485,3,0.0
30242977_4171977906_0,65,60,55,16.340305260645987,3,0.0
30242976_2239890983_0,65,60,55,839.2308407844534,4,77.40196116004553
30242976_71709940_0,65,65,55,10.87774135995572,4,152.9262915421492
30242973_1621899827_0,65,65,60,149.73221655190667,4,266.0138785695234
30243065_30254089_0,70,65,60,128.3086498321608,5,0.0
30243062_30254198_0,70,65,60,137.65614986214547,5,134.28105176230932
30243061_30243129_0,65,65,55,133.57599097291325,5,144.91806308553706
30243058_11012409286_0,65,65,55,113.96424520188108,5,149.33191417185193
30243056_559787236_0,65,65,60,129.68410979663244,5,19.689586948344832
30243056_7515360155_0,65,65,60,132.8646634088641,5,0.0
30243054_442540235_0,65,65,60,164.42564711507492,5,0.0
30243053_442540254_0,65,60,55,16.384145524325138,5,135.56439769933922
30243120_6762254081_0,70,70,65,35.48699463382603,5,0.0
30243118_30243117_0,60,60,55,134.41009037365032,5,0.0
30243118_126797988_0,70,65,60,116.95747205304654,3,0.0
30243117_30243116_0,45,40,40,132.64931395592288,5,0.0
30243116_30243115_0,70,70,65,132.62094386134578,5,0.0
30243115_30243114_0,70,65,60,134.34076224146654,5,0.0
30243115_1487126963_0,65,65,60,66.71001584921717,5,51.941125680721846
13197779092_240978204_0,60,60,60,176.94272226927274,6,354.94202001699847
13197779092_11298541576_0,55,55,55,104.09390470202872,6,251.48994379962582
13307330505_30247405_0,70,70,65,99.94941953533466,3,0.0
13307330505_30247401_0,65,65,60,26.455364233576457,3,0.0
13266185092_2013654034_0,70,65,60,81.55139626897729,5,193.71111727696893
13266185092_667898752_0,65,65,60,4.560737590568869,5,191.4396826532386
13254400116_378208896_0,60,55,50,164.91394624295845,4,280.9975577635585
13254400116_2235259451_0,55,55,50,14.144629627209172,4,272.1434294021461
13228605049_11053219723_0,70,70,65,148.12279040946058,6,0.0
13228605049_13228605046_0,70,70,65,36.59318708810048,3,0.0
30243114_30555002_0,70,65,60,132.27660744169037,5,0.0
30243112_260723600_0,65,65,60,62.23150588045402,5,141.83805314527928
3184350843_219011804_0,60,60,55,40.8148493859324,5,251.4431071304011
30243128_30243127_0,60,60,55,126.07285761193928,5,0.0
30243127_30253375_0,60,55,50,132.41052196919648,3,0.0
30243126_30243125_0,65,65,60,125.06756091346215,3,0.0
30243126_330028856_0,65,65,60,86.47723101779717,5,0.0
30243125_126798008_0,60,60,55,95.84065632123183,3,0.0
30243125_219026483_0,55,55,50,118.77934601342416,5,0.0
30243159_30253568_0,70,65,60,135.50954999950352,3,0.0
3184350832_243336865_0,65,60,55,12.169048030885422,5,282.1491817563922
3184350832_243336646_0,60,60,55,6.007683237594985,4,282.1491817563922
30243157_30243158_0,70,65,60,134.99838704298193,5,71.39148875452382
30243156_30555003_0,70,70,65,65.63602560765233,3,0.0
30243156_30243157_0,70,70,65,132.83260165142096,5,0.0
30243129_773324530_0,65,65,60,128.60476118005724,5,101.14427839880513
30243129_2264591839_0,55,55,50,82.2860372563324,5,144.91806308553706
30243166_219026483_0,55,55,50,135.2628976962426,5,118.70852323599797
30243166_30243124_0,65,60,55,131.59289162097997,5,134.51515903048957
30243163_33098964_0,65,65,60,132.717653232445,2,0.0
30243163_30242872_0,65,65,60,133.13530091051751,5,0.0
30243161_30243118_0,70,65,60,131.43140341972395,3,0.0
30243161_1716102039_0,65,65,60,62.813528448942996,5,0.0
30243160_30243161_0,65,60,55,133.56157231612116,5,0.0
3182649504_540312582_0,50,50,45,362.8314040627529,2,0.0
30243208_10182303354_0,70,70,65,116.16442559487407,3,0.0
30243206_1124790711_0,65,65,60,131.93020966818844,5,132.6712252104102
30243203_30554511_0,65,60,55,57.541215562330265,5,111.96396909154909
30243203_415935111_0,70,65,60,50.30865483142211,4,111.96396909154909
30243202_30553975_0,60,55,50,53.60778107543618,4,195.3630956900939
30243250_431484966_0,70,70,65,135.3322791070179,2,0.0
30243245_30243244_0,70,70,65,134.31210695723144,5,0.0
30243245_30243205_0,65,65,60,133.7297433426846,3,0.0
30243244_30333328_0,65,65,60,134.86974849449732,3,0.0
30243213_30243251_0,65,65,60,135.6858011923731,3,0.0
30243212_30243213_0,60,60,55,49.47068961289706,4,0.0
30243212_30243251_0,65,60,55,133.97331662845127,5,0.0
30243211_30242814_0,65,65,60,130.63338901341973,4,19.597052822453872
30243210_11012442310_0,65,65,60,114.45597656145708,2,0.0
30243263_10893712430_0,70,70,65,118.16000658434837,5,0.0
30243262_10182303357_0,65,60,55,116.8981415196369,4,130.9437776529597
30243261_30243262_0,70,70,65,136.18994661676626,5,0.0
30243261_30243375_0,70,70,65,134.18942972657635,3,0.0
30243260_30243245_0,65,65,60,135.41844279969402,3,0.0
30243251_30242759_0,65,65,60,138.128927317994,5,0.0
30243251_26057342_0,65,65,60,143.1715140953948,3,0.0
30243319_30243363_0,60,60,55,133.54786137767633,5,0.0
30243319_30685340_0,70,65,60,135.99744005504502,4,0.0
30243313_30246862_0,70,65,60,134.5035010519998,4,0.0
30243264_30243250_0,65,65,60,134.73678930208015,2,0.0
30243263_33098963_0,65,65,60,133.52372897788348,2,0.0
30243331_30243332_0,70,70,65,130.68721428656792,3,0.0
30243330_1286855176_0,60,60,55,77.19960551713567,3,0.0
30243329_126797989_0,65,65,60,9.810835052212902,3,0.0
30243323_30247434_0,70,70,65,131.93390023150826,3,0.0
30243322_30243323_0,70,70,65,131.5385191553837,4,0.0
30243321_30247091_0,70,70,65,97.03123854391183,4,0.0
30243321_30238006_0,70,70,65,134.84345004579578,4,93.95699961860545
30243338_3361983595_0,65,60,55,214.38864070960292,3,0.0
30243337_1860575763_0,65,65,60,65.12882447548937,5,0.0
30243337_30243338_0,65,65,60,93.27651294390267,3,0.0
30243335_30243336_0,70,70,65,132.33103074515566,3,0.0
30243335_30243395_0,65,65,60,133.9389849726622,5,0.0
30243334_1350812728_0,70,70,65,133.4824184317854,5,0.0
30243334_30555687_0,65,65,60,104.33771271479091,3,0.0
3182649498_2671247018_0,60,55,50,43.30081369274955,6,11.982133216258351
30243332_30243333_0,65,65,60,126.34763887821558,3,0.0
30243332_1303457341_0,70,70,65,52.91991821075018,3,0.0
30243349_597933805_0,65,65,60,205.1670884550628,5,0.0
30243348_559424463_0,65,60,55,123.4615795761661,5,132.04008210625003
30243348_30243349_0,65,60,55,132.43477875592197,5,0.0
30243344_616512950_0,65,60,55,192.84303161711512,4,0.0
30243342_2293731592_0,65,65,60,154.6164205107118,2,0.0
30243355_30243356_0,50,50,45,133.0999076848268,5,515.8537062686646
30243355_30297368_0,50,45,40,269.1343645024509,5,402.52053901931606
30243353_3005325724_0,60,55,50,7.243764895213554,5,335.22408853153996
3182649498_2670313178_0,50,50,45,99.58245694210846,5,11.982133216258351
3196072505_568847339_0,60,55,50,91.62434177952498,5,170.20721311771675
30243349_30243350_0,65,60,55,138.71723054654166,5,0.0
30243362_1479334726_0,70,65,60,95.58909161152701,5,0.0
30243361_530687873_0,65,65,55,132.93165309333352,3,0.0
30243361_4840145821_0,65,60,55,134.359550109087,5,0.0
30243358_3369034782_0,55,55,50,82.49695796870097,5,243.72976690850234
30243357_559410527_0,65,65,60,119.9194494249274,4,383.3548114905237
30243357_1768889590_0,65,60,55,137.5774782444543,4,373.21422361716037
30243356_559410528_0,60,55,50,121.0848131984313,5,515.8537062686646
30243371_1311770053_0,65,65,60,133.81752081262894,4,0.0
30243368_30243367_0,60,60,55,88.92699919664815,3,0.0
30243367_30243323_0,70,70,65,135.3514241166657,3,0.0
30243366_30237641_0,60,60,60,134.62666427345545,3,0.0
30243366_30243322_0,70,70,65,136.98074838594792,5,0.0
