road_id,noise_day,noise_evening,noise_night,road_length,road_category,dist_to_main,signals,transport,pois,width,height,betw_centrality,clos_centrality,green_100
2691107011_30625911_0,55,50,45,91.62265015440902,5,577.2414763818256,3.2693598971669817,8.718293059111952,15.257012853445914,7.625825134026384,6.45,0.0009169540708686,0.0001796410199986,0.0
1350466776_1350465926_0,35,35,35,36.26015509280029,5,196.3572581780748,2.762234463865128,5.524468927730256,2.762234463865128,22.42829228287378,6.428571428571429,0.0002241147467503,0.0001053481981471,6.8422813478872175
847727781_866954675_0,55,55,50,88.2118392038424,5,100.23162909482927,1.133953942561731,2.267907885123462,2.267907885123462,9.879025685712058,7.071428571428571,0.0013597835116347,0.0002216188285855,0.0
603995049_950190540_0,65,65,60,186.3142105361976,4,0.0,0.5376401353943968,2.6882006769719844,0.5376401353943968,50.0,0.0,0.0099526990543578,0.000176097482146,1.7389531891635084
856946776_2445068401_0,55,50,45,52.217390275534406,4,651.7527639602321,5.75810697953047,9.596844965884117,3.8387379863536464,37.57383673048626,3.0,0.0026358285310957,0.0001515940048418,108.84813369030914
13845167536_847716886_0,55,55,50,401.4836294947668,5,258.68112567382616,0.2490612107775229,2.4906121077752297,0.7471836323325689,22.21870684873698,11.196428571428571,0.004427415329308,0.0002151346913665,4.346695289733554
3343734111_534683861_0,35,35,35,137.66234751567532,5,456.4531520865072,0.7263410546519691,2.1790231639559074,0.7263410546519691,25.363802399802125,3.631578947368421,0.0013417498471533,7.783266669696604e-05,22.94170171999575
535228357_30294661_0,55,55,50,75.06767682030421,5,156.08133775837982,1.3318194621699762,2.6636389243399523,1.3318194621699762,22.018536522972205,11.0,0.00448890058091,0.00019663009507,0.0
1299414755_363881331_0,50,50,45,88.33482073281361,6,98.61869481338525,1.134587987886516,2.269175975773032,2.269175975773032,7.906844283639645,5.785714285714286,0.0002866297758505,0.0001625938525855,0.7301497417260223
5278618160_7866434044_0,60,60,55,86.36886004082653,4,136.66667489535834,13.898664670078832,4.632888223359612,9.265776446719224,50.0,0.0,0.0069436389714622,0.0002025937870098,44.5214411503002
30297333_559052400_0,60,60,55,46.429236037602976,4,38.77031511742537,12.927595862085257,15.082195172432796,2.1545993103475425,34.61089092387052,21.6,0.0024639059219389,0.0001690615059092,0.0
1233754575_556334957_0,50,50,45,21.77452696404452,5,489.5782597545977,4.600533266421001,9.201066532842002,4.600533266421001,32.58115570872497,19.5,0.012633988494522,0.0002063920115738,0.0
947908716_415718635_0,55,55,50,53.01562132947538,3,0.0,5.671087687118762,3.7807251247458415,3.7807251247458415,45.61262870792022,15.0,0.0050137354736697,0.0001708455762062,0.0
998592680_59850112_0,60,55,50,126.71265814549594,5,0.0,3.153740890218522,5.519046557882413,11.826528338319456,21.69626238058364,14.478260869565217,0.0072541796784914,0.0001922448296408,2.9696760952869816
