road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness
1374370616_1374370794_0,1,1,0,5,3335.9024050419725,3911.520999877057,622.1123363911926,260.316889944505,0.0,0.0,0.0,0.0,50.0,0.0002241147467503,7.472552645327663e-05,3.801535604819233e-06,0.4858381081237807
506242742_506242739_0,3,2,2,5,1880.6569136022667,548.6293692511423,134.65042981359204,123.30810857272466,0.0,0.029423492581764,0.0,0.022067619436323,35.76644367740526,9.45134811186277e-05,0.0001997622362352,1.322364575449219e-05,0.8496798818570714
359238890_359238889_0,3,2,2,5,208.95719293428843,867.0140421505084,1353.400287257507,18.16668049076478,0.0,0.0,0.0534754408918117,0.0,50.0,0.0003588648998732,0.0001659005696179,1.9844691604568904e-05,0.8574591218326248
2128036115_2128039898_0,2,1,1,5,297.7405673679937,1157.1619854637302,1640.3218818115904,0.0,0.0,0.0654009732167571,0.0,0.0,50.0,1.230709693014286e-06,0.0001185220516518,1.874773618231217e-05,0.7630202618927218
998592654_1645362844_0,3,3,2,5,2080.5809838238906,167.78911785874837,0.0,75.38646739871767,0.0,0.0302110894011173,0.0,0.0302110894011173,11.007762066822904,0.0016711530639673,0.000210610986111,2.223080713651804e-05,0.8524757157825898
293526303_30296367_0,2,2,1,5,1053.8219571905115,436.0035741649228,425.49520997796986,0.0,0.0,0.0,0.0345918348913067,0.0345918348913067,9.968905549594846,0.0005975472307449,0.000160423181519,1.559708223419943e-05,0.8233356431814385
603995030_603995049_0,4,4,3,4,12.73312114687394,0.0,791.9621438677704,0.0,42.84864572152157,0.0,0.0,0.0,50.0,0.0100967925545378,0.0001774688869848,6.855998220811119e-06,0.8489860105413833
359099730_359099426_0,3,3,3,5,2531.814318054603,75.08623805833926,151.4326203349901,280.1193744808068,0.0,0.0,0.0259510683718912,0.0259510683718912,7.83481221701472,0.0002223063569973,0.0002330964750185,1.9587792487948875e-05,0.8200764737972386
566748388_9442009768_0,3,3,2,3,613.383569835622,2613.979991771895,0.0,947.9987088251596,138.05195915372678,0.1673073764890381,0.0,0.0,50.0,0.0279996752935732,0.0001148066551497,1.024710042319712e-05,0.8643910835326285
392351074_392351066_0,3,3,3,4,671.2334815160863,629.4646693385885,979.287383372086,0.0,44.41832270017732,0.0419975928085827,0.0104993982021456,0.0,45.55655928869799,0.0002225072891921,0.0001974641496328,1.4279256560339258e-05,0.8047212292758145
4472994807_4472994804_0,2,2,2,6,1299.185852520137,461.1929732718056,293.5661109364649,70.48003537531653,0.0,0.0,0.0,0.0,5.081448420211286,0.0002241147467503,0.0002124318905514,1.6546685785031268e-05,0.8338942402297338
26057079_2984928288_0,4,3,3,3,312.59978902496897,1701.0863478246154,0.0,173.81158461537933,154.7668215244732,0.1673073764890381,0.0,0.0,50.0,0.0091119234018343,0.0001782247464838,2.1160493828096197e-05,0.8666368598896519
2650585626_770847878_0,2,2,1,6,890.0076829148752,669.4070142847933,375.4837828068209,354.2934639395859,6.497855350097261,0.0,0.0509906933096358,0.0,6.1976690122315805,0.0002241147467503,0.0001730611887253,1.9535563548839784e-05,0.7394891549605709
1771982085_1595524645_0,4,4,3,2,712.0517617239767,0.0,463.5108800430294,83.50490172358977,9.225877907062891,0.0806042487830198,0.0,0.0,41.29417403866135,0.0251678374064717,0.0002008337492842,2.3394477363469676e-05,0.8559103605184917
9445929962_420051087_0,3,3,2,5,179.6120846725409,363.5722472857313,932.0093400193008,588.0013706507619,0.0,0.1673073764890381,0.0535129983168081,0.0,36.80410375069449,0.016928160662168,0.0001412946946927,9.103228432077328e-06,0.8716031425235535
408908799_651878676_0,3,3,2,5,2477.031163913822,452.7590874545545,61.00982514603316,0.0,0.0,0.0313558357820118,0.0,0.0313558357820118,8.799785094053314,0.0021148364665611,0.0002365940492203,2.9655625706741973e-05,0.833918367162508
269383990_1378087178_0,3,3,2,5,2052.178326193433,147.6419187724597,52.0600274027156,133.0352969121284,0.0,0.0969089728722129,0.0535129983168081,0.2907269186166389,19.52058184007315,0.0041990307734186,0.0002105941678646,2.1697371240374632e-05,0.8507280890735274
1044543192_3048083034_0,3,3,3,6,557.6601627449016,1800.6682720641545,47.28895950219878,0.0,78.10749701119737,0.0704953779283526,0.0,0.0704953779283526,5.884521868941059,0.0005229260369093,0.0001697084432163,2.6139095591355437e-05,0.8483841211756782
8184529847_366213478_0,2,2,2,6,725.3773106723843,628.9440116334014,661.582227570534,122.76742647039734,26.56171727198896,0.0,0.0312640117342898,0.0,23.081904439858874,0.0006579524718,0.0001504273140451,2.709051779396732e-05,0.8366613275898319
1849769612_1849781082_0,2,2,1,5,57.30231058146624,62.52798559251997,633.4723558427341,280.3403028055489,0.0,0.0042353458383179,0.0169413833532716,0.0,27.15798870415386,0.007747468216671,0.000144851526001,1.63680899045776e-05,0.8742461157645691
1349534663_1375291089_0,3,3,2,3,572.938857383476,1173.5728533341637,0.0,397.2230158856445,0.0,0.0162761945343932,0.0065104778137572,0.0,38.327139765193664,0.0422658611228,0.0001649898863631,4.141798693389386e-06,0.8311205065139069
347712502_347712540_0,3,3,2,5,185.7703772566088,1740.1743250396826,0.0,56.3131650590859,0.0,0.0310266674436673,0.0,0.0,21.05280623265157,0.0027581208881424,0.0001702779863736,2.307765801605118e-05,0.8402887773058538
30294779_3055187872_0,3,2,2,6,1524.001696689072,40.154740056554346,124.6438563275807,131.17274449824717,0.0,0.0241586993721571,0.0,0.0120793496860785,5.75459840632166,0.0005357354643264,0.0002222771769619,2.0397084271613404e-05,0.842858354965486
420060594_7078045305_0,2,2,1,5,652.8145853911443,1561.8360338180012,1969.3073908398171,443.546499314378,0.0,0.0146016085690331,0.0036504021422582,0.0,28.5477785201247,0.0049152535817042,0.0001119662902985,3.8700748513609546e-06,0.7346203329420762
